theta,A2,a,b,z,status
10.0,-10.0,6.7,7.2,0.0,NotYet
10.0,-8.0,6.8,7.0,0.0,NotYet
10.0,-6.0,6.8,6.9,0.0,NotYet
10.0,-4.0,6.8,6.9,0.0,NotYet
10.0,-2.0,6.8,6.9,0.0,NotYet
10.0,2.0,6.8,7.1,0.0,NotYet
10.0,4.0,6.8,7.2,0.0,NotYet
10.0,6.0,6.8,7.3,0.0,NotYet
10.0,8.0,6.8,7.4,0.0,NotYet
10.0,10.0,6.9,7.4,0.0,NotYet
20.0,-10.0,7.4,6.5,0.0,NotYet
20.0,-8.0,7.3,6.4,0.0,NotYet
20.0,-6.0,7.3,6.4,0.0,NotYet
20.0,-4.0,7.3,6.4,0.0,NotYet
20.0,-2.0,7.3,6.5,0.0,NotYet
20.0,2.0,7.3,6.7,0.0,NotYet
20.0,4.0,7.3,6.8,0.0,NotYet
20.0,6.0,7.3,6.9,0.0,NotYet
20.0,8.0,7.4,6.9,0.0,NotYet
20.0,10.0,7.4,7.0,0.0,NotYet
25.0,-10.0,7.9,6.1,0.0,NotYet
25.0,-8.0,7.8,6.1,0.0,NotYet
25.0,-6.0,7.7,6.1,0.0,NotYet
25.0,-4.0,7.7,6.1,0.0,NotYet
25.0,-2.0,7.7,6.1,0.0,NotYet
25.0,2.0,7.7,6.3,0.0,NotYet
25.0,4.0,7.7,6.4,0.0,NotYet
25.0,6.0,7.7,6.5,0.0,NotYet
25.0,8.0,7.8,6.6,0.0,NotYet
25.0,10.0,7.8,6.7,0.0,NotYet
30.0,-10.0,8.4,5.8,0.0,NotYet
30.0,-8.0,8.3,5.7,0.0,NotYet
30.0,-6.0,8.3,5.7,0.0,NotYet
30.0,-4.0,8.2,5.8,0.0,NotYet
30.0,-2.0,8.2,5.8,0.0,NotYet
30.0,2.0,8.1,6.0,0.0,NotYet
30.0,4.0,8.2,6.0,0.0,NotYet
30.0,6.0,8.2,6.2,0.0,NotYet
30.0,8.0,8.3,6.2,0.0,NotYet
30.0,10.0,8.4,6.3,0.0,NotYet
35.0,-10.0,9.1,5.4,0.0,NotYet
35.0,-8.0,9.0,5.4,0.0,NotYet
35.0,-6.0,8.9,5.4,0.0,NotYet
35.0,-4.0,8.8,5.5,0.0,NotYet
35.0,-2.0,8.7,5.5,0.0,NotYet
35.0,2.0,8.8,5.6,0.0,NotYet
35.0,4.0,8.8,5.7,0.0,NotYet
35.0,6.0,9.0,5.7,0.0,NotYet
35.0,8.0,9.0,5.8,0.0,NotYet
35.0,10.0,9.2,5.8,0.0,NotYet
40.0,-10.0,4.5,11.0,0.0,NotYet
40.0,-8.0,4.5,10.7,0.0,NotYet
40.0,-6.0,4.5,10.5,0.0,NotYet
40.0,-4.0,4.5,10.5,0.0,NotYet
40.0,-2.0,4.5,10.5,0.0,NotYet
40.0,2.0,4.5,10.7,0.0,NotYet
40.0,4.0,4.5,11.0,0.0,NotYet
40.0,6.0,4.5,11.2,0.0,NotYet
40.0,8.0,4.5,11.4,0.0,NotYet
40.0,10.0,4.5,11.6,0.0,NotYet
45.0,-10.0,4.8,10.3,0.0,NotYet
45.0,-8.0,4.8,10.1,0.0,NotYet
45.0,-6.0,4.8,10.0,0.0,NotYet
45.0,-4.0,4.8,9.9,0.0,NotYet
45.0,-2.0,4.8,9.9,0.0,NotYet
45.0,2.0,4.8,10.1,0.0,NotYet
45.0,4.0,4.8,10.3,0.0,NotYet
45.0,6.0,4.8,10.5,0.0,NotYet
45.0,8.0,4.8,10.7,0.0,NotYet
45.0,10.0,4.8,10.8,0.0,NotYet
