phi_r,E
75,-1.53207194
76,-1.546830975
77,-1.560818173
78,-1.574209237
79,-1.587117117
80,-1.59954809
81,-1.611414304
82,-1.622527507
83,-1.632693169
84,-1.641785789
85,-1.649780266
86,-1.656808378
87,-1.663108578
88,-1.668913046
89,-1.674347282
90,-1.679329712
91,-1.68363443
210,0.13397966
211,0.094026098
212,0.051650348
213,0.007009287
214,-0.039708833
215,-0.088296932
216,-0.138529108
217,-0.190204556
218,-0.243109924
219,-0.297031858
220,-0.351769556
221,-0.407103388
222,-0.46280745
223,-0.518662115
224,-0.574435204
225,-0.629919638
92,-1.686979059
93,-1.689181619
94,-1.690254661
95,-1.690380163
226,-0.68489579
227,-0.73919423
228,-0.792645532
229,-0.845111643
230,-0.896460786
30,-0.009688754
31,-0.036351654
32,-0.065361442
33,-0.096617715
34,-0.129988697
35,-0.165298684
36,-0.20237825
37,-0.241032866
38,-0.281086829
39,-0.322370712
40,-0.364715087
41,-0.407950526
42,-0.451901327
43,-0.496379235
44,-0.541170899
45,-0.58606924
46,-0.630873454
47,-0.675395288
48,-0.719490416
49,-0.76303961
50,-0.805948744
180,0.378131251
181,0.37869601
182,0.380365186
183,0.382994453
184,0.386370457
185,0.390248469
186,0.394390035
187,0.398581802
188,0.402635516
189,0.406406851
190,0.409782855
191,0.412631751
192,0.41482176
193,0.416183457
194,0.416534863
195,0.415656349
196,0.413322012
197,0.409293398
198,0.403350878
199,0.395293649
200,0.384920909
