a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.9,8.3,61.5,5,-7,80.0,-52.336731088813394,-0.4432040380779654,-7.095387347042561,-9.368793326080777,-9.260980833205394,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-9,80.0,-52.62391731492244,-0.4318084561964497,-7.102032678085379,-9.374503667117096,-9.403613856062291,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-11,80.0,-52.72799612302333,-0.4261169404489919,-7.106751553248614,-9.365969531121664,-9.465160036692396,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,79.0,-52.038161830976605,-0.4843624187633395,-7.246102699195035,-9.14312190480996,-9.14549389271997,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,80.0,-52.316010707989335,-0.4834525291807949,-7.2538712727837265,-9.29384353174828,-9.126838020281866,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,80.1,-52.339542333967984,-0.4833521278342232,-7.254693310940638,-9.3070212417515,-9.124704486457633,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,79.0,-52.15898260520771,-0.4440449011744931,-7.246102699195035,-9.191007192712275,-9.19833650952205,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,80.0,-52.39542837440968,-0.4432040380779654,-7.2538712727837265,-9.312769233365543,-9.187869642977605,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,80.1,-52.41538319224492,-0.4431099115172401,-7.254693310940638,-9.323305126279593,-9.186583247384988,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-7,79.0,-52.055995665024966,-0.407580295111984,-7.246102699195035,-9.179172354284674,-9.19514248392079,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-7,80.0,-52.25593290035613,-0.4068084578029811,-7.2538712727837265,-9.275808894075452,-9.191477825515904,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-7,80.1,-52.2727878196165,-0.4067206064937636,-7.254693310940638,-9.284066925989464,-9.190913066384384,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,79.0,-52.17262467322871,-0.4843624187633395,-7.088083130773157,-9.26307671633549,-9.250790070742369,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,80.0,-52.41801873338409,-0.4834525291807949,-7.095387347042561,-9.390078465337863,-9.240091025130823,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,80.1,-52.43858851143159,-0.4833521278342232,-7.096146634197794,-9.401047340012155,-9.238748153671622,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,79.0,-52.12838521762751,-0.4440449011744931,-7.088083130773157,-9.267419085488656,-9.26464549137745,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,80.1,-52.3541507658083,-0.4431099115172401,-7.096146634197794,-9.37744041380938,-9.260378423379734,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-7,79.0,-51.88587770308368,-0.407580295111984,-7.088083130773157,-9.218881187029185,-9.228394238627516,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-7,80.0,-52.061605603666976,-0.4068084578029811,-7.095387347042561,-9.298066673916765,-9.230540323071182,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-7,80.1,-52.07622658624314,-0.4067206064937636,-7.096146634197794,-9.304699454572985,-9.230546597857028,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-7,79.0,-51.99325721524656,-0.4843624187633395,-6.841157945920713,-9.347890967968851,-9.323217274970377,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-7,80.0,-52.20856844517402,-0.4834525291807949,-6.847941328771412,-9.453111844602972,-9.319778520031832,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
