a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.9,8.1,63.5,5,-11,88,-28.27838047,-0.462424669,-7.000300757,-9.66869918,-9.478042817,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=88_cx=0_cy=0_cz=0.log
5.9,8.1,63.5,5,-11,87,-28.27772158,-0.464137772,-6.989451109,-9.659732062,-9.501292062,-1.663108578,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=87_cx=0_cy=0_cz=0.log
5.9,8.1,63.5,5,-11,86,-28.26231621,-0.465719097,-6.979028168,-9.637888439,-9.522872131,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=86_cx=0_cy=0_cz=0.log
6,8,63.5,5,-11,87,-28.24901928,-0.50673315,-6.844006841,-9.709412029,-9.525758677,-1.663108578,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=87_cx=0_cy=0_cz=0.log
5.9,8.1,62.5,5,-11,86,-28.2474254,-0.480873463,-7.0987257,-9.616226794,-9.394791065,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=86_cx=0_cy=0_cz=0.log
6,8,63.5,5,-11,88,-28.24625823,-0.504856895,-6.854241529,-9.718837229,-9.499409533,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=88_cx=0_cy=0_cz=0.log
5.9,8.1,62.5,5,-11,87,-28.24232374,-0.47912271,-7.109757326,-9.622363842,-9.367971288,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=87_cx=0_cy=0_cz=0.log
5.9,8.2,62.5,5,-11,86,-28.2413511,-0.441239932,-7.0987257,-9.576768966,-9.467808129,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=86_cx=0_cy=0_cz=0.log
5.9,8.1,62.5,5,-11,85,-28.23818218,-0.482486164,-7.088114506,-9.597865852,-9.419935391,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
6,8,63.5,5,-11,86,-28.23661968,-0.508439978,-6.834380838,-9.686796569,-9.550193917,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=86_cx=0_cy=0_cz=0.log
5.9,8.2,62.5,5,-11,87,-28.2364628,-0.439633506,-7.109757326,-9.574459729,-9.449503662,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=87_cx=0_cy=0_cz=0.log
