a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name,phi_b
8.1,5.9,28.5,2,-6,190,-26.15884622,-9.25045749,-0.481375471,-10.61280053,-6.225225505,0.411012775,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,80,-32.92731968,-1.05798186,-8.001141556,-11.9590542,-10.31118157,-1.59796049,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,220,-31.527941,-0.77182475,-7.992996477,-11.66591291,-10.75194459,-0.345262277,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,39,-33.3346427,-6.805521653,-0.533923159,-12.89867513,-12.77770375,-0.318819006,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,40,-33.2562918,-6.775231745,-0.535121703,-12.71106846,-12.87393868,-0.360931202,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,41,-32.87628429,-6.722878586,-0.536439474,-12.47007952,-12.7429146,-0.403972113,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,39,-34.56930627,-8.019841354,-0.533923159,-12.91403657,-12.78289953,-0.318605652,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,40,-34.49515341,-7.987850894,-0.535121703,-12.72169221,-12.88977704,-0.360711573,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,41,-34.14360976,-7.939325546,-0.536439474,-12.4795612,-12.78452478,-0.403758759,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,39,-35.29561772,-8.77474216,-0.533923159,-12.90499415,-12.76353457,-0.318423674,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,40,-35.22857455,-8.74404437,-0.535121703,-12.70801249,-12.88086012,-0.360535871,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,41,-34.90663682,-8.700965809,-0.536439474,-12.46474569,-12.8009028,-0.403583057,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,39,-33.13633699,-6.805521653,-0.492996957,-12.8435672,-12.67504311,-0.319208062,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,40,-33.07846174,-6.775231745,-0.494107649,-12.62031797,-12.82747784,-0.361326533,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,41,-32.7764349,-6.722878586,-0.495325019,-12.35958129,-12.79429511,-0.404354894,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.9,28.5,2,-6,39,-34.31240995,-8.019841354,-0.492996957,-12.82731469,-12.65331244,-0.318944508,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.9,28.5,2,-6,40,-34.25747773,-7.987850894,-0.494107649,-12.60163699,-12.81281921,-0.361062979,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.9,28.5,2,-6,41,-33.97908919,-7.939325546,-0.495325019,-12.34110739,-12.79923362,-0.404097615,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,39,-34.98599174,-8.77474216,-0.492996957,-12.78960762,-12.6099264,-0.318718604,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,40,-34.93685143,-8.74404437,-0.494107649,-12.56153911,-12.7763295,-0.3608308,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,41,-34.68338131,-8.700965809,-0.495325019,-12.30123541,-12.78198337,-0.403871711,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,39,-32.80421477,-6.805521653,-0.455565985,-12.71424994,-12.5092487,-0.319628494,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,40,-32.76371527,-6.775231745,-0.456588827,-12.46407425,-12.70606721,-0.36175324,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,41,-32.52777779,-6.722878586,-0.457705794,-12.1892186,-12.75319949,-0.404775325,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,39,-33.93294211,-8.019841354,-0.455565985,-12.6724766,-12.46573088,-0.319327289,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,40,-33.89421846,-7.987850894,-0.456588827,-12.42162948,-12.66669096,-0.36145831,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,41,-33.67795342,-7.939325546,-0.457705794,-12.14806649,-12.72836891,-0.404486671,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
