a,b,theta,A2,z,status
7.6,6.3,24.0,0,0.0,NotYet
7.7,6.2,26.0,0,0.0,NotYet
7.8,6.1,28.0,0,0.0,NotYet
8.0,6.0,30.0,0,0.0,NotYet
8.1,5.9,32.0,0,0.0,NotYet
8.2,5.8,34.0,0,0.0,NotYet
8.3,5.7,36.0,0,0.0,NotYet
7.6,6.3,24.0,0,-0.2,NotYet
7.7,6.2,26.0,0,-0.2,NotYet
7.8,6.1,28.0,0,-0.2,NotYet
8.0,6.0,30.0,0,-0.2,NotYet
8.1,5.9,32.0,0,-0.2,NotYet
8.2,5.8,34.0,0,-0.2,NotYet
8.3,5.7,36.0,0,-0.2,NotYet
7.6,6.3,24.0,-5,0.0,NotYet
7.7,6.2,26.0,-5,0.0,NotYet
7.8,6.1,28.0,-5,0.0,NotYet
8.0,6.0,30.0,-5,0.0,NotYet
8.1,5.9,32.0,-5,0.0,NotYet
8.2,5.8,34.0,-5,0.0,NotYet
8.3,5.7,36.0,-5,0.0,NotYet
7.6,6.3,24.0,-5,-0.2,NotYet
7.7,6.2,26.0,-5,-0.2,NotYet
7.8,6.1,28.0,-5,-0.2,NotYet
8.0,6.0,30.0,-5,-0.2,NotYet
8.1,5.9,32.0,-5,-0.2,NotYet
8.2,5.8,34.0,-5,-0.2,NotYet
8.3,5.7,36.0,-5,-0.2,NotYet
