theta,A2,a,b,z,E,E1,E2,E3,E4,status
10.0,-10.0,6.7,7.2,0.0,-18.62214991264045,-0.536797154461965,-3.21327790687792,-7.436037425650284,-7.436037425650284,Done
10.0,-8.0,6.8,7.0,0.0,-19.13911775080487,-0.4815448988229036,-3.377654151292518,-7.639959350344725,-7.639959350344725,Done
10.0,-6.0,6.8,6.9,0.0,-19.203732455614954,-0.4816704010590911,-3.390474180690944,-7.6657939369324595,-7.6657939369324595,Done
10.0,-4.0,6.8,6.9,0.0,-18.958652149653062,-0.4818272781558335,-3.1911958300042897,-7.642814520746469,-7.642814520746469,Done
10.0,-2.0,6.8,6.9,0.0,-18.355357760796323,-0.4820218065287918,-2.697521162452176,-7.587907395907678,-7.587907395907678,Done
10.0,2.0,6.8,7.1,0.0,-16.82381292944774,-0.4824736134614795,-1.7043297104537487,-7.318504802766256,-7.318504802766256,Done
10.0,4.0,6.8,7.2,0.0,-16.122909359633923,-0.4827057924121618,-1.352440927643329,-7.143881319789216,-7.143881319789216,Done
10.0,6.0,6.8,7.3,0.0,-15.571346895070748,-0.4829442463815212,-1.1744602660182863,-6.9569711913354695,-6.9569711913354695,Done
10.0,8.0,6.8,7.4,0.0,-15.189601186662912,-0.4832078006584197,-1.166999172186479,-6.769697106909007,-6.769697106909007,Done
10.0,10.0,6.9,7.4,0.0,-15.112066050991416,-0.4336972611490637,-0.9762863332871348,-6.851041228277609,-6.851041228277609,Done
20.0,-10.0,7.4,6.5,0.0,-20.358219078509137,-0.3599397358484566,-4.5900724972598255,-7.7041034227004275,-7.7041034227004275,Done
20.0,-8.0,7.3,6.4,0.0,-20.845097813289613,-0.3966867218259722,-4.859581767581403,-7.7944146619411185,-7.7944146619411185,Done
20.0,-6.0,7.3,6.4,0.0,-21.14514171914197,-0.3971385287586599,-4.934663338819519,-7.906669925781898,-7.906669925781898,Done
20.0,-4.0,7.3,6.4,0.0,-20.97707571554929,-0.3976091612130403,-4.690938455052674,-7.944264049641788,-7.944264049641788,Done
20.0,-2.0,7.3,6.5,0.0,-20.374898294219747,-0.3981237192638218,-4.169207815313712,-7.903783379821107,-7.903783379821107,Done
20.0,2.0,7.3,6.7,0.0,-18.687994537176564,-0.3993097133934498,-2.9298128145746887,-7.679436004604213,-7.679436004604213,Done
20.0,4.0,7.3,6.8,0.0,-17.896403222577646,-0.3999874242581427,-2.442576400004328,-7.526919699157588,-7.526919699157588,Done
