theta,A2,b,z,E2,machine_type,status,file_name
10.0,-10.0,7.2,0.0,-3.21327790687792,3,Done,BTBT_theta=10_A2=-10_b=7.2_z=0.0_2.log
10.0,-8.0,7.0,0.0,-3.377654151292518,3,Done,BTBT_theta=10_A2=-8_b=7.0_z=0.0_2.log
10.0,-6.0,6.9,0.0,-3.390474180690944,3,Done,BTBT_theta=10_A2=-6_b=6.9_z=0.0_2.log
10.0,-4.0,6.9,0.0,-3.1911958300042897,3,Done,BTBT_theta=10_A2=-4_b=6.9_z=0.0_2.log
10.0,-2.0,6.9,0.0,-2.697521162452176,3,Done,BTBT_theta=10_A2=-2_b=6.9_z=0.0_2.log
10.0,2.0,7.1,0.0,-1.7043297104537487,3,Done,BTBT_theta=10_A2=2_b=7.1_z=0.0_2.log
10.0,4.0,7.2,0.0,-1.352440927643329,3,Done,BTBT_theta=10_A2=4_b=7.2_z=0.0_2.log
10.0,6.0,7.3,0.0,-1.1744602660182863,3,Done,BTBT_theta=10_A2=6_b=7.3_z=0.0_2.log
10.0,8.0,7.4,0.0,-1.166999172186479,3,Done,BTBT_theta=10_A2=8_b=7.4_z=0.0_2.log
10.0,10.0,7.4,0.0,-0.9762863332871348,3,Done,BTBT_theta=10_A2=10_b=7.4_z=0.0_2.log
20.0,-10.0,6.5,0.0,-4.5900724972598255,3,Done,BTBT_theta=20_A2=-10_b=6.5_z=0.0_2.log
20.0,-8.0,6.4,0.0,-4.859581767581403,3,Done,BTBT_theta=20_A2=-8_b=6.4_z=0.0_2.log
20.0,-6.0,6.4,0.0,-4.934663338819519,3,Done,BTBT_theta=20_A2=-6_b=6.4_z=0.0_2.log
20.0,-4.0,6.4,0.0,-4.690938455052674,3,Done,BTBT_theta=20_A2=-4_b=6.4_z=0.0_2.log
20.0,-2.0,6.5,0.0,-4.169207815313712,3,Done,BTBT_theta=20_A2=-2_b=6.5_z=0.0_2.log
20.0,2.0,6.7,0.0,-2.9298128145746887,3,Done,BTBT_theta=20_A2=2_b=6.7_z=0.0_2.log
20.0,4.0,6.8,0.0,-2.442576400004328,3,Done,BTBT_theta=20_A2=4_b=6.8_z=0.0_2.log
20.0,6.0,6.9,0.0,-2.1227910288143903,3,Done,BTBT_theta=20_A2=6_b=6.9_z=0.0_2.log
20.0,8.0,6.9,0.0,-1.6957390981260687,3,Done,BTBT_theta=20_A2=8_b=6.9_z=0.0_2.log
20.0,10.0,7.0,0.0,-1.7417857819236815,3,Done,BTBT_theta=20_A2=10_b=7.0_z=0.0_2.log
25.0,-10.0,6.1,0.0,-5.452867371961474,3,Done,BTBT_theta=25_A2=-10_b=6.1_z=0.0_2.log
25.0,-8.0,6.1,0.0,-5.722295065643266,3,Done,BTBT_theta=25_A2=-8_b=6.1_z=0.0_2.log
25.0,-6.0,6.1,0.0,-5.740856811404228,3,Done,BTBT_theta=25_A2=-6_b=6.1_z=0.0_2.log
25.0,-4.0,6.1,0.0,-5.494044577935711,3,Done,BTBT_theta=25_A2=-4_b=6.1_z=0.0_2.log
25.0,-2.0,6.1,0.0,-4.971422874601558,3,Done,BTBT_theta=25_A2=-2_b=6.1_z=0.0_2.log
25.0,2.0,6.3,0.0,-3.6407628192100674,3,Done,BTBT_theta=25_A2=2_b=6.3_z=0.0_2.log
25.0,4.0,6.4,0.0,-3.0623115508351475,3,Done,BTBT_theta=25_A2=4_b=6.4_z=0.0_2.log
25.0,6.0,6.5,0.0,-2.6425952126737684,3,Done,BTBT_theta=25_A2=6_b=6.5_z=0.0_2.log
25.0,8.0,6.6,0.0,-2.406381623353809,3,Done,BTBT_theta=25_A2=8_b=6.6_z=0.0_2.log
25.0,10.0,6.7,0.0,-2.3408821295015514,3,Done,BTBT_theta=25_A2=10_b=6.7_z=0.0_2.log
30.0,-10.0,5.8,0.0,-6.3574418623466045,3,Done,BTBT_theta=30_A2=-10_b=5.8_z=0.0_2.log
30.0,-8.0,5.7,0.0,-6.500325889093801,3,Done,BTBT_theta=30_A2=-8_b=5.7_z=0.0_2.log
30.0,-6.0,5.7,0.0,-6.456437839893624,3,Done,BTBT_theta=30_A2=-6_b=5.7_z=0.0_2.log
30.0,-4.0,5.8,0.0,-6.2009032177738845,3,Done,BTBT_theta=30_A2=-4_b=5.8_z=0.0_2.log
30.0,-2.0,5.8,0.0,-5.793128394288942,3,Done,BTBT_theta=30_A2=-2_b=5.8_z=0.0_2.log
30.0,2.0,6.0,0.0,-4.676091568078846,3,Done,BTBT_theta=30_A2=2_b=6.0_z=0.0_2.log
30.0,4.0,6.0,0.0,-4.099397327983752,3,Done,BTBT_theta=30_A2=4_b=6.0_z=0.0_2.log
30.0,6.0,6.2,0.0,-3.73229770292528,3,Done,BTBT_theta=30_A2=6_b=6.2_z=0.0_2.log
30.0,8.0,6.2,0.0,-3.3532753880135715,3,Done,BTBT_theta=30_A2=8_b=6.2_z=0.0_2.log
30.0,10.0,6.3,0.0,-3.1841928181238472,3,Done,BTBT_theta=30_A2=10_b=6.3_z=0.0_2.log
35.0,-10.0,5.4,0.0,-7.0005956867244095,3,Done,BTBT_theta=35_A2=-10_b=5.4_z=0.0_2.log
35.0,-8.0,5.4,0.0,-7.039168726187199,3,Done,BTBT_theta=35_A2=-8_b=5.4_z=0.0_2.log
35.0,-6.0,5.4,0.0,-6.9632211909629405,3,Done,BTBT_theta=35_A2=-6_b=5.4_z=0.0_2.log
35.0,-4.0,5.5,0.0,-6.759958151495084,3,Done,BTBT_theta=35_A2=-4_b=5.5_z=0.0_2.log
35.0,-2.0,5.5,0.0,-6.494151190621778,3,Done,BTBT_theta=35_A2=-2_b=5.5_z=0.0_2.log
35.0,2.0,5.6,0.0,-5.736495616845787,3,Done,BTBT_theta=35_A2=2_b=5.6_z=0.0_2.log
35.0,4.0,5.7,0.0,-5.315223053330556,3,Done,BTBT_theta=35_A2=4_b=5.7_z=0.0_2.log
35.0,6.0,5.7,0.0,-4.98411112674512,3,Done,BTBT_theta=35_A2=6_b=5.7_z=0.0_2.log
35.0,8.0,5.8,0.0,-4.673562702722848,3,Done,BTBT_theta=35_A2=8_b=5.8_z=0.0_2.log
35.0,10.0,5.8,0.0,-4.46195378061384,3,Done,BTBT_theta=35_A2=10_b=5.8_z=0.0_2.log
40.0,-10.0,11.0,0.0,-0.1116026535164564,3,Done,BTBT_theta=40_A2=-10_b=11.0_z=0.0_2.log
40.0,-8.0,10.7,0.0,-0.130133023718372,3,Done,BTBT_theta=40_A2=-8_b=10.7_z=0.0_2.log
40.0,-6.0,10.5,0.0,-0.1444653519429266,3,Done,BTBT_theta=40_A2=-6_b=10.5_z=0.0_2.log
40.0,-4.0,10.5,0.0,-0.1432417074684053,3,Done,BTBT_theta=40_A2=-4_b=10.5_z=0.0_2.log
40.0,-2.0,10.5,0.0,-0.1424322198145091,3,Done,BTBT_theta=40_A2=-2_b=10.5_z=0.0_2.log
40.0,2.0,10.7,0.0,-0.1265373912174254,3,Done,BTBT_theta=40_A2=2_b=10.7_z=0.0_2.log
40.0,4.0,11.0,0.0,-0.1072979348246008,3,Done,BTBT_theta=40_A2=4_b=11.0_z=0.0_2.log
40.0,6.0,11.2,0.0,-0.0970318713225424,3,Done,BTBT_theta=40_A2=6_b=11.2_z=0.0_2.log
40.0,8.0,11.4,0.0,-0.0883722335565835,3,Done,BTBT_theta=40_A2=8_b=11.4_z=0.0_2.log
40.0,10.0,11.6,0.0,-0.0810742920730263,3,Done,BTBT_theta=40_A2=10_b=11.6_z=0.0_2.log
45.0,-10.0,10.3,0.0,-0.1406689167488366,3,Done,BTBT_theta=45_A2=-10_b=10.3_z=0.0_2.log
45.0,-8.0,10.1,0.0,-0.1570092772599309,3,Done,BTBT_theta=45_A2=-8_b=10.1_z=0.0_2.log
45.0,-6.0,10.0,0.0,-0.1657002905849367,3,Done,BTBT_theta=45_A2=-6_b=10.0_z=0.0_2.log
45.0,-4.0,9.9,0.0,-0.1753513945732265,3,Done,BTBT_theta=45_A2=-4_b=9.9_z=0.0_2.log
45.0,-2.0,9.9,0.0,-0.1748180110007524,3,Done,BTBT_theta=45_A2=-2_b=9.9_z=0.0_2.log
45.0,2.0,10.1,0.0,-0.154518062248826,3,Done,BTBT_theta=45_A2=2_b=10.1_z=0.0_2.log
45.0,4.0,10.3,0.0,-0.137462340760976,3,Done,BTBT_theta=45_A2=4_b=10.3_z=0.0_2.log
45.0,6.0,10.5,0.0,-0.1229543092194944,3,Done,BTBT_theta=45_A2=6_b=10.5_z=0.0_2.log
45.0,8.0,10.7,0.0,-0.1106362880673259,3,Done,BTBT_theta=45_A2=8_b=10.7_z=0.0_2.log
45.0,10.0,10.8,0.0,-0.1058797624427825,3,Done,BTBT_theta=45_A2=10_b=10.8_z=0.0_2.log
50.0,-10.0,9.7,0.0,-0.1636169576086104,3,Done,BTBT_theta=50_A2=-10_b=9.7_z=0.0_2.log
50.0,-8.0,9.6,0.0,-0.1735504406969994,3,Done,BTBT_theta=50_A2=-8_b=9.6_z=0.0_2.log
50.0,-6.0,9.5,0.0,-0.1844942152965814,3,Done,BTBT_theta=50_A2=-6_b=9.5_z=0.0_2.log
50.0,-4.0,9.4,0.0,-0.1966051580384373,3,Done,BTBT_theta=50_A2=-4_b=9.4_z=0.0_2.log
50.0,-2.0,9.3,0.0,-0.2100275966804474,3,Done,BTBT_theta=50_A2=-2_b=9.3_z=0.0_2.log
50.0,2.0,9.5,0.0,-0.1842055607121437,3,Done,BTBT_theta=50_A2=2_b=9.5_z=0.0_2.log
50.0,4.0,9.6,0.0,-0.173023332376033,3,Done,BTBT_theta=50_A2=4_b=9.6_z=0.0_2.log
50.0,6.0,9.7,0.0,-0.1628764956258237,3,Done,BTBT_theta=50_A2=6_b=9.7_z=0.0_2.log
50.0,8.0,9.9,0.0,-0.1443335751537233,3,Done,BTBT_theta=50_A2=8_b=9.9_z=0.0_2.log
50.0,10.0,10.1,0.0,-0.1285140479449182,3,Done,BTBT_theta=50_A2=10_b=10.1_z=0.0_2.log
55.0,-10.0,9.1,0.0,-0.1898154995869845,3,Done,BTBT_theta=55_A2=-10_b=9.1_z=0.0_2.log
55.0,-8.0,9.0,0.0,-0.2033069645985961,3,Done,BTBT_theta=55_A2=-8_b=9.0_z=0.0_2.log
55.0,-6.0,8.9,0.0,-0.2181726766284555,3,Done,BTBT_theta=55_A2=-6_b=8.9_z=0.0_2.log
55.0,-4.0,8.8,0.0,-0.2345444129314273,3,Done,BTBT_theta=55_A2=-4_b=8.8_z=0.0_2.log
55.0,-2.0,8.8,0.0,-0.2347326658200472,3,Done,BTBT_theta=55_A2=-2_b=8.8_z=0.0_2.log
55.0,2.0,8.8,0.0,-0.2355672537814825,3,Done,BTBT_theta=55_A2=2_b=8.8_z=0.0_2.log
55.0,4.0,8.9,0.0,-0.2196912509389221,3,Done,BTBT_theta=55_A2=4_b=8.9_z=0.0_2.log
55.0,6.0,9.0,0.0,-0.2051894948817789,3,Done,BTBT_theta=55_A2=6_b=9.0_z=0.0_2.log
55.0,8.0,9.2,0.0,-0.1788403498940169,3,Done,BTBT_theta=55_A2=8_b=9.2_z=0.0_2.log
55.0,10.0,9.3,0.0,-0.1676392962690442,3,Done,BTBT_theta=55_A2=10_b=9.3_z=0.0_2.log
60.0,-10.0,8.5,0.0,-0.2261608790140599,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=0.0_2.log
60.0,-8.0,8.4,0.0,-0.2447853756602853,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.0_2.log
60.0,-6.0,8.3,0.0,-0.265292402356863,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.0_2.log
60.0,-4.0,8.2,0.0,-0.2877572604920715,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.0_2.log
60.0,-2.0,8.2,0.0,-0.2882090678904205,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.0_2.log
60.0,2.0,8.2,0.0,-0.2894327121321112,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.0_2.log
60.0,4.0,8.3,0.0,-0.2677961674053222,3,Done,BTBT_theta=60_A2=4_b=8.3_z=0.0_2.log
60.0,6.0,8.3,0.0,-0.2686119305435568,3,Done,BTBT_theta=60_A2=6_b=8.3_z=0.0_2.log
60.0,8.0,8.4,0.0,-0.2488955662120133,3,Done,BTBT_theta=60_A2=8_b=8.4_z=0.0_2.log
60.0,10.0,8.6,0.0,-0.2134161510039121,3,Done,BTBT_theta=60_A2=10_b=8.6_z=0.0_2.log
65.0,-10.0,7.9,0.0,-0.2862010360695421,3,Done,BTBT_theta=65_A2=-10_b=7.9_z=0.0_2.log
65.0,-8.0,7.8,0.0,-0.3129204118158668,3,Done,BTBT_theta=65_A2=-8_b=7.8_z=0.0_2.log
65.0,-6.0,7.8,0.0,-0.3132906423415988,3,Done,BTBT_theta=65_A2=-6_b=7.8_z=0.0_2.log
65.0,-4.0,7.7,0.0,-0.3428338135126978,3,Done,BTBT_theta=65_A2=-4_b=7.7_z=0.0_2.log
65.0,-2.0,7.7,0.0,-0.3433546465821564,3,Done,BTBT_theta=65_A2=-2_b=7.7_z=0.0_2.log
65.0,2.0,7.7,0.0,-0.3447100683115423,3,Done,BTBT_theta=65_A2=2_b=7.7_z=0.0_2.log
65.0,4.0,7.7,0.0,-0.3455321062356233,3,Done,BTBT_theta=65_A2=4_b=7.7_z=0.0_2.log
65.0,6.0,7.7,0.0,-0.3464419962838292,3,Done,BTBT_theta=65_A2=6_b=7.7_z=0.0_2.log
65.0,8.0,7.8,0.0,-0.3179091161582619,3,Done,BTBT_theta=65_A2=8_b=7.8_z=0.0_2.log
65.0,10.0,7.9,0.0,-0.291917652124539,3,Done,BTBT_theta=65_A2=10_b=7.9_z=0.0_2.log
70.0,-10.0,7.4,0.0,-0.3599397358484566,3,Done,BTBT_theta=70_A2=-10_b=7.4_z=0.0_2.log
70.0,-8.0,7.4,0.0,-0.3602660414762795,3,Done,BTBT_theta=70_A2=-8_b=7.4_z=0.0_2.log
70.0,-6.0,7.3,0.0,-0.3971385287586599,3,Done,BTBT_theta=70_A2=-6_b=7.3_z=0.0_2.log
70.0,-4.0,7.3,0.0,-0.3976091612130403,3,Done,BTBT_theta=70_A2=-4_b=7.3_z=0.0_2.log
70.0,-2.0,7.3,0.0,-0.3981237192638218,3,Done,BTBT_theta=70_A2=-2_b=7.3_z=0.0_2.log
70.0,2.0,7.3,0.0,-0.3993097133934498,3,Done,BTBT_theta=70_A2=2_b=7.3_z=0.0_2.log
70.0,4.0,7.3,0.0,-0.3999874242581427,3,Done,BTBT_theta=70_A2=4_b=7.3_z=0.0_2.log
70.0,6.0,7.3,0.0,-0.4007153359707445,3,Done,BTBT_theta=70_A2=6_b=7.3_z=0.0_2.log
70.0,8.0,7.3,0.0,-0.4014683479908854,3,Done,BTBT_theta=70_A2=8_b=7.3_z=0.0_2.log
70.0,10.0,7.4,0.0,-0.3652547460515052,3,Done,BTBT_theta=70_A2=10_b=7.4_z=0.0_2.log
80.0,-10.0,6.9,0.0,-0.4318084560800344,3,Done,BTBT_theta=80_A2=-10_b=6.9_z=0.0_2.log
80.0,-8.0,6.9,0.0,-0.4319088577758521,3,Done,BTBT_theta=80_A2=-8_b=6.9_z=0.0_2.log
80.0,-6.0,6.9,0.0,-0.4320406352635473,3,Done,BTBT_theta=80_A2=-6_b=6.9_z=0.0_2.log
80.0,-4.0,6.9,0.0,-0.4321912373416126,3,Done,BTBT_theta=80_A2=-4_b=6.9_z=0.0_2.log
80.0,-2.0,6.9,0.0,-0.4323606654070318,3,Done,BTBT_theta=80_A2=-2_b=6.9_z=0.0_2.log
80.0,2.0,6.9,0.0,-0.4327685465104878,3,Done,BTBT_theta=80_A2=2_b=6.9_z=0.0_2.log
80.0,4.0,6.9,0.0,-0.4329944502096623,3,Done,BTBT_theta=80_A2=4_b=6.9_z=0.0_2.log
80.0,6.0,6.9,0.0,-0.4332140786573291,3,Done,BTBT_theta=80_A2=6_b=6.9_z=0.0_2.log
