theta,A2,a,b,z,E3,E4,machine_type,status,file_name
10.0,-10.0,6.7,7.2,0.0,-7.436037425650284,-7.436037425650284,3,Done,BTBT_theta=10_A2=-10_a=6.7_b=7.2_z=0.0_3.log
10.0,-8.0,6.8,7.0,0.0,-7.639959350344725,-7.639959350344725,3,Done,BTBT_theta=10_A2=-8_a=6.8_b=7.0_z=0.0_3.log
10.0,-6.0,6.8,6.9,0.0,-7.6657939369324595,-7.6657939369324595,3,Done,BTBT_theta=10_A2=-6_a=6.8_b=6.9_z=0.0_3.log
10.0,-4.0,6.8,6.9,0.0,-7.642814520746469,-7.642814520746469,3,Done,BTBT_theta=10_A2=-4_a=6.8_b=6.9_z=0.0_3.log
10.0,-2.0,6.8,6.9,0.0,-7.587907395907678,-7.587907395907678,3,Done,BTBT_theta=10_A2=-2_a=6.8_b=6.9_z=0.0_3.log
10.0,2.0,6.8,7.1,0.0,-7.318504802766256,-7.318504802766256,3,Done,BTBT_theta=10_A2=2_a=6.8_b=7.1_z=0.0_3.log
10.0,4.0,6.8,7.2,0.0,-7.143881319789216,-7.143881319789216,3,Done,BTBT_theta=10_A2=4_a=6.8_b=7.2_z=0.0_3.log
10.0,6.0,6.8,7.3,0.0,-6.9569711913354695,-6.9569711913354695,3,Done,BTBT_theta=10_A2=6_a=6.8_b=7.3_z=0.0_3.log
10.0,8.0,6.8,7.4,0.0,-6.769697106909007,-6.769697106909007,3,Done,BTBT_theta=10_A2=8_a=6.8_b=7.4_z=0.0_3.log
10.0,10.0,6.9,7.4,0.0,-6.851041228277609,-6.851041228277609,3,Done,BTBT_theta=10_A2=10_a=6.9_b=7.4_z=0.0_3.log
20.0,-10.0,7.4,6.5,0.0,-7.7041034227004275,-7.7041034227004275,3,Done,BTBT_theta=20_A2=-10_a=7.4_b=6.5_z=0.0_3.log
20.0,-8.0,7.3,6.4,0.0,-7.7944146619411185,-7.7944146619411185,3,Done,BTBT_theta=20_A2=-8_a=7.3_b=6.4_z=0.0_3.log
20.0,-6.0,7.3,6.4,0.0,-7.906669925781898,-7.906669925781898,3,Done,BTBT_theta=20_A2=-6_a=7.3_b=6.4_z=0.0_3.log
20.0,-4.0,7.3,6.4,0.0,-7.944264049641788,-7.944264049641788,3,Done,BTBT_theta=20_A2=-4_a=7.3_b=6.4_z=0.0_3.log
20.0,-2.0,7.3,6.5,0.0,-7.903783379821107,-7.903783379821107,3,Done,BTBT_theta=20_A2=-2_a=7.3_b=6.5_z=0.0_3.log
20.0,2.0,7.3,6.7,0.0,-7.679436004604213,-7.679436004604213,3,Done,BTBT_theta=20_A2=2_a=7.3_b=6.7_z=0.0_3.log
20.0,4.0,7.3,6.8,0.0,-7.526919699157588,-7.526919699157588,3,Done,BTBT_theta=20_A2=4_a=7.3_b=6.8_z=0.0_3.log
20.0,6.0,7.3,6.9,0.0,-7.357994007063098,-7.357994007063098,3,Done,BTBT_theta=20_A2=6_a=7.3_b=6.9_z=0.0_3.log
20.0,8.0,7.4,6.9,0.0,-7.299095918540843,-7.299095918540843,3,Done,BTBT_theta=20_A2=8_a=7.4_b=6.9_z=0.0_3.log
20.0,10.0,7.4,7.0,0.0,-7.134820075472817,-7.134820075472817,3,Done,BTBT_theta=20_A2=10_a=7.4_b=7.0_z=0.0_3.log
25.0,-10.0,7.9,6.1,0.0,-7.526141586713493,-7.526141586713493,3,Done,BTBT_theta=25_A2=-10_a=7.9_b=6.1_z=0.0_3.log
25.0,-8.0,7.8,6.1,0.0,-7.712104175123386,-7.712104175123386,3,Done,BTBT_theta=25_A2=-8_a=7.8_b=6.1_z=0.0_3.log
25.0,-6.0,7.7,6.1,0.0,-7.82345582486596,-7.82345582486596,3,Done,BTBT_theta=25_A2=-6_a=7.7_b=6.1_z=0.0_3.log
25.0,-4.0,7.7,6.1,0.0,-7.874390811426565,-7.874390811426565,3,Done,BTBT_theta=25_A2=-4_a=7.7_b=6.1_z=0.0_3.log
25.0,-2.0,7.7,6.1,0.0,-7.852082830737345,-7.852082830737345,3,Done,BTBT_theta=25_A2=-2_a=7.7_b=6.1_z=0.0_3.log
25.0,2.0,7.7,6.3,0.0,-7.694822549819946,-7.694822549819946,3,Done,BTBT_theta=25_A2=2_a=7.7_b=6.3_z=0.0_3.log
25.0,4.0,7.7,6.4,0.0,-7.573047959012911,-7.573047959012911,3,Done,BTBT_theta=25_A2=4_a=7.7_b=6.4_z=0.0_3.log
