theta,A2,a,b,z,E,E1,E2,E3,E4,status
30.0,-10.0,8.2,6.1,-1.0,-18.438923267181963,-0.2869226722978055,-3.645236965501681,-7.253381814691238,-7.253381814691238,Done
30.0,-10.0,8.3,6.1,-0.8,-18.454755345825102,-0.2648594209458679,-3.825941020390019,-7.18197745224461,-7.18197745224461,Done
30.0,-10.0,8.3,6.1,-0.6,-18.78874126751907,-0.2648594209458679,-4.234186476096511,-7.1448476852383465,-7.1448476852383465,Done
30.0,-10.0,8.3,6.0,-0.4,-19.23505148012191,-0.2648594209458679,-4.796975094825029,-7.086608482175507,-7.086608482175507,Done
30.0,-10.0,8.4,5.9,-0.2,-19.92348642530851,-0.2446661489084363,-5.617538545979187,-7.030640865210444,-7.030640865210444,Done
30.0,-10.0,8.4,5.8,0.0,-20.60102779790759,-0.2446661489084363,-6.3574418623466045,-6.999459893326275,-6.999459893326275,Done
30.0,-10.0,8.4,5.7,0.2,-20.567223833408207,-0.2446661489084363,-6.392099239164963,-6.965229222667404,-6.965229222667404,Done
30.0,-10.0,8.3,5.8,0.4,-19.89661644748412,-0.2648594209458679,-5.465919579844922,-7.0829187233466655,-7.0829187233466655,Done
30.0,-10.0,8.2,6.0,0.6,-19.020079104229808,-0.2869226722978055,-4.268385771196336,-7.232385330367833,-7.232385330367833,Done
30.0,-10.0,8.1,6.1,0.8,-18.181386889191344,-0.3110127812251448,-3.349328350275755,-7.260522878845222,-7.260522878845222,Done
30.0,-10.0,8.1,6.1,1.0,-17.4868650957942,-0.3110127812251448,-2.755496811820194,-7.210177751374431,-7.210177751374431,Done
30.0,-8.0,8.1,6.1,-1.0,-18.6284752136562,-0.3112386849243194,-3.7422625618055454,-7.287486983463168,-7.287486983463168,Done
30.0,-8.0,8.2,6.1,-0.8,-18.81519708898849,-0.2871234756894409,-3.994301953120157,-7.26688583008945,-7.26688583008945,Done
30.0,-8.0,8.2,6.0,-0.6,-19.13295560260304,-0.2871234756894409,-4.367933957371861,-7.238949084770866,-7.238949084770866,Done
30.0,-8.0,8.3,5.9,-0.4,-19.74956575385295,-0.2650288480799645,-5.08544144150801,-7.199547732132487,-7.199547732132487,Done
30.0,-8.0,8.3,5.8,-0.2,-20.59052955522202,-0.2650288480799645,-5.973870099755004,-7.1758153036935255,-7.1758153036935255,Done
30.0,-8.0,8.3,5.7,0.0,-21.03338846261613,-0.2650288480799645,-6.500325889093801,-7.134016862721182,-7.134016862721182,Done
30.0,-8.0,8.3,5.8,0.2,-20.84812868526205,-0.2650288480799645,-6.090580684598535,-7.246259576291777,-7.246259576291777,Done
30.0,-8.0,8.2,5.9,0.4,-19.90298567363061,-0.2871234756894409,-4.9328812102321535,-7.341490493854508,-7.341490493854508,Done
30.0,-8.0,8.0,6.1,0.6,-19.050933769671246,-0.3376819561235606,-3.84428941225633,-7.434481200645678,-7.434481200645678,Done
30.0,-8.0,8.0,6.1,0.8,-18.11437509558164,-0.3376819561235606,-2.991791977081448,-7.392450581188314,-7.392450581188314,Done
30.0,-8.0,8.0,6.2,1.0,-17.89804102294147,-0.3376819561235606,-2.8189819981344044,-7.370688534341752,-7.370688534341752,Done
30.0,-6.0,8.1,6.1,-1.0,-18.71208464598749,-0.3115712653379887,-3.8517567816888914,-7.274378299480304,-7.274378299480304,Done
30.0,-6.0,8.1,6.1,-0.8,-19.12349275243469,-0.3115712653379887,-4.180233166320249,-7.315844160388224,-7.315844160388224,Done
30.0,-6.0,8.1,6.0,-0.6,-19.65900978585705,-0.3115712653379887,-4.692381727742031,-7.327528396388516,-7.327528396388516,Done
30.0,-6.0,8.2,5.9,-0.4,-20.43404738674872,-0.2874058550223708,-5.4868156630545855,-7.32991293433588,-7.32991293433588,Done
30.0,-6.0,8.2,5.8,-0.2,-21.205991363618523,-0.2874058550223708,-6.280145180178806,-7.319220164208673,-7.319220164208673,Done
30.0,-6.0,8.3,5.7,0.0,-21.24749487498775,-0.265292402356863,-6.456437839893624,-7.262882316368632,-7.262882316368632,Done
30.0,-6.0,8.2,5.8,0.2,-20.668685925891623,-0.2874058550223708,-5.638597781537101,-7.371341144666076,-7.371341144666076,Done
