theta,A2,a,E1,machine_type,status,file_name
30.0,-10.0,8.2,-0.2869226722978055,3,Done,BTBT_theta=30_A2=-10_a=8.2_1.log
30.0,-10.0,8.3,-0.2648594209458679,3,Done,BTBT_theta=30_A2=-10_a=8.3_1.log
30.0,-10.0,8.4,-0.2446661489084363,3,Done,BTBT_theta=30_A2=-10_a=8.4_1.log
30.0,-10.0,8.1,-0.3110127812251448,3,Done,BTBT_theta=30_A2=-10_a=8.1_1.log
30.0,-8.0,8.1,-0.3112386849243194,3,Done,BTBT_theta=30_A2=-8_a=8.1_1.log
30.0,-8.0,8.2,-0.2871234756894409,3,Done,BTBT_theta=30_A2=-8_a=8.2_1.log
30.0,-8.0,8.3,-0.2650288480799645,3,Done,BTBT_theta=30_A2=-8_a=8.3_1.log
30.0,-8.0,8.0,-0.3376819561235606,3,Done,BTBT_theta=30_A2=-8_a=8.0_1.log
30.0,-6.0,8.1,-0.3115712653379887,3,Done,BTBT_theta=30_A2=-6_a=8.1_1.log
30.0,-6.0,8.2,-0.2874058550223708,3,Done,BTBT_theta=30_A2=-6_a=8.2_1.log
30.0,-6.0,8.3,-0.265292402356863,3,Done,BTBT_theta=30_A2=-6_a=8.3_1.log
30.0,-6.0,8.0,-0.3380584621336311,3,Done,BTBT_theta=30_A2=-6_a=8.0_1.log
30.0,-6.0,7.9,-0.3670870750211179,3,Done,BTBT_theta=30_A2=-6_a=7.9_1.log
30.0,-4.0,8.1,-0.3119854216929525,3,Done,BTBT_theta=30_A2=-4_a=8.1_1.log
30.0,-4.0,8.2,-0.2877572604920715,3,Done,BTBT_theta=30_A2=-4_a=8.2_1.log
30.0,-4.0,8.0,-0.338522819802165,3,Done,BTBT_theta=30_A2=-4_a=8.0_1.log
30.0,-4.0,7.9,-0.3676079083234072,3,Done,BTBT_theta=30_A2=-4_a=7.9_1.log
30.0,-2.0,8.1,-0.3125125300139189,3,Done,BTBT_theta=30_A2=-2_a=8.1_1.log
30.0,-2.0,8.2,-0.2882090678904205,3,Done,BTBT_theta=30_A2=-2_a=8.2_1.log
30.0,-2.0,8.0,-0.3390813039150089,3,Done,BTBT_theta=30_A2=-2_a=8.0_1.log
30.0,-2.0,7.9,-0.3682354183401912,3,Done,BTBT_theta=30_A2=-2_a=7.9_1.log
30.0,0.0,8.1,-0.3131149397231638,3,Done,BTBT_theta=30_A2=0_a=8.1_1.log
30.0,0.0,8.2,-0.288761276518926,3,Done,BTBT_theta=30_A2=0_a=8.2_1.log
30.0,0.0,8.3,-0.2664972217753529,3,Done,BTBT_theta=30_A2=0_a=8.3_1.log
30.0,0.0,8.0,-0.3397527392953634,3,Done,BTBT_theta=30_A2=0_a=8.0_1.log
30.0,0.0,7.9,-0.3689884303603321,3,Done,BTBT_theta=30_A2=0_a=7.9_1.log
30.0,2.0,8.2,-0.2894327121321112,3,Done,BTBT_theta=30_A2=2_a=8.2_1.log
30.0,2.0,8.3,-0.2670933562330901,3,Done,BTBT_theta=30_A2=2_a=8.3_1.log
30.0,2.0,8.1,-0.3138365764170885,3,Done,BTBT_theta=30_A2=2_a=8.1_1.log
30.0,2.0,8.0,-0.3405559519305825,3,Done,BTBT_theta=30_A2=2_a=8.0_1.log
30.0,2.0,7.9,-0.369879494421184,3,Done,BTBT_theta=30_A2=2_a=7.9_1.log
30.0,4.0,8.3,-0.2677961674053222,3,Done,BTBT_theta=30_A2=4_a=8.3_1.log
30.0,4.0,8.4,-0.2473267915192991,3,Done,BTBT_theta=30_A2=4_a=8.4_1.log
30.0,4.0,8.2,-0.2901982746552676,3,Done,BTBT_theta=30_A2=4_a=8.2_1.log
30.0,4.0,8.1,-0.31468371511437,3,Done,BTBT_theta=30_A2=4_a=8.1_1.log
30.0,4.0,8.0,-0.3414972170721739,3,Done,BTBT_theta=30_A2=4_a=8.0_1.log
