theta,A2,b,z,E2,machine_type,status,file_name
30.0,-10.0,6.1,-1.0,-3.645236965501681,3,Done,BTBT_theta=30_A2=-10_b=6.1_z=-1.0_2.log
30.0,-10.0,6.1,-0.8,-3.825941020390019,3,Done,BTBT_theta=30_A2=-10_b=6.1_z=-0.8_2.log
30.0,-10.0,6.1,-0.6,-4.234186476096511,3,Done,BTBT_theta=30_A2=-10_b=6.1_z=-0.6_2.log
30.0,-10.0,6.0,-0.4,-4.796975094825029,3,Done,BTBT_theta=30_A2=-10_b=6.0_z=-0.4_2.log
30.0,-10.0,5.9,-0.2,-5.617538545979187,3,Done,BTBT_theta=30_A2=-10_b=5.9_z=-0.2_2.log
30.0,-10.0,5.8,0.0,-6.3574418623466045,3,Done,BTBT_theta=30_A2=-10_b=5.8_z=0.0_2.log
30.0,-10.0,5.7,0.2,-6.392099239164963,3,Done,BTBT_theta=30_A2=-10_b=5.7_z=0.2_2.log
30.0,-10.0,5.8,0.4,-5.465919579844922,3,Done,BTBT_theta=30_A2=-10_b=5.8_z=0.4_2.log
30.0,-10.0,6.0,0.6,-4.268385771196336,3,Done,BTBT_theta=30_A2=-10_b=6.0_z=0.6_2.log
30.0,-10.0,6.1,0.8,-3.349328350275755,3,Done,BTBT_theta=30_A2=-10_b=6.1_z=0.8_2.log
30.0,-10.0,6.1,1.0,-2.755496811820194,3,Done,BTBT_theta=30_A2=-10_b=6.1_z=1.0_2.log
30.0,-8.0,6.1,-1.0,-3.7422625618055454,3,Done,BTBT_theta=30_A2=-8_b=6.1_z=-1.0_2.log
30.0,-8.0,6.1,-0.8,-3.994301953120157,3,Done,BTBT_theta=30_A2=-8_b=6.1_z=-0.8_2.log
30.0,-8.0,6.0,-0.6,-4.367933957371861,3,Done,BTBT_theta=30_A2=-8_b=6.0_z=-0.6_2.log
30.0,-8.0,5.9,-0.4,-5.08544144150801,3,Done,BTBT_theta=30_A2=-8_b=5.9_z=-0.4_2.log
30.0,-8.0,5.8,-0.2,-5.973870099755004,3,Done,BTBT_theta=30_A2=-8_b=5.8_z=-0.2_2.log
30.0,-8.0,5.7,0.0,-6.500325889093801,3,Done,BTBT_theta=30_A2=-8_b=5.7_z=0.0_2.log
30.0,-8.0,5.8,0.2,-6.090580684598535,3,Done,BTBT_theta=30_A2=-8_b=5.8_z=0.2_2.log
30.0,-8.0,5.9,0.4,-4.9328812102321535,3,Done,BTBT_theta=30_A2=-8_b=5.9_z=0.4_2.log
