theta,A2,a,b,z,E3,E4,machine_type,status,file_name
30.0,-10.0,8.2,6.1,-1.0,-7.253381814691238,-7.253381814691238,3,Done,BTBT_theta=30_A2=-10_a=8.2_b=6.1_z=-1.0_3.log
30.0,-10.0,8.3,6.1,-0.8,-7.18197745224461,-7.18197745224461,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.1_z=-0.8_3.log
30.0,-10.0,8.3,6.1,-0.6,-7.1448476852383465,-7.1448476852383465,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.1_z=-0.6_3.log
30.0,-10.0,8.3,6.0,-0.4,-7.086608482175507,-7.086608482175507,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.0_z=-0.4_3.log
30.0,-10.0,8.4,5.9,-0.2,-7.030640865210444,-7.030640865210444,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.9_z=-0.2_3.log
30.0,-10.0,8.4,5.8,0.0,-6.999459893326275,-6.999459893326275,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.8_z=0.0_3.log
30.0,-10.0,8.4,5.7,0.2,-6.965229222667404,-6.965229222667404,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.7_z=0.2_3.log
30.0,-10.0,8.3,5.8,0.4,-7.0829187233466655,-7.0829187233466655,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=5.8_z=0.4_3.log
30.0,-10.0,8.2,6.0,0.6,-7.232385330367833,-7.232385330367833,3,Done,BTBT_theta=30_A2=-10_a=8.2_b=6.0_z=0.6_3.log
30.0,-10.0,8.1,6.1,0.8,-7.260522878845222,-7.260522878845222,3,Done,BTBT_theta=30_A2=-10_a=8.1_b=6.1_z=0.8_3.log
30.0,-10.0,8.1,6.1,1.0,-7.210177751374431,-7.210177751374431,3,Done,BTBT_theta=30_A2=-10_a=8.1_b=6.1_z=1.0_3.log
30.0,-8.0,8.1,6.1,-1.0,-7.287486983463168,-7.287486983463168,3,Done,BTBT_theta=30_A2=-8_a=8.1_b=6.1_z=-1.0_3.log
30.0,-8.0,8.2,6.1,-0.8,-7.26688583008945,-7.26688583008945,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=6.1_z=-0.8_3.log
30.0,-8.0,8.2,6.0,-0.6,-7.238949084770866,-7.238949084770866,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=6.0_z=-0.6_3.log
30.0,-8.0,8.3,5.9,-0.4,-7.199547732132487,-7.199547732132487,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.9_z=-0.4_3.log
30.0,-8.0,8.3,5.8,-0.2,-7.1758153036935255,-7.1758153036935255,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.8_z=-0.2_3.log
30.0,-8.0,8.3,5.7,0.0,-7.134016862721182,-7.134016862721182,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.7_z=0.0_3.log
30.0,-8.0,8.3,5.8,0.2,-7.246259576291777,-7.246259576291777,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.8_z=0.2_3.log
30.0,-8.0,8.2,5.9,0.4,-7.341490493854508,-7.341490493854508,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=5.9_z=0.4_3.log
30.0,-8.0,8.0,6.1,0.6,-7.434481200645678,-7.434481200645678,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.1_z=0.6_3.log
30.0,-8.0,8.0,6.1,0.8,-7.392450581188314,-7.392450581188314,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.1_z=0.8_3.log
30.0,-8.0,8.0,6.2,1.0,-7.370688534341752,-7.370688534341752,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.2_z=1.0_3.log
