theta,a,b,z,status
10.0,6.9,7.1,0.0,NotYet
10.0,3.8,13.1,0.0,NotYet
20.0,7.4,6.6,0.0,NotYet
20.0,3.9,12.6,0.0,NotYet
25.0,7.8,6.3,0.0,NotYet
25.0,4.0,12.3,0.0,NotYet
30.0,8.2,6.0,0.0,NotYet
30.0,4.1,11.9,0.0,NotYet
35.0,8.9,5.6,0.0,NotYet
35.0,4.4,11.2,0.0,NotYet
40.0,9.6,5.3,0.0,NotYet
40.0,4.6,10.7,0.0,NotYet
45.0,10.5,4.9,0.0,NotYet
45.0,4.9,10.1,0.0,NotYet
50.0,11.4,4.6,0.0,NotYet
50.0,5.2,9.5,0.0,NotYet
55.0,12.1,4.3,0.0,NotYet
55.0,5.5,8.9,0.0,NotYet
60.0,12.7,4.1,0.0,NotYet
60.0,5.9,8.3,0.0,NotYet
65.0,13.2,4.0,0.0,NotYet
65.0,6.3,7.8,0.0,NotYet
70.0,13.6,3.9,0.0,NotYet
70.0,6.6,7.4,0.0,NotYet
80.0,14.1,3.7,0.0,NotYet
80.0,7.1,7.0,0.0,NotYet
