theta,A2,a,b,z,status
54,-10,5.4,9.4,-1.0,NotYet
54,-10,5.4,9.3,-0.8,NotYet
54,-10,5.4,9.3,-0.6,NotYet
54,-10,5.4,9.2,-0.4,NotYet
54,-10,5.3,9.2,-0.2,NotYet
54,-10,5.3,9.2,0.0,NotYet
54,-10,5.3,9.1,0.2,NotYet
54,-10,5.3,9.1,0.4,NotYet
54,-10,5.3,9.0,0.6,NotYet
54,-10,5.3,9.1,0.8,NotYet
54,-8,5.4,9.1,-1.0,NotYet
54,-8,5.4,9.1,-0.8,NotYet
54,-8,5.3,9.1,-0.6,NotYet
54,-8,5.3,9.1,-0.4,NotYet
54,-8,5.3,9.0,-0.2,NotYet
54,-8,5.3,9.0,0.0,NotYet
54,-8,5.3,9.0,0.2,NotYet
54,-8,5.3,9.0,0.4,NotYet
54,-8,5.3,9.0,0.6,NotYet
54,-8,5.3,9.0,0.8,NotYet
54,-6,5.4,8.9,-1.0,NotYet
54,-6,5.4,8.9,-0.8,NotYet
54,-6,5.3,9.0,-0.6,NotYet
54,-6,5.3,8.9,-0.4,NotYet
54,-6,5.3,8.9,-0.2,NotYet
54,-6,5.3,8.9,0.0,NotYet
54,-6,5.3,8.9,0.2,NotYet
54,-6,5.3,8.9,0.4,NotYet
54,-6,5.3,8.9,0.6,NotYet
54,-6,5.3,8.9,0.8,NotYet
54,-4,5.4,8.8,-1.0,NotYet
54,-4,5.3,8.9,-0.8,NotYet
54,-4,5.3,8.9,-0.6,NotYet
54,-4,5.3,8.8,-0.4,NotYet
54,-4,5.3,8.8,-0.2,NotYet
54,-4,5.3,8.8,0.0,NotYet
54,-4,5.3,8.8,0.2,NotYet
54,-4,5.3,8.9,0.4,NotYet
54,-4,5.4,8.8,0.6,NotYet
54,-4,5.4,8.8,0.8,NotYet
54,-2,5.3,8.8,-1.0,NotYet
54,-2,5.3,8.8,-0.8,NotYet
54,-2,5.3,8.8,-0.6,NotYet
54,-2,5.3,8.8,-0.4,NotYet
54,-2,5.3,8.8,-0.2,NotYet
54,-2,5.3,8.8,0.0,NotYet
54,-2,5.4,8.8,0.2,NotYet
54,-2,5.4,8.8,0.4,NotYet
54,-2,5.4,8.8,0.6,NotYet
54,-2,5.4,8.8,0.8,NotYet
54,0,5.4,8.8,-1.0,NotYet
54,0,5.3,8.8,-0.8,NotYet
54,0,5.3,8.8,-0.6,NotYet
54,0,5.4,8.8,-0.4,NotYet
54,0,5.4,8.8,-0.2,NotYet
54,0,5.4,8.8,0.0,NotYet
54,0,5.4,8.8,0.2,NotYet
54,0,5.4,8.8,0.4,NotYet
54,0,5.5,8.8,0.6,NotYet
54,0,5.5,8.8,0.8,NotYet
54,2,5.4,8.8,-1.0,NotYet
54,2,5.4,8.8,-0.8,NotYet
54,2,5.4,8.8,-0.6,NotYet
54,2,5.4,8.8,-0.4,NotYet
54,2,5.4,8.9,-0.2,NotYet
54,2,5.4,8.9,0.0,NotYet
54,2,5.5,8.8,0.2,NotYet
54,2,5.5,8.8,0.4,NotYet
54,2,5.5,8.9,0.6,NotYet
54,2,5.5,8.9,0.8,NotYet
54,4,5.4,8.9,-1.0,NotYet
54,4,5.4,8.9,-0.8,NotYet
54,4,5.4,8.9,-0.6,NotYet
54,4,5.4,9.0,-0.4,NotYet
54,4,5.5,8.9,-0.2,NotYet
54,4,5.5,8.9,0.0,NotYet
54,4,5.5,9.0,0.2,NotYet
54,4,5.5,9.0,0.4,NotYet
54,4,5.5,9.0,0.6,NotYet
54,4,5.5,9.0,0.8,NotYet
54,6,5.4,9.0,-1.0,NotYet
54,6,5.4,9.0,-0.8,NotYet
54,6,5.5,9.0,-0.6,NotYet
54,6,5.5,9.0,-0.4,NotYet
54,6,5.5,9.1,-0.2,NotYet
54,6,5.5,9.1,0.0,NotYet
54,6,5.5,9.1,0.2,NotYet
54,6,5.6,9.1,0.4,NotYet
54,6,5.6,9.1,0.6,NotYet
54,6,5.6,9.1,0.8,NotYet
54,8,5.5,9.1,-1.0,NotYet
54,8,5.5,9.1,-0.8,NotYet
54,8,5.5,9.2,-0.6,NotYet
54,8,5.5,9.2,-0.4,NotYet
54,8,5.5,9.2,-0.2,NotYet
54,8,5.6,9.2,0.0,NotYet
54,8,5.6,9.2,0.2,NotYet
54,8,5.6,9.3,0.4,NotYet
54,8,5.6,9.2,0.6,NotYet
54,8,5.6,9.2,0.8,NotYet
54,10,5.5,9.2,-1.0,NotYet
54,10,5.5,9.3,-0.8,NotYet
54,10,5.5,9.3,-0.6,NotYet
54,10,5.6,9.3,-0.4,NotYet
54,10,5.6,9.4,-0.2,NotYet
54,10,5.6,9.4,0.0,NotYet
54,10,5.6,9.4,0.2,NotYet
54,10,5.6,9.4,0.4,NotYet
54,10,5.6,9.4,0.6,NotYet
54,10,5.6,9.3,0.8,NotYet
56,-10,5.5,9.0,-1.0,NotYet
56,-10,5.5,9.0,-0.8,NotYet
56,-10,5.5,9.0,-0.6,NotYet
56,-10,5.5,8.9,-0.4,NotYet
56,-10,5.5,8.9,-0.2,NotYet
56,-10,5.4,8.9,0.0,NotYet
56,-10,5.4,8.9,0.2,NotYet
56,-10,5.4,8.8,0.4,NotYet
56,-10,5.4,8.8,0.6,NotYet
56,-10,5.4,8.8,0.8,NotYet
56,-8,5.5,8.8,-1.0,NotYet
56,-8,5.5,8.8,-0.8,NotYet
56,-8,5.5,8.8,-0.6,NotYet
56,-8,5.5,8.8,-0.4,NotYet
56,-8,5.4,8.8,-0.2,NotYet
56,-8,5.4,8.8,0.0,NotYet
56,-8,5.4,8.8,0.2,NotYet
56,-8,5.4,8.8,0.4,NotYet
56,-8,5.4,8.8,0.6,NotYet
56,-8,5.4,8.8,0.8,NotYet
56,-6,5.5,8.7,-1.0,NotYet
56,-6,5.5,8.7,-0.8,NotYet
56,-6,5.4,8.7,-0.6,NotYet
56,-6,5.4,8.7,-0.4,NotYet
56,-6,5.4,8.7,-0.2,NotYet
56,-6,5.4,8.7,0.0,NotYet
56,-6,5.4,8.7,0.2,NotYet
56,-6,5.4,8.7,0.4,NotYet
56,-6,5.4,8.7,0.6,NotYet
56,-6,5.4,8.7,0.8,NotYet
56,-4,5.5,8.6,-1.0,NotYet
56,-4,5.5,8.6,-0.8,NotYet
56,-4,5.5,8.6,-0.6,NotYet
56,-4,5.4,8.6,-0.4,NotYet
56,-4,5.4,8.6,-0.2,NotYet
56,-4,5.4,8.6,0.0,NotYet
56,-4,5.4,8.6,0.2,NotYet
56,-4,5.5,8.6,0.4,NotYet
56,-4,5.5,8.6,0.6,NotYet
56,-4,5.5,8.6,0.8,NotYet
56,-2,5.5,8.6,-1.0,NotYet
56,-2,5.5,8.6,-0.8,NotYet
56,-2,5.5,8.6,-0.6,NotYet
56,-2,5.5,8.5,-0.4,NotYet
56,-2,5.5,8.5,-0.2,NotYet
56,-2,5.5,8.5,0.0,NotYet
56,-2,5.5,8.5,0.2,NotYet
56,-2,5.5,8.6,0.4,NotYet
56,-2,5.5,8.6,0.6,NotYet
56,-2,5.6,8.5,0.8,NotYet
56,0,5.5,8.6,-1.0,NotYet
56,0,5.5,8.6,-0.8,NotYet
56,0,5.5,8.6,-0.6,NotYet
56,0,5.5,8.6,-0.4,NotYet
56,0,5.5,8.6,-0.2,NotYet
56,0,5.5,8.6,0.0,NotYet
56,0,5.6,8.5,0.2,NotYet
56,0,5.6,8.5,0.4,NotYet
56,0,5.6,8.5,0.6,NotYet
56,0,5.6,8.5,0.8,NotYet
56,2,5.5,8.6,-1.0,NotYet
56,2,5.5,8.6,-0.8,NotYet
56,2,5.6,8.6,-0.6,NotYet
56,2,5.6,8.6,-0.4,NotYet
56,2,5.6,8.6,-0.2,NotYet
56,2,5.6,8.6,0.0,NotYet
56,2,5.6,8.6,0.2,NotYet
56,2,5.6,8.6,0.4,NotYet
56,2,5.7,8.5,0.6,NotYet
56,2,5.7,8.5,0.8,NotYet
56,4,5.6,8.7,-1.0,NotYet
56,4,5.6,8.7,-0.8,NotYet
56,4,5.6,8.7,-0.6,NotYet
56,4,5.6,8.7,-0.4,NotYet
56,4,5.6,8.7,-0.2,NotYet
56,4,5.7,8.6,0.0,NotYet
56,4,5.7,8.7,0.2,NotYet
56,4,5.7,8.7,0.4,NotYet
56,4,5.7,8.7,0.6,NotYet
56,4,5.7,8.7,0.8,NotYet
56,6,5.6,8.8,-1.0,NotYet
56,6,5.6,8.8,-0.8,NotYet
56,6,5.6,8.8,-0.6,NotYet
56,6,5.7,8.8,-0.4,NotYet
56,6,5.7,8.8,-0.2,NotYet
56,6,5.7,8.8,0.0,NotYet
56,6,5.7,8.8,0.2,NotYet
56,6,5.8,8.8,0.4,NotYet
56,6,5.8,8.8,0.6,NotYet
56,6,5.7,8.8,0.8,NotYet
56,8,5.7,8.8,-1.0,NotYet
56,8,5.7,8.9,-0.8,NotYet
56,8,5.7,8.9,-0.6,NotYet
56,8,5.7,8.9,-0.4,NotYet
56,8,5.8,8.9,-0.2,NotYet
56,8,5.8,8.9,0.0,NotYet
56,8,5.8,8.9,0.2,NotYet
56,8,5.8,8.9,0.4,NotYet
56,8,5.8,8.9,0.6,NotYet
56,8,5.8,8.9,0.8,NotYet
56,10,5.7,9.0,-1.0,NotYet
56,10,5.7,9.0,-0.8,NotYet
