,theta,A2,a,b,z,status
0,20.0,-10.0,7.4,6.5,0.0,NotYet
1,20.0,-8.0,7.3,6.4,0.0,NotYet
2,20.0,-6.0,7.3,6.4,0.0,NotYet
3,20.0,-4.0,7.3,6.4,0.0,NotYet
4,20.0,-2.0,7.3,6.5,0.0,NotYet
5,20.0,2.0,7.3,6.7,0.0,NotYet
6,20.0,4.0,7.3,6.8,0.0,NotYet
7,20.0,6.0,7.3,6.9,0.0,NotYet
8,20.0,8.0,7.4,6.9,0.0,NotYet
9,20.0,10.0,7.4,7.0,0.0,NotYet
10,21.0,-10.0,7.5,6.4,0.0,NotYet
11,21.0,-8.0,7.4,6.4,0.0,NotYet
12,21.0,-6.0,7.4,6.3,0.0,NotYet
13,21.0,-4.0,7.4,6.3,0.0,NotYet
14,21.0,-2.0,7.4,6.4,0.0,NotYet
15,21.0,2.0,7.3,6.6,0.0,NotYet
16,21.0,4.0,7.4,6.7,0.0,NotYet
17,21.0,6.0,7.4,6.8,0.0,NotYet
18,21.0,8.0,7.4,6.9,0.0,NotYet
19,21.0,10.0,7.5,6.9,0.0,NotYet
20,22.0,-10.0,7.5,6.4,0.0,NotYet
21,22.0,-8.0,7.5,6.3,0.0,NotYet
22,22.0,-6.0,7.5,6.2,0.0,NotYet
23,22.0,-4.0,7.4,6.3,0.0,NotYet
24,22.0,-2.0,7.4,6.3,0.0,NotYet
25,22.0,2.0,7.4,6.5,0.0,NotYet
26,22.0,4.0,7.4,6.6,0.0,NotYet
27,22.0,6.0,7.5,6.7,0.0,NotYet
28,22.0,8.0,7.5,6.8,0.0,NotYet
29,22.0,10.0,7.5,6.9,0.0,NotYet
30,23.0,-10.0,7.6,6.3,0.0,NotYet
31,23.0,-8.0,7.6,6.2,0.0,NotYet
32,23.0,-6.0,7.5,6.2,0.0,NotYet
33,23.0,-4.0,7.5,6.2,0.0,NotYet
34,23.0,-2.0,7.5,6.3,0.0,NotYet
35,23.0,2.0,7.5,6.5,0.0,NotYet
36,23.0,4.0,7.5,6.6,0.0,NotYet
37,23.0,6.0,7.5,6.7,0.0,NotYet
38,23.0,8.0,7.6,6.7,0.0,NotYet
39,23.0,10.0,7.6,6.8,0.0,NotYet
40,24.0,-10.0,7.7,6.2,0.0,NotYet
41,24.0,-8.0,7.7,6.1,0.0,NotYet
42,24.0,-6.0,7.6,6.1,0.0,NotYet
43,24.0,-4.0,7.6,6.1,0.0,NotYet
44,24.0,-2.0,7.6,6.2,0.0,NotYet
45,24.0,2.0,7.6,6.4,0.0,NotYet
46,24.0,4.0,7.6,6.5,0.0,NotYet
47,24.0,6.0,7.6,6.6,0.0,NotYet
48,24.0,8.0,7.7,6.7,0.0,NotYet
49,24.0,10.0,7.7,6.7,0.0,NotYet
50,25.0,-10.0,7.9,6.1,0.0,NotYet
51,25.0,-8.0,7.8,6.1,0.0,NotYet
52,25.0,-6.0,7.7,6.1,0.0,NotYet
53,25.0,-4.0,7.7,6.1,0.0,NotYet
54,25.0,-2.0,7.7,6.1,0.0,NotYet
55,25.0,2.0,7.7,6.3,0.0,NotYet
56,25.0,4.0,7.7,6.4,0.0,NotYet
57,25.0,6.0,7.7,6.5,0.0,NotYet
58,25.0,8.0,7.8,6.6,0.0,NotYet
59,25.0,10.0,7.8,6.7,0.0,NotYet
60,26.0,-10.0,8.0,6.0,0.0,NotYet
