theta,A2,a,b,z,status
20.0,-10.0,7.4,6.5,0.0,NotYet
20.0,-8.0,7.3,6.4,0.0,NotYet
20.0,-6.0,7.3,6.4,0.0,NotYet
20.0,-4.0,7.3,6.4,0.0,NotYet
20.0,-2.0,7.3,6.5,0.0,NotYet
20.0,0.0,7.4,6.6,0.0,NotYet
21.0,-10.0,7.5,6.4,0.0,NotYet
21.0,-8.0,7.4,6.4,0.0,NotYet
21.0,-6.0,7.4,6.3,0.0,NotYet
21.0,-4.0,7.4,6.3,0.0,NotYet
21.0,-2.0,7.4,6.4,0.0,NotYet
21.0,0.0,7.4,6.6,0.0,NotYet
22.0,-10.0,7.5,6.4,0.0,NotYet
22.0,-8.0,7.5,6.3,0.0,NotYet
22.0,-6.0,7.5,6.2,0.0,NotYet
22.0,-4.0,7.4,6.3,0.0,NotYet
22.0,-2.0,7.4,6.3,0.0,NotYet
22.0,0.0,7.5,6.5,0.0,NotYet
23.0,-10.0,7.6,6.3,0.0,NotYet
23.0,-8.0,7.6,6.2,0.0,NotYet
23.0,-6.0,7.5,6.2,0.0,NotYet
23.0,-4.0,7.5,6.2,0.0,NotYet
23.0,-2.0,7.5,6.3,0.0,NotYet
23.0,0.0,7.6,6.5,0.0,NotYet
24.0,-10.0,7.7,6.2,0.0,NotYet
24.0,-8.0,7.7,6.1,0.0,NotYet
24.0,-6.0,7.6,6.1,0.0,NotYet
24.0,-4.0,7.6,6.1,0.0,NotYet
24.0,-2.0,7.6,6.2,0.0,NotYet
24.0,0.0,7.7,6.4,0.0,NotYet
25.0,-10.0,7.9,6.1,0.0,NotYet
25.0,-8.0,7.8,6.1,0.0,NotYet
25.0,-6.0,7.7,6.1,0.0,NotYet
25.0,-4.0,7.7,6.1,0.0,NotYet
25.0,-2.0,7.7,6.1,0.0,NotYet
25.0,0.0,7.8,6.3,0.0,NotYet
26.0,-10.0,8.0,6.0,0.0,NotYet
26.0,-8.0,7.9,6.0,0.0,NotYet
26.0,-6.0,7.8,6.0,0.0,NotYet
26.0,-4.0,7.8,6.0,0.0,NotYet
26.0,-2.0,7.7,6.1,0.0,NotYet
26.0,0.0,7.8,6.3,0.0,NotYet
27.0,-10.0,8.1,6.0,0.0,NotYet
27.0,-8.0,8.0,5.9,0.0,NotYet
27.0,-6.0,7.9,5.9,0.0,NotYet
27.0,-4.0,7.9,5.9,0.0,NotYet
27.0,-2.0,7.8,6.0,0.0,NotYet
27.0,0.0,7.9,6.2,0.0,NotYet
28.0,-10.0,8.2,5.9,0.0,NotYet
28.0,-8.0,8.1,5.9,0.0,NotYet
28.0,-6.0,8.0,5.9,0.0,NotYet
28.0,-4.0,8.0,5.9,0.0,NotYet
28.0,-2.0,7.9,6.0,0.0,NotYet
28.0,0.0,8.0,6.1,0.0,NotYet
29.0,-10.0,8.3,5.8,0.0,NotYet
29.0,-8.0,8.2,5.8,0.0,NotYet
