a,b,theta,A1,A2,status
7.9,6.2,28.5,0,-12,NotYet
7.9,6.3,28.5,0,-14,NotYet
7.9,6.3,28.5,0,-16,NotYet
7.9,6.4,28.5,0,-18,NotYet
7.9,6.5,28.5,0,-20,NotYet
7.9,6.6,28.5,0,-22,NotYet
7.9,6.7,28.5,0,-24,NotYet
7.9,6.8,28.5,0,-26,NotYet
7.9,6.9,28.5,0,-28,NotYet
7.9,7.0,28.5,0,-30,NotYet
7.9,7.2,28.5,0,-32,NotYet
7.9,7.4,28.5,0,-34,NotYet
7.9,7.5,28.5,0,-36,NotYet
7.9,7.7,28.5,0,-38,NotYet
7.9,8.0,28.5,0,-40,NotYet
7.9,7.5,28.5,0,36,NotYet
7.9,7.7,28.5,0,38,NotYet
7.9,8.0,28.5,0,40,NotYet
