theta,A2,phi,a,b,z,status
60.0,-10.0,87.0,5.5,10.0,-1.0,NotYet
60.0,-10.0,87.0,5.5,10.1,-0.8,NotYet
60.0,-10.0,66.0,5.6,9.1,-0.6,NotYet
60.0,-10.0,66.0,5.6,9.1,-0.4,NotYet
60.0,-10.0,66.0,5.6,9.2,-0.2,NotYet
60.0,-10.0,66.0,5.7,9.4,0.0,NotYet
60.0,-10.0,66.0,5.7,10.1,0.2,NotYet
60.0,-10.0,132.0,5.5,8.7,0.4,NotYet
60.0,-10.0,140.0,5.5,8.5,0.6,NotYet
60.0,-10.0,91.0,5.5,12.6,0.8,NotYet
60.0,-10.0,91.0,10.4,11.1,1.0,NotYet
60.0,-8.0,93.0,5.5,10.0,-1.0,NotYet
60.0,-8.0,92.0,5.5,10.1,-0.8,NotYet
60.0,-8.0,92.0,5.5,10.2,-0.6,NotYet
60.0,-8.0,92.0,5.5,10.3,-0.4,NotYet
60.0,-8.0,92.0,5.5,10.4,-0.2,NotYet
60.0,-8.0,92.0,5.5,10.9,0.0,NotYet
60.0,-8.0,71.0,6.0,9.4,0.2,NotYet
60.0,-8.0,71.0,5.6,10.8,0.4,NotYet
60.0,-8.0,83.0,5.6,11.8,0.6,NotYet
60.0,-8.0,84.0,5.5,12.3,0.8,NotYet
60.0,-8.0,85.0,5.5,12.6,1.0,NotYet
60.0,-6.0,77.0,5.6,8.6,-1.0,NotYet
60.0,-6.0,77.0,5.5,8.7,-0.8,NotYet
60.0,-6.0,77.0,5.5,8.8,-0.6,NotYet
60.0,-6.0,77.0,5.6,8.8,-0.4,NotYet
60.0,-6.0,77.0,5.6,8.9,-0.2,NotYet
60.0,-6.0,77.0,5.7,9.0,0.0,NotYet
60.0,-6.0,77.0,6.0,9.1,0.2,NotYet
60.0,-6.0,77.0,6.5,9.1,0.4,NotYet
60.0,-6.0,86.0,5.6,11.4,0.6,NotYet
60.0,-6.0,88.0,5.6,12.0,0.8,NotYet
60.0,-6.0,89.0,5.5,12.5,1.0,NotYet
60.0,-4.0,83.0,5.6,8.4,-1.0,NotYet
60.0,-4.0,83.0,5.6,8.5,-0.8,NotYet
60.0,-4.0,83.0,5.6,8.6,-0.6,NotYet
60.0,-4.0,83.0,5.6,8.7,-0.4,NotYet
60.0,-4.0,83.0,5.6,8.7,-0.2,NotYet
60.0,-4.0,83.0,5.7,8.8,0.0,NotYet
60.0,-4.0,83.0,5.9,9.0,0.2,NotYet
60.0,-4.0,83.0,6.6,8.7,0.4,NotYet
60.0,-4.0,83.0,7.1,8.7,0.6,NotYet
60.0,-4.0,93.0,5.6,11.8,0.8,NotYet
60.0,-4.0,94.0,5.6,12.2,1.0,NotYet
60.0,-2.0,90.0,5.6,8.3,-1.0,NotYet
60.0,-2.0,90.0,5.6,8.4,-0.8,NotYet
60.0,-2.0,90.0,5.6,8.5,-0.6,NotYet
60.0,-2.0,90.0,5.6,8.6,-0.4,NotYet
60.0,-2.0,90.0,5.6,8.6,-0.2,NotYet
60.0,-2.0,90.0,5.7,8.7,0.0,NotYet
60.0,-2.0,90.0,5.8,8.8,0.2,NotYet
60.0,-2.0,90.0,6.5,8.4,0.4,NotYet
60.0,-2.0,90.0,8.3,7.0,0.6,NotYet
60.0,-2.0,89.0,8.3,7.2,0.8,NotYet
60.0,-2.0,89.0,8.1,7.7,1.0,NotYet
60.0,0.0,90.0,5.7,8.4,-1.0,NotYet
60.0,0.0,94.0,5.7,8.3,-0.8,NotYet
60.0,0.0,94.0,5.7,8.4,-0.6,NotYet
60.0,0.0,94.0,5.7,8.4,-0.4,NotYet
60.0,0.0,94.0,5.7,8.5,-0.2,NotYet
60.0,0.0,94.0,5.8,8.5,0.0,NotYet
60.0,0.0,94.0,5.9,8.5,0.2,NotYet
60.0,0.0,96.0,6.0,8.6,0.4,NotYet
60.0,0.0,96.0,7.8,7.1,0.6,NotYet
60.0,0.0,97.0,8.1,7.0,0.8,NotYet
60.0,0.0,97.0,8.0,7.3,1.0,NotYet
60.0,2.0,100.0,5.8,8.3,-1.0,NotYet
60.0,2.0,100.0,5.8,8.3,-0.8,NotYet
60.0,2.0,100.0,5.9,8.3,-0.6,NotYet
60.0,2.0,100.0,5.8,8.4,-0.4,NotYet
60.0,2.0,100.0,5.8,8.4,-0.2,NotYet
60.0,2.0,100.0,5.9,8.4,0.0,NotYet
60.0,2.0,100.0,5.9,8.5,0.2,NotYet
60.0,2.0,102.0,5.9,8.7,0.4,NotYet
60.0,2.0,102.0,5.9,8.9,0.6,NotYet
60.0,2.0,102.0,5.9,9.2,0.8,NotYet
60.0,2.0,103.0,5.9,9.4,1.0,NotYet
60.0,4.0,110.0,5.9,8.3,-1.0,NotYet
60.0,4.0,110.0,6.0,8.3,-0.8,NotYet
60.0,4.0,110.0,6.0,8.3,-0.6,NotYet
60.0,4.0,110.0,6.0,8.4,-0.4,NotYet
60.0,4.0,110.0,6.0,8.4,-0.2,NotYet
60.0,4.0,110.0,5.9,8.5,0.0,NotYet
60.0,4.0,110.0,5.9,8.7,0.2,NotYet
60.0,4.0,110.0,5.8,8.9,0.4,NotYet
60.0,4.0,108.0,5.9,9.0,0.6,NotYet
60.0,4.0,108.0,5.9,9.2,0.8,NotYet
60.0,4.0,109.0,5.9,9.4,1.0,NotYet
60.0,6.0,118.0,6.0,8.4,-1.0,NotYet
60.0,6.0,118.0,6.0,8.4,-0.8,NotYet
60.0,6.0,118.0,6.0,8.5,-0.6,NotYet
60.0,6.0,118.0,6.0,8.6,-0.4,NotYet
60.0,6.0,118.0,6.0,8.6,-0.2,NotYet
60.0,6.0,118.0,6.0,8.6,0.0,NotYet
60.0,6.0,118.0,5.9,8.8,0.2,NotYet
60.0,6.0,122.0,5.9,8.8,0.4,NotYet
60.0,6.0,132.0,5.9,8.7,0.6,NotYet
60.0,6.0,140.0,5.9,8.6,0.8,NotYet
60.0,6.0,148.0,5.9,8.5,1.0,NotYet
60.0,8.0,122.0,6.0,8.6,-1.0,NotYet
60.0,8.0,122.0,6.0,8.7,-0.8,NotYet
60.0,8.0,122.0,6.0,8.8,-0.6,NotYet
60.0,8.0,124.0,6.0,8.7,-0.4,NotYet
60.0,8.0,128.0,6.0,8.6,-0.2,NotYet
60.0,8.0,128.0,6.0,8.7,0.0,NotYet
60.0,8.0,128.0,6.0,8.7,0.2,NotYet
60.0,8.0,132.0,5.9,8.7,0.4,NotYet
60.0,8.0,132.0,5.9,8.8,0.6,NotYet
60.0,8.0,140.0,5.9,8.7,0.8,NotYet
60.0,8.0,148.0,5.9,8.6,1.0,NotYet
60.0,10.0,55.0,6.0,10.7,-1.0,NotYet
60.0,10.0,76.0,6.0,12.1,-0.8,NotYet
60.0,10.0,82.0,6.0,12.6,-0.6,NotYet
60.0,10.0,132.0,6.0,8.7,-0.4,NotYet
60.0,10.0,132.0,6.1,8.7,-0.2,NotYet
60.0,10.0,132.0,6.0,8.8,0.0,NotYet
60.0,10.0,132.0,6.0,8.8,0.2,NotYet
60.0,10.0,132.0,6.0,8.9,0.4,NotYet
60.0,10.0,132.0,6.0,8.9,0.6,NotYet
60.0,10.0,140.0,6.0,8.8,0.8,NotYet
60.0,10.0,82.0,6.0,15.7,1.0,NotYet
