theta,A2,phi,a,b,z,status
30.0,-10.0,199,9.5,7.1,-2.0,NotYet
30.0,-10.0,201,8.8,6.8,-1.8,NotYet
30.0,-10.0,203,8.3,6.6,-1.6,NotYet
30.0,-10.0,205,8.0,6.3,-1.4,NotYet
30.0,-10.0,205,8.1,6.2,-1.2,NotYet
30.0,-10.0,205,8.2,6.1,-1.0,NotYet
30.0,-10.0,190,4.1,12.5,-0.8,NotYet
30.0,-10.0,189,4.2,12.3,-0.6,NotYet
30.0,-10.0,189,4.2,12.2,-0.4,NotYet
30.0,-10.0,188,4.2,12.0,-0.2,NotYet
30.0,-10.0,188,4.2,11.7,0.0,NotYet
30.0,-10.0,188,4.2,11.5,0.2,NotYet
30.0,-10.0,188,4.2,11.3,0.4,NotYet
30.0,-10.0,188,4.2,11.2,0.6,NotYet
30.0,-10.0,189,4.2,11.3,0.8,NotYet
30.0,-10.0,205,8.2,6.0,1.0,NotYet
30.0,-8.0,199,8.6,6.8,-2.0,NotYet
30.0,-8.0,199,8.5,6.6,-1.8,NotYet
30.0,-8.0,202,8.0,6.3,-1.6,NotYet
30.0,-8.0,202,8.0,6.1,-1.4,NotYet
30.0,-8.0,202,8.0,6.1,-1.2,NotYet
30.0,-8.0,204,8.1,6.0,-1.0,NotYet
30.0,-8.0,204,8.1,6.0,-0.8,NotYet
30.0,-8.0,204,8.2,5.9,-0.6,NotYet
30.0,-8.0,204,8.3,5.7,-0.4,NotYet
30.0,-8.0,204,8.4,5.6,-0.2,NotYet
30.0,-8.0,204,8.4,5.5,0.0,NotYet
30.0,-8.0,204,8.3,5.6,0.2,NotYet
30.0,-8.0,202,8.3,5.7,0.4,NotYet
30.0,-8.0,202,8.1,5.9,0.6,NotYet
30.0,-8.0,202,8.0,6.0,0.8,NotYet
30.0,-8.0,200,8.1,6.0,1.0,NotYet
30.0,-6.0,198,8.1,6.6,-2.0,NotYet
30.0,-6.0,199,7.9,6.4,-1.8,NotYet
30.0,-6.0,200,7.9,6.1,-1.6,NotYet
30.0,-6.0,200,8.0,6.0,-1.4,NotYet
30.0,-6.0,200,8.0,6.0,-1.2,NotYet
30.0,-6.0,200,8.0,6.0,-1.0,NotYet
30.0,-6.0,200,8.1,5.9,-0.8,NotYet
30.0,-6.0,200,8.2,5.8,-0.6,NotYet
30.0,-6.0,200,8.2,5.7,-0.4,NotYet
30.0,-6.0,200,8.3,5.5,-0.2,NotYet
30.0,-6.0,200,8.3,5.5,0.0,NotYet
30.0,-6.0,200,8.2,5.6,0.2,NotYet
30.0,-6.0,200,8.1,5.8,0.4,NotYet
30.0,-6.0,200,8.0,5.9,0.6,NotYet
30.0,-6.0,199,7.9,6.0,0.8,NotYet
30.0,-6.0,197,8.0,6.0,1.0,NotYet
30.0,-4.0,197,7.9,6.4,-2.0,NotYet
30.0,-4.0,197,7.9,6.2,-1.8,NotYet
30.0,-4.0,197,8.0,6.0,-1.6,NotYet
30.0,-4.0,197,8.0,6.0,-1.4,NotYet
30.0,-4.0,197,8.0,6.0,-1.2,NotYet
30.0,-4.0,197,8.1,5.9,-1.0,NotYet
30.0,-4.0,197,8.2,5.8,-0.8,NotYet
30.0,-4.0,197,8.2,5.7,-0.6,NotYet
30.0,-4.0,197,8.3,5.6,-0.4,NotYet
30.0,-4.0,197,8.3,5.5,-0.2,NotYet
30.0,-4.0,197,8.3,5.5,0.0,NotYet
30.0,-4.0,197,8.2,5.7,0.2,NotYet
30.0,-4.0,197,8.0,5.9,0.4,NotYet
30.0,-4.0,197,7.9,6.0,0.6,NotYet
30.0,-4.0,197,7.8,6.1,0.8,NotYet
30.0,-4.0,194,7.9,6.1,1.0,NotYet
30.0,-2.0,196,8.1,6.2,-2.0,NotYet
30.0,-2.0,194,8.0,6.0,-1.8,NotYet
30.0,-2.0,193,8.0,5.9,-1.6,NotYet
30.0,-2.0,193,8.0,6.0,-1.4,NotYet
30.0,-2.0,193,8.1,5.9,-1.2,NotYet
30.0,-2.0,193,8.2,5.9,-1.0,NotYet
30.0,-2.0,193,8.2,5.8,-0.8,NotYet
30.0,-2.0,193,8.3,5.7,-0.6,NotYet
30.0,-2.0,193,8.4,5.5,-0.4,NotYet
30.0,-2.0,193,8.4,5.5,-0.2,NotYet
30.0,-2.0,193,8.3,5.6,0.0,NotYet
30.0,-2.0,193,8.1,5.8,0.2,NotYet
30.0,-2.0,193,8.0,5.9,0.4,NotYet
30.0,-2.0,193,7.9,6.1,0.6,NotYet
30.0,-2.0,193,7.8,6.1,0.8,NotYet
30.0,-2.0,193,7.8,6.1,1.0,NotYet
30.0,0.0,193,8.2,6.0,-2.0,NotYet
30.0,0.0,190,8.1,5.9,-1.8,NotYet
30.0,0.0,190,8.1,5.9,-1.6,NotYet
30.0,0.0,190,8.2,5.9,-1.4,NotYet
30.0,0.0,190,8.2,5.9,-1.2,NotYet
30.0,0.0,190,8.3,5.8,-1.0,NotYet
30.0,0.0,190,8.4,5.7,-0.8,NotYet
30.0,0.0,190,8.4,5.6,-0.6,NotYet
30.0,0.0,190,8.5,5.5,-0.4,NotYet
30.0,0.0,190,8.4,5.5,-0.2,NotYet
30.0,0.0,190,8.3,5.7,0.0,NotYet
30.0,0.0,190,8.1,5.9,0.2,NotYet
30.0,0.0,190,8.0,6.0,0.4,NotYet
30.0,0.0,190,7.9,6.1,0.6,NotYet
30.0,0.0,190,7.9,6.1,0.8,NotYet
30.0,0.0,190,7.9,6.1,1.0,NotYet
30.0,2.0,187,8.2,5.8,-2.0,NotYet
30.0,2.0,188,8.3,5.8,-1.8,NotYet
30.0,2.0,188,8.3,5.8,-1.6,NotYet
30.0,2.0,187,8.3,5.9,-1.4,NotYet
30.0,2.0,186,8.4,5.8,-1.2,NotYet
30.0,2.0,186,8.5,5.7,-1.0,NotYet
30.0,2.0,186,8.5,5.6,-0.8,NotYet
30.0,2.0,186,8.6,5.5,-0.6,NotYet
30.0,2.0,186,8.5,5.5,-0.4,NotYet
30.0,2.0,186,8.4,5.6,-0.2,NotYet
30.0,2.0,186,8.3,5.8,0.0,NotYet
30.0,2.0,186,8.1,6.0,0.2,NotYet
30.0,2.0,186,8.0,6.1,0.4,NotYet
30.0,2.0,190,8.0,6.1,0.6,NotYet
30.0,2.0,190,8.0,6.1,0.8,NotYet
30.0,2.0,190,8.0,6.1,1.0,NotYet
30.0,4.0,183,8.4,5.7,-2.0,NotYet
30.0,4.0,183,8.3,5.8,-1.8,NotYet
30.0,4.0,183,8.4,5.8,-1.6,NotYet
30.0,4.0,183,8.4,5.8,-1.4,NotYet
30.0,4.0,182,8.5,5.8,-1.2,NotYet
30.0,4.0,182,8.6,5.7,-1.0,NotYet
30.0,4.0,182,8.6,5.6,-0.8,NotYet
30.0,4.0,182,8.7,5.5,-0.6,NotYet
30.0,4.0,182,8.6,5.5,-0.4,NotYet
30.0,4.0,182,8.5,5.7,-0.2,NotYet
30.0,4.0,183,8.3,5.9,0.0,NotYet
30.0,4.0,183,8.1,6.1,0.2,NotYet
30.0,4.0,183,8.0,6.2,0.4,NotYet
30.0,4.0,186,8.0,6.2,0.6,NotYet
30.0,4.0,188,8.1,6.1,0.8,NotYet
30.0,4.0,187,8.1,6.1,1.0,NotYet
30.0,6.0,180,8.5,5.7,-2.0,NotYet
30.0,6.0,180,8.5,5.7,-1.8,NotYet
30.0,6.0,180,8.6,5.7,-1.6,NotYet
30.0,6.0,180,8.7,5.7,-1.4,NotYet
30.0,6.0,180,8.7,5.7,-1.2,NotYet
