theta,A2,phi,a,b,z,status
30.0,-20.0,191,9.4,6.3,-2.0,NotYet
30.0,-20.0,192,9.3,6.3,-1.8,NotYet
30.0,-20.0,193,9.0,6.0,-1.6,NotYet
30.0,-20.0,194,8.9,6.2,-1.4,NotYet
30.0,-20.0,194,9.1,6.3,-1.2,NotYet
30.0,-20.0,195,15.0,6.8,-1.0,NotYet
30.0,-20.0,218,9.0,6.5,-0.8,NotYet
30.0,-20.0,218,9.1,6.4,-0.6,NotYet
30.0,-20.0,189,4.1,13.2,-0.4,NotYet
30.0,-20.0,188,4.2,13.1,-0.2,NotYet
30.0,-20.0,188,4.2,13.1,0.0,NotYet
30.0,-20.0,188,6.3,10.7,0.2,NotYet
30.0,-20.0,188,6.4,10.4,0.4,NotYet
30.0,-20.0,188,6.3,10.4,0.6,NotYet
30.0,-20.0,188,4.2,12.6,0.8,NotYet
30.0,-20.0,188,4.2,12.3,1.0,NotYet
30.0,-18.0,190,9.0,6.2,-2.0,NotYet
30.0,-18.0,191,8.8,6.1,-1.8,NotYet
30.0,-18.0,191,8.9,6.0,-1.6,NotYet
30.0,-18.0,192,8.8,6.2,-1.4,NotYet
30.0,-18.0,192,10.0,6.6,-1.2,NotYet
30.0,-18.0,193,14.8,6.6,-1.0,NotYet
30.0,-18.0,218,8.7,6.4,-0.8,NotYet
30.0,-18.0,188,4.2,13.0,-0.6,NotYet
30.0,-18.0,187,4.2,13.0,-0.4,NotYet
30.0,-18.0,198,4.1,13.0,-0.2,NotYet
30.0,-18.0,194,4.1,13.0,0.0,NotYet
30.0,-18.0,193,6.2,10.5,0.2,NotYet
30.0,-18.0,193,6.0,10.5,0.4,NotYet
30.0,-18.0,193,4.1,12.5,0.6,NotYet
30.0,-18.0,194,4.1,12.3,0.8,NotYet
30.0,-18.0,186,4.2,11.9,1.0,NotYet
30.0,-16.0,188,8.9,6.0,-2.0,NotYet
30.0,-16.0,189,8.7,5.9,-1.8,NotYet
30.0,-16.0,190,8.5,6.0,-1.6,NotYet
30.0,-16.0,190,9.5,6.5,-1.4,NotYet
30.0,-16.0,190,9.7,6.7,-1.2,NotYet
30.0,-16.0,215,8.4,6.4,-1.0,NotYet
30.0,-16.0,215,8.5,6.3,-0.8,NotYet
30.0,-16.0,215,8.7,6.2,-0.6,NotYet
30.0,-16.0,196,13.5,6.1,-0.4,NotYet
30.0,-16.0,192,4.1,12.9,-0.2,NotYet
30.0,-16.0,192,4.1,12.8,0.0,NotYet
30.0,-16.0,191,4.1,12.6,0.2,NotYet
30.0,-16.0,191,4.1,12.4,0.4,NotYet
30.0,-16.0,191,4.1,12.2,0.6,NotYet
30.0,-16.0,192,4.1,11.9,0.8,NotYet
30.0,-16.0,194,4.1,11.6,1.0,NotYet
30.0,-14.0,187,8.4,5.8,-2.0,NotYet
30.0,-14.0,188,8.2,5.8,-1.8,NotYet
30.0,-14.0,188,9.1,6.3,-1.6,NotYet
30.0,-14.0,216,8.4,6.7,-1.4,NotYet
30.0,-14.0,213,8.2,6.4,-1.2,NotYet
30.0,-14.0,212,8.3,6.3,-1.0,NotYet
30.0,-14.0,212,8.4,6.2,-0.8,NotYet
30.0,-14.0,195,12.8,6.2,-0.6,NotYet
30.0,-14.0,194,4.1,12.7,-0.4,NotYet
30.0,-14.0,190,4.1,12.7,-0.2,NotYet
30.0,-14.0,189,4.2,12.4,0.0,NotYet
30.0,-14.0,189,4.2,12.2,0.2,NotYet
30.0,-14.0,189,4.2,12.0,0.4,NotYet
30.0,-14.0,190,4.1,11.8,0.6,NotYet
30.0,-14.0,193,4.1,11.5,0.8,NotYet
30.0,-14.0,193,4.1,11.4,1.0,NotYet
30.0,-12.0,200,10.2,7.3,-2.0,NotYet
30.0,-12.0,201,9.8,7.1,-1.8,NotYet
30.0,-12.0,203,9.1,6.8,-1.6,NotYet
30.0,-12.0,209,8.1,6.5,-1.4,NotYet
30.0,-12.0,209,8.1,6.3,-1.2,NotYet
30.0,-12.0,209,8.2,6.2,-1.0,NotYet
30.0,-12.0,209,8.3,6.1,-0.8,NotYet
30.0,-12.0,192,4.1,12.6,-0.6,NotYet
30.0,-12.0,191,4.1,12.5,-0.4,NotYet
30.0,-12.0,191,4.1,12.4,-0.2,NotYet
30.0,-12.0,191,4.1,12.2,0.0,NotYet
30.0,-12.0,191,4.1,11.9,0.2,NotYet
30.0,-12.0,191,4.1,11.7,0.4,NotYet
30.0,-12.0,191,4.1,11.5,0.6,NotYet
30.0,-12.0,191,4.1,11.3,0.8,NotYet
30.0,-12.0,192,4.1,11.4,1.0,NotYet
