a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
7.1,8.8,10,-22.449145150370896,-0.7999748487491161,-0.3025727716740221,-5.061012477381155,3,Done,DBTP_theta=10_a=7.1_b=8.8.log
3.7,16.0,10,-16.28447435796261,-0.0029681222513318,-7.402107959846035,-0.3685805484419688,3,Done,DBTP_theta=10_a=3.7_b=16.0.log
7.2,8.3,15,-23.810477893799543,-0.6324296784587204,-0.3055910950060934,-5.483609086717479,3,Done,DBTP_theta=15_a=7.2_b=8.3.log
3.7,15.9,15,-18.44742602901533,-0.0037838853895664,-8.235202786279842,-0.4923631714191288,3,Done,DBTP_theta=15_a=3.7_b=15.9.log
7.7,8.0,20,-23.63157479325309,-0.7732680230401456,-0.2126129381358623,-5.4149532177252695,3,Done,DBTP_theta=20_a=7.7_b=8.0.log
3.6,15.6,20,-17.684424070175737,-0.0050891062710434,-8.006676194490865,-0.4152233671629801,3,Done,DBTP_theta=20_a=3.6_b=15.6.log
8.3,7.5,25,-22.855771631002423,-0.9483056624885648,-0.1432354326825589,-5.168172360165045,3,Done,DBTP_theta=25_a=8.3_b=7.5.log
3.8,15.2,25,-20.9339469531551,-0.0066390559077262,-9.344973046565428,-0.5576806870521978,3,Done,DBTP_theta=25_a=3.8_b=15.2.log
8.8,7.1,30,-23.23388405516744,-1.6820280046667904,-0.1141315188724547,-4.910391252022237,3,Done,DBTP_theta=30_a=8.8_b=7.1.log
3.9,14.7,30,-19.93791288044304,-0.0083145073149353,-8.699547636089846,-0.6305471484083682,3,Done,DBTP_theta=30_a=3.9_b=14.7.log
6.9,8.6,10,-23.016389089170843,-0.685786853544414,-0.3773029376752674,-5.22255237668287,3,Done,DBTP_theta=10_a=6.9_b=8.6.log
6.9,8.8,10,-22.14855530951172,-0.7999748487491161,-0.3773029376752674,-4.9484999341657385,3,Done,DBTP_theta=10_a=6.9_b=8.8.log
6.9,9.0,10,-20.95553329726681,-0.7811118976678699,-0.3773029376752674,-4.659675906645134,3,Done,DBTP_theta=10_a=6.9_b=9.0.log
7.1,8.6,10,-23.26351507660001,-0.685786853544414,-0.3025727716740221,-5.321698956540786,3,Done,DBTP_theta=10_a=7.1_b=8.6.log
7.1,9.0,10,-21.32610305259004,-0.7811118976678699,-0.3025727716740221,-4.789683428476565,3,Done,DBTP_theta=10_a=7.1_b=9.0.log
7.3,8.6,10,-22.903650641907007,-0.685786853544414,-0.2424698639661073,-5.261784301721491,3,Done,DBTP_theta=10_a=7.3_b=8.6.log
7.3,8.8,10,-22.15649958746508,-0.7999748487491161,-0.2424698639661073,-5.017902540508658,3,Done,DBTP_theta=10_a=7.3_b=8.8.log
7.3,9.0,10,-21.112599050160497,-0.7811118976678699,-0.2424698639661073,-4.766358881723136,3,Done,DBTP_theta=10_a=7.3_b=9.0.log
3.5,15.8,10,-9.36735632829368,-0.0033383532427251,-4.991798124508932,0.1557291568024084,3,Done,DBTP_theta=10_a=3.5_b=15.8.log
3.5,16.0,10,-10.796485253144056,-0.0029681222513318,-4.991798124508932,-0.2017381899058818,3,Done,DBTP_theta=10_a=3.5_b=16.0.log
3.5,16.2,10,-11.811194023583084,-0.0026292670518159,-4.991798124508932,-0.455584810115397,3,Done,DBTP_theta=10_a=3.5_b=16.2.log
3.7,15.8,10,-15.12673095986247,-0.0033383532427251,-7.402107959846035,-0.0789595834212377,3,Done,DBTP_theta=10_a=3.7_b=15.8.log
3.7,16.2,10,-17.093585754279047,-0.0026292670518159,-7.402107959846035,-0.5710278251208365,3,Done,DBTP_theta=10_a=3.7_b=16.2.log
