theta,phi,z,r,status
0.0,0.0,0.0,4.2,NotYet
0.0,0.0,0.1,4.2,NotYet
0.0,0.0,0.2,4.2,NotYet
0.0,0.0,0.3,4.1,NotYet
0.0,0.0,0.4,4.1,NotYet
0.0,0.0,0.5,4.1,NotYet
0.0,0.0,0.6,4.1,NotYet
0.0,0.0,0.7,4.1,NotYet
0.0,0.0,0.8,4.0,NotYet
0.0,0.0,0.9,4.0,NotYet
0.0,0.0,1.0,3.9,NotYet
0.0,0.0,1.1,3.9,NotYet
0.0,0.0,1.2,3.8,NotYet
0.0,0.0,1.3,3.8,NotYet
0.0,0.0,1.4,3.9,NotYet
0.0,0.0,1.5,3.9,NotYet
0.0,5.0,0.0,4.2,NotYet
0.0,5.0,0.1,4.2,NotYet
0.0,5.0,0.2,4.1,NotYet
0.0,5.0,0.3,4.1,NotYet
0.0,5.0,0.4,4.1,NotYet
0.0,5.0,0.5,4.1,NotYet
0.0,5.0,0.6,4.1,NotYet
0.0,5.0,0.7,4.0,NotYet
0.0,5.0,0.8,4.0,NotYet
0.0,5.0,0.9,4.0,NotYet
0.0,5.0,1.0,3.9,NotYet
0.0,5.0,1.1,3.9,NotYet
0.0,5.0,1.2,3.8,NotYet
0.0,5.0,1.3,3.8,NotYet
0.0,5.0,1.4,3.8,NotYet
0.0,5.0,1.5,3.9,NotYet
0.0,10.0,0.0,4.1,NotYet
0.0,10.0,0.1,4.1,NotYet
0.0,10.0,0.2,4.1,NotYet
0.0,10.0,0.3,4.1,NotYet
0.0,10.0,0.4,4.1,NotYet
0.0,10.0,0.5,4.1,NotYet
0.0,10.0,0.6,4.0,NotYet
0.0,10.0,0.7,4.0,NotYet
0.0,10.0,0.8,4.0,NotYet
0.0,10.0,0.9,3.9,NotYet
0.0,10.0,1.0,3.9,NotYet
0.0,10.0,1.1,3.8,NotYet
0.0,10.0,1.2,3.8,NotYet
0.0,10.0,1.3,3.7,NotYet
0.0,10.0,1.4,3.8,NotYet
0.0,10.0,1.5,3.9,NotYet
0.0,15.0,0.0,4.1,NotYet
0.0,15.0,0.1,4.1,NotYet
0.0,15.0,0.2,4.1,NotYet
0.0,15.0,0.3,4.0,NotYet
0.0,15.0,0.4,4.0,NotYet
0.0,15.0,0.5,4.0,NotYet
0.0,15.0,0.6,4.0,NotYet
0.0,15.0,0.7,4.0,NotYet
0.0,15.0,0.8,3.9,NotYet
0.0,15.0,0.9,4.0,NotYet
0.0,15.0,1.0,4.0,NotYet
0.0,15.0,1.1,4.0,NotYet
0.0,15.0,1.2,4.0,NotYet
0.0,15.0,1.3,4.0,NotYet
0.0,15.0,1.4,4.0,NotYet
0.0,15.0,1.5,4.0,NotYet
0.0,20.0,0.0,4.0,NotYet
0.0,20.0,0.1,4.0,NotYet
0.0,20.0,0.2,4.0,NotYet
0.0,20.0,0.3,4.0,NotYet
0.0,20.0,0.4,4.1,NotYet
0.0,20.0,0.5,4.2,NotYet
0.0,20.0,0.6,4.2,NotYet
0.0,20.0,0.7,4.2,NotYet
0.0,20.0,0.8,4.3,NotYet
0.0,20.0,0.9,4.3,NotYet
0.0,20.0,1.0,4.3,NotYet
0.0,20.0,1.1,4.3,NotYet
0.0,20.0,1.2,4.3,NotYet
0.0,20.0,1.3,4.3,NotYet
0.0,20.0,1.4,4.3,NotYet
0.0,20.0,1.5,4.3,NotYet
0.0,25.0,0.0,4.1,NotYet
0.0,25.0,0.1,4.2,NotYet
0.0,25.0,0.2,4.3,NotYet
0.0,25.0,0.3,4.3,NotYet
0.0,25.0,0.4,4.4,NotYet
0.0,25.0,0.5,4.4,NotYet
0.0,25.0,0.6,4.5,NotYet
0.0,25.0,0.7,4.5,NotYet
0.0,25.0,0.8,4.5,NotYet
0.0,25.0,0.9,4.5,NotYet
0.0,25.0,1.0,4.6,NotYet
0.0,25.0,1.1,4.6,NotYet
0.0,25.0,1.2,4.6,NotYet
0.0,25.0,1.3,4.6,NotYet
0.0,25.0,1.4,4.6,NotYet
0.0,25.0,1.5,4.6,NotYet
0.0,30.0,0.0,4.4,NotYet
0.0,30.0,0.1,4.4,NotYet
0.0,30.0,0.2,4.5,NotYet
0.0,30.0,0.3,4.6,NotYet
0.0,30.0,0.4,4.6,NotYet
0.0,30.0,0.5,4.6,NotYet
0.0,30.0,0.6,4.7,NotYet
0.0,30.0,0.7,4.7,NotYet
0.0,30.0,0.8,4.7,NotYet
0.0,30.0,0.9,4.8,NotYet
0.0,30.0,1.0,4.8,NotYet
0.0,30.0,1.1,4.8,NotYet
0.0,30.0,1.2,4.8,NotYet
0.0,30.0,1.3,4.8,NotYet
0.0,30.0,1.4,4.8,NotYet
0.0,30.0,1.5,4.8,NotYet
0.0,35.0,0.0,4.6,NotYet
0.0,35.0,0.1,4.6,NotYet
0.0,35.0,0.2,4.7,NotYet
0.0,35.0,0.3,4.7,NotYet
0.0,35.0,0.4,4.8,NotYet
0.0,35.0,0.5,4.8,NotYet
0.0,35.0,0.6,4.8,NotYet
0.0,35.0,0.7,4.9,NotYet
0.0,35.0,0.8,4.9,NotYet
0.0,35.0,0.9,4.9,NotYet
0.0,35.0,1.0,4.9,NotYet
0.0,35.0,1.1,4.9,NotYet
0.0,35.0,1.2,4.9,NotYet
0.0,35.0,1.3,5.0,NotYet
0.0,35.0,1.4,4.9,NotYet
