theta,phi,r,z,E,status,machine_type,file_name,E1
0,0,4.2,0.0,-3.6986022984492593,Done,2,C6_theta=0_phi=0_r=4.2_z=0.0.log,0.0
0,5,4.2,0.0,-3.7448654731852,Done,2,C6_theta=0_phi=5_r=4.2_z=0.0.log,0.0
0,10,4.1,0.0,-3.996081571560353,Done,2,C6_theta=0_phi=10_r=4.1_z=0.0.log,0.0
0,15,4.1,0.0,-4.139370970020536,Done,1,C6_theta=0_phi=15_r=4.1_z=0.0.log,0.0
0,20,4.0,0.0,-4.130242582061328,Done,1,C6_theta=0_phi=20_r=4.0_z=0.0.log,0.0
0,25,4.1,0.0,-3.8493333379738033,Done,1,C6_theta=0_phi=25_r=4.1_z=0.0.log,0.0
0,30,4.4,0.0,-3.2328179406467825,Done,2,C6_theta=0_phi=30_r=4.4_z=0.0.log,0.0
0,35,4.6,0.0,-2.6896044965833426,Done,2,C6_theta=0_phi=35_r=4.6_z=0.0.log,0.0
0,40,4.7,0.0,-2.369882503990084,Done,2,C6_theta=0_phi=40_r=4.7_z=0.0.log,0.0
0,45,4.8,0.0,-2.1590749120805413,Done,1,C6_theta=0_phi=45_r=4.8_z=0.0.log,0.0
0,50,4.8,0.0,-2.0890153030632064,Done,1,C6_theta=0_phi=50_r=4.8_z=0.0.log,0.0
0,55,4.8,0.0,-2.105102149420418,Done,1,C6_theta=0_phi=55_r=4.8_z=0.0.log,0.0
0,60,4.7,0.0,-2.166409876430407,Done,2,C6_theta=0_phi=60_r=4.7_z=0.0.log,0.0
0,65,4.6,0.0,-2.2518579130992293,Done,2,C6_theta=0_phi=65_r=4.6_z=0.0.log,0.0
0,70,4.4,0.0,-2.0103851625462994,Done,2,C6_theta=0_phi=70_r=4.4_z=0.0.log,0.0
0,75,4.2,0.0,-1.1554398105363362,Done,1,C6_theta=0_phi=75_r=4.2_z=0.0.log,0.0
0,80,4.2,0.0,-1.4718328625895083,Done,1,C6_theta=0_phi=80_r=4.2_z=0.0.log,0.0
0,85,4.2,0.0,-1.5828902099165134,Done,1,C6_theta=0_phi=85_r=4.2_z=0.0.log,0.0
0,90,4.2,0.0,-1.6037611925275996,Done,2,C6_theta=0_phi=90_r=4.2_z=0.0.log,0.0
5,0,4.3,0.0,-3.3936769915744662,Done,2,C6_theta=5_phi=0_r=4.3_z=0.0.log,0.0
5,5,4.3,0.0,-3.4360420742887072,Done,2,C6_theta=5_phi=5_r=4.3_z=0.0.log,0.0
5,10,4.3,0.0,-3.546499522024533,Done,1,C6_theta=5_phi=10_r=4.3_z=0.0.log,0.0
5,15,4.2,0.0,-3.8819644854520448,Done,1,C6_theta=5_phi=15_r=4.2_z=0.0.log,0.0
