theta,phi,r,z,E,status,machine_type,file_name,E1
0,0,3.8,1.3,-4.487590701784939,Done,2,C6_theta=0_phi=0_r=3.8_z=1.3.log,0.0
0,5,3.8,1.3,-4.474609402357601,Done,2,C6_theta=0_phi=5_r=3.8_z=1.3.log,0.0
0,10,3.7,1.3,-4.150309724383988,Done,2,C6_theta=0_phi=10_r=3.7_z=1.3.log,0.0
0,15,4.0,1.3,-4.231396566552576,Done,1,C6_theta=0_phi=15_r=4.0_z=1.3.log,0.0
0,20,4.3,1.3,-3.4535314054228365,Done,1,C6_theta=0_phi=20_r=4.3_z=1.3.log,0.0
0,25,4.6,1.3,-2.638407838123385,Done,1,C6_theta=0_phi=25_r=4.6_z=1.3.log,0.0
0,30,4.8,1.3,-2.163348882633727,Done,2,C6_theta=0_phi=30_r=4.8_z=1.3.log,0.0
0,35,5.0,1.3,-1.7915479526272975,Done,2,C6_theta=0_phi=35_r=5.0_z=1.3.log,0.0
0,40,5.1,1.3,-1.6254065224784426,Done,2,C6_theta=0_phi=40_r=5.1_z=1.3.log,0.0
0,45,5.1,1.3,-1.5912360929651186,Done,1,C6_theta=0_phi=45_r=5.1_z=1.3.log,0.0
0,50,5.2,1.3,-1.5012015856336802,Done,1,C6_theta=0_phi=50_r=5.2_z=1.3.log,0.0
0,55,5.2,1.3,-1.524224300053902,Done,1,C6_theta=0_phi=55_r=5.2_z=1.3.log,0.0
0,60,5.1,1.3,-1.6485359136131592,Done,2,C6_theta=0_phi=60_r=5.1_z=1.3.log,0.0
0,65,5.0,1.3,-1.7813327172771096,Done,2,C6_theta=0_phi=65_r=5.0_z=1.3.log,0.0
0,70,4.9,1.3,-1.9089745264791416,Done,2,C6_theta=0_phi=70_r=4.9_z=1.3.log,0.0
0,75,4.7,1.3,-1.974846761208028,Done,1,C6_theta=0_phi=75_r=4.7_z=1.3.log,0.0
0,80,4.5,1.3,-1.6743755203788169,Done,1,C6_theta=0_phi=80_r=4.5_z=1.3.log,0.0
0,85,4.5,1.3,-1.7444244616199285,Done,1,C6_theta=0_phi=85_r=4.5_z=1.3.log,0.0
0,90,4.6,1.3,-1.997093245678116,Done,2,C6_theta=0_phi=90_r=4.6_z=1.3.log,0.0
5,0,4.0,1.3,-4.17838138420484,Done,2,C6_theta=5_phi=0_r=4.0_z=1.3.log,0.0
5,5,4.0,1.3,-4.178530104050878,Done,2,C6_theta=5_phi=5_r=4.0_z=1.3.log,0.0
5,10,3.9,1.3,-4.286114183516474,Done,1,C6_theta=5_phi=10_r=3.9_z=1.3.log,0.0
5,15,4.0,1.3,-4.142278851359151,Done,1,C6_theta=5_phi=15_r=4.0_z=1.3.log,0.0
5,20,4.3,1.3,-3.4425725708715618,Done,1,C6_theta=5_phi=20_r=4.3_z=1.3.log,0.0
5,25,4.6,1.3,-2.642964815808228,Done,2,C6_theta=5_phi=25_r=4.6_z=1.3.log,0.0
5,30,4.8,1.3,-2.169140172423795,Done,2,C6_theta=5_phi=30_r=4.8_z=1.3.log,0.0
5,35,4.9,1.3,-1.931614459695993,Done,2,C6_theta=5_phi=35_r=4.9_z=1.3.log,0.0
5,40,5.1,1.3,-1.6285992933262603,Done,1,C6_theta=5_phi=40_r=5.1_z=1.3.log,0.0
5,45,5.1,1.3,-1.5967431206954643,Done,2,C6_theta=5_phi=45_r=5.1_z=1.3.log,0.0
5,50,5.2,1.3,-1.5042004559654742,Done,2,C6_theta=5_phi=50_r=5.2_z=1.3.log,0.0
5,55,5.2,1.3,-1.527221287804423,Done,2,C6_theta=5_phi=55_r=5.2_z=1.3.log,0.0
5,60,5.1,1.3,-1.6534875949728305,Done,1,C6_theta=5_phi=60_r=5.1_z=1.3.log,0.0
5,65,5.0,1.3,-1.7857604278251529,Done,1,C6_theta=5_phi=65_r=5.0_z=1.3.log,0.0
5,70,4.8,1.3,-1.913070284208516,Done,2,C6_theta=5_phi=70_r=4.8_z=1.3.log,0.0
5,75,4.6,1.3,-1.7999176809971686,Done,2,C6_theta=5_phi=75_r=4.6_z=1.3.log,0.0
5,80,4.6,1.3,-1.90121662025922,Done,2,C6_theta=5_phi=80_r=4.6_z=1.3.log,0.0
5,85,4.7,1.3,-2.029051074961899,Done,1,C6_theta=5_phi=85_r=4.7_z=1.3.log,0.0
5,90,4.7,1.3,-2.0276040369062684,Done,1,C6_theta=5_phi=90_r=4.7_z=1.3.log,0.0
10,0,4.1,1.3,-3.685607821389567,Done,1,C6_theta=10_phi=0_r=4.1_z=1.3.log,0.0
10,5,4.1,1.3,-3.699570546334144,Done,2,C6_theta=10_phi=5_r=4.1_z=1.3.log,0.0
10,10,4.1,1.3,-3.777633417863399,Done,2,C6_theta=10_phi=10_r=4.1_z=1.3.log,0.0
10,15,4.0,1.3,-3.873224526236299,Done,2,C6_theta=10_phi=15_r=4.0_z=1.3.log,0.0
10,20,4.3,1.3,-3.409494636231102,Done,1,C6_theta=10_phi=20_r=4.3_z=1.3.log,0.0
10,25,4.5,1.3,-2.8670950725500006,Done,1,C6_theta=10_phi=25_r=4.5_z=1.3.log,0.0
10,30,4.8,1.3,-2.186039644177072,Done,1,C6_theta=10_phi=30_r=4.8_z=1.3.log,0.0
10,35,4.9,1.3,-1.949758283852134,Done,2,C6_theta=10_phi=35_r=4.9_z=1.3.log,0.0
10,40,5.0,1.3,-1.75326294003753,Done,2,C6_theta=10_phi=40_r=5.0_z=1.3.log,0.0
10,45,5.1,1.3,-1.610825700132409,Done,2,C6_theta=10_phi=45_r=5.1_z=1.3.log,0.0
10,50,5.1,1.3,-1.6005602640507277,Done,1,C6_theta=10_phi=50_r=5.1_z=1.3.log,0.0
10,55,5.1,1.3,-1.6212699766037986,Done,1,C6_theta=10_phi=55_r=5.1_z=1.3.log,0.0
10,60,5.1,1.3,-1.6665059174411,Done,2,C6_theta=10_phi=60_r=5.1_z=1.3.log,0.0
10,65,5.0,1.3,-1.7981550054100808,Done,1,C6_theta=10_phi=65_r=5.0_z=1.3.log,0.0
10,70,4.8,1.3,-1.9205219654541,Done,2,C6_theta=10_phi=70_r=4.8_z=1.3.log,0.0
10,75,4.7,1.3,-1.9264764078252483,Done,2,C6_theta=10_phi=75_r=4.7_z=1.3.log,0.0
10,80,4.8,1.3,-1.9700463096087333,Done,1,C6_theta=10_phi=80_r=4.8_z=1.3.log,0.0
10,85,4.8,1.3,-1.944794052193174,Done,2,C6_theta=10_phi=85_r=4.8_z=1.3.log,0.0
10,90,4.8,1.3,-1.9315956344362348,Done,1,C6_theta=10_phi=90_r=4.8_z=1.3.log,0.0
15,0,4.3,1.3,-3.0994331600377336,Done,2,C6_theta=15_phi=0_r=4.3_z=1.3.log,0.0
15,5,4.3,1.3,-3.117849323520204,Done,2,C6_theta=15_phi=5_r=4.3_z=1.3.log,0.0
15,10,4.2,1.3,-3.339032165851677,Done,1,C6_theta=15_phi=10_r=4.2_z=1.3.log,0.0
15,15,4.1,1.3,-3.5214010045456234,Done,2,C6_theta=15_phi=15_r=4.1_z=1.3.log,0.0
15,20,4.3,1.3,-3.351129303628113,Done,1,C6_theta=15_phi=20_r=4.3_z=1.3.log,0.0
15,25,4.5,1.3,-2.889620799018303,Done,2,C6_theta=15_phi=25_r=4.5_z=1.3.log,0.0
15,30,4.7,1.3,-2.395816237229156,Done,2,C6_theta=15_phi=30_r=4.7_z=1.3.log,0.0
15,35,4.9,1.3,-1.974229918851052,Done,1,C6_theta=15_phi=35_r=4.9_z=1.3.log,0.0
15,40,5.0,1.3,-1.776231688534608,Done,1,C6_theta=15_phi=40_r=5.0_z=1.3.log,0.0
15,45,5.1,1.3,-1.6275262512499469,Done,2,C6_theta=15_phi=45_r=5.1_z=1.3.log,0.0
15,50,5.1,1.3,-1.6238120195630472,Done,2,C6_theta=15_phi=50_r=5.1_z=1.3.log,0.0
15,55,5.1,1.3,-1.6447495182510463,Done,2,C6_theta=15_phi=55_r=5.1_z=1.3.log,0.0
15,60,5.0,1.3,-1.7666063126525842,Done,1,C6_theta=15_phi=60_r=5.0_z=1.3.log,0.0
15,65,4.9,1.3,-1.8741470938839484,Done,1,C6_theta=15_phi=65_r=4.9_z=1.3.log,0.0
15,70,4.8,1.3,-1.933269203582313,Done,1,C6_theta=15_phi=70_r=4.8_z=1.3.log,0.0
15,75,4.8,1.3,-1.9373323307954704,Done,2,C6_theta=15_phi=75_r=4.8_z=1.3.log,0.0
15,80,4.9,1.3,-1.8713251814479008,Done,2,C6_theta=15_phi=80_r=4.9_z=1.3.log,0.0
15,85,4.9,1.3,-1.8244037487311289,Done,2,C6_theta=15_phi=85_r=4.9_z=1.3.log,0.0
15,90,4.9,1.3,-1.803549708856736,Done,1,C6_theta=15_phi=90_r=4.9_z=1.3.log,0.0
20,0,4.4,1.3,-2.739459538541269,Done,1,C6_theta=20_phi=0_r=4.4_z=1.3.log,0.0
20,5,4.4,1.3,-2.767150927335024,Done,2,C6_theta=20_phi=5_r=4.4_z=1.3.log,0.0
20,10,4.4,1.3,-2.8802514472336043,Done,1,C6_theta=20_phi=10_r=4.4_z=1.3.log,0.0
20,15,4.3,1.3,-3.15191495892941,Done,2,C6_theta=20_phi=15_r=4.3_z=1.3.log,0.0
20,20,4.2,1.3,-3.3332829191931523,Done,2,C6_theta=20_phi=20_r=4.2_z=1.3.log,0.0
20,25,4.5,1.3,-2.916789471986704,Done,1,C6_theta=20_phi=25_r=4.5_z=1.3.log,0.0
20,30,4.7,1.3,-2.437893920287024,Done,2,C6_theta=20_phi=30_r=4.7_z=1.3.log,0.0
20,35,4.8,1.3,-2.16632641752949,Done,1,C6_theta=20_phi=35_r=4.8_z=1.3.log,0.0
20,40,4.9,1.3,-1.9352665679180063,Done,2,C6_theta=20_phi=40_r=4.9_z=1.3.log,0.0
