theta,a,b,z,E,E1,E2,E3,E4,status
0,8.0,4.5,1.3,-5.760150861213333,-0.09182604830130003,-1.7157102315832162,-1.9763057218951872,-1.9763088594336296,Done
5,8.0,4.5,1.3,-5.780615844807471,-0.0920557169738458,-1.7140354073344497,-1.9540567273361376,-2.020467993163038,Done
10,7.9,4.5,1.3,-5.860267571770237,-0.0999886984354816,-1.698535282877856,-1.9636651604669169,-2.0980784299899824,Done
15,7.9,4.5,1.3,-5.925080569650163,-0.1011326491716317,-1.6420581278653117,-1.9935710320569344,-2.1883187605562853,Done
20,7.8,4.6,1.3,-5.984849014566862,-0.1101838534086709,-1.5909104152669895,-2.0172444742784137,-2.266510271612788,Done
25,7.7,4.6,1.3,-6.100865573404008,-0.1206814681791002,-1.4616050771437583,-2.107654860097682,-2.4109241679834668,Done
30,7.5,4.7,1.3,-6.292554818137432,-0.1421617629675893,-1.397193058175617,-2.201742454461055,-2.551457542533172,Done
35,7.4,4.7,1.3,-6.515930180379655,-0.1563842771283816,-1.3199490872211754,-2.331965839708573,-2.707630976321525,Done
40,7.2,4.8,1.3,-6.774235886739916,-0.1862437129748286,-1.3295154771622038,-2.443685210077092,-2.814791486525792,Done
45,7.1,4.8,1.3,-6.897421747344197,-0.2077240078069735,-1.36374301010801,-2.506465703045251,-2.8194890263839625,Done
50,7.3,4.7,1.3,-6.715727481889189,-0.1798757415235741,-1.4867920735268854,-2.392782226394047,-2.6562774404446827,Done
55,7.6,4.5,1.3,-6.471916628986946,-0.1457599053392186,-1.729841129257693,-2.183568509834004,-2.412747084556031,Done
60,8.0,4.3,1.3,-6.3459885496413335,-0.1095688935747603,-2.05403287554509,-1.9586250001593728,-2.2237617803621106,Done
65,8.3,4.2,1.3,-6.355386766954325,-0.0885548387304879,-2.366924421818112,-1.7987994581635576,-2.101108048242168,Done
70,8.5,4.1,1.3,-6.403772180521628,-0.0768185191845987,-2.598704652977176,-1.7046371900942177,-2.0236118182656355,Done
75,8.6,4.0,1.3,-6.387641408437048,-0.0710416621150216,-2.673923021648079,-1.6620480863784906,-1.9806286382954568,Done
80,8.7,4.0,1.3,-6.234586699414649,-0.0656908843666315,-2.6029936838021968,-1.6161432198859984,-1.9497589113598224,Done
85,8.7,4.1,1.3,-6.055605787158129,-0.0652328020514687,-2.4863709503260907,-1.5862266806070693,-1.9177753541735,Done
90,8.8,4.1,1.3,-5.975007147717406,-0.0605547149752965,-2.455777955299709,-1.5536978172312956,-1.904976660211105,Done
