theta,a,E1,machine_type,status,file_name
0,8.0,-0.0918260483013,3,Done,C5_theta=0_a=8.0_1.log
5,8.0,-0.0920557169738458,3,Done,C5_theta=5_a=8.0_1.log
10,7.9,-0.0999886984354816,3,Done,C5_theta=10_a=7.9_1.log
15,7.9,-0.1011326491716317,3,Done,C5_theta=15_a=7.9_1.log
20,7.8,-0.1101838534086709,3,Done,C5_theta=20_a=7.8_1.log
25,7.7,-0.1206814681791002,3,Done,C5_theta=25_a=7.7_1.log
30,7.5,-0.1421617629675893,3,Done,C5_theta=30_a=7.5_1.log
35,7.4,-0.1563842771283816,3,Done,C5_theta=35_a=7.4_1.log
40,7.2,-0.1862437129748286,3,Done,C5_theta=40_a=7.2_1.log
45,7.1,-0.2077240078069735,3,Done,C5_theta=45_a=7.1_1.log
50,7.3,-0.1798757415235741,3,Done,C5_theta=50_a=7.3_1.log
55,7.6,-0.1457599053392186,3,Done,C5_theta=55_a=7.6_1.log
60,8.0,-0.1095688935747603,3,Done,C5_theta=60_a=8.0_1.log
65,8.3,-0.0885548387304879,3,Done,C5_theta=65_a=8.3_1.log
70,8.5,-0.0768185191845987,3,Done,C5_theta=70_a=8.5_1.log
75,8.6,-0.0710416621150216,3,Done,C5_theta=75_a=8.6_1.log
80,8.7,-0.0656908843666315,3,Done,C5_theta=80_a=8.7_1.log
85,8.7,-0.0652328020514687,3,Done,C5_theta=85_a=8.7_1.log
90,8.8,-0.06055471497529652,3,Done,C5_theta=90_a=8.8_1.log
