theta,b,z,E2,machine_type,status,file_name
5,4.5,1.3,-1.7140354073344497,3,Done,C5_theta=5_b=4.5_z=1.3_2.log
10,4.5,1.3,-1.698535282877856,3,Done,C5_theta=10_b=4.5_z=1.3_2.log
15,4.5,1.3,-1.6420581278653117,3,Done,C5_theta=15_b=4.5_z=1.3_2.log
20,4.6,1.3,-1.5909104152669895,3,Done,C5_theta=20_b=4.6_z=1.3_2.log
25,4.6,1.3,-1.4616050771437583,3,Done,C5_theta=25_b=4.6_z=1.3_2.log
30,4.7,1.3,-1.397193058175617,3,Done,C5_theta=30_b=4.7_z=1.3_2.log
35,4.7,1.3,-1.3199490872211754,3,Done,C5_theta=35_b=4.7_z=1.3_2.log
40,4.8,1.3,-1.3295154771622038,3,Done,C5_theta=40_b=4.8_z=1.3_2.log
45,4.8,1.3,-1.36374301010801,3,Done,C5_theta=45_b=4.8_z=1.3_2.log
50,4.7,1.3,-1.4867920735268854,3,Done,C5_theta=50_b=4.7_z=1.3_2.log
55,4.5,1.3,-1.729841129257693,3,Done,C5_theta=55_b=4.5_z=1.3_2.log
60,4.3,1.3,-2.05403287554509,3,Done,C5_theta=60_b=4.3_z=1.3_2.log
65,4.2,1.3,-2.366924421818112,3,Done,C5_theta=65_b=4.2_z=1.3_2.log
70,4.1,1.3,-2.598704652977176,3,Done,C5_theta=70_b=4.1_z=1.3_2.log
75,4.0,1.3,-2.673923021648079,3,Done,C5_theta=75_b=4.0_z=1.3_2.log
80,4.0,1.3,-2.6029936838021968,3,Done,C5_theta=80_b=4.0_z=1.3_2.log
85,4.1,1.3,-2.4863709503260907,3,Done,C5_theta=85_b=4.1_z=1.3_2.log
90,4.1,1.3,-2.455777955299709,3,Done,C5_theta=90_b=4.1_z=1.3_2.log
0,4.5,1.3,-1.7157102315832162,3,Done,C5_theta=0_b=4.5_z=1.3_2.log
