theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,1.3,1.6,4.3,0.0,-8.871113890083507,-4.487590701784939,-2.4455081265768968,-0.2895073861000128,-1.6485076756216586,Done
0,3.8,1.3,-1.6,4.3,0.0,-8.933788333903067,-4.487590701784939,-2.4455081266351044,-1.6979058903525583,-0.3027836151304655,Done
0,3.8,-1.3,1.6,4.3,0.0,-8.933788961265236,-4.487589446711354,-2.4455081265768968,-0.3027836151304655,-1.69790777284652,Done
0,3.8,-1.3,-1.6,4.3,0.0,-8.871115772577468,-4.487589446711354,-2.4455081266351044,-1.6485108131309971,-0.2895073861000128,Done
0,3.8,1.3,1.5,4.2,0.0,-8.481042378931306,-4.487590701784939,-2.2479033450363204,-0.3272897631977685,-1.4182585689122789,Done
0,3.8,1.3,1.5,4.3,0.0,-8.956175380619243,-4.487590701784939,-2.4570518005639315,-0.3105816819588654,-1.7009511963115074,Done
0,3.8,1.3,1.5,4.4,0.0,-9.137060785782523,-4.487590701784939,-2.523890400712844,-0.29455695906654,-1.831022724218201,Done
0,3.8,1.3,1.6,4.2,0.0,-8.347054561105324,-4.487590701784939,-2.268198900972493,-0.3047703118063509,-1.2864946465415414,Done
0,3.8,1.3,1.6,4.4,0.0,-9.084212520974688,-4.487590701784939,-2.491687842528336,-0.2749748819624074,-1.8299590946990063,Done
0,3.8,1.3,1.7,4.2,0.0,-8.189072016102728,-4.487590701784939,-2.28382013499504,-0.2839319597114809,-1.1337292196112685,Done
0,3.8,1.3,1.7,4.3,0.0,-8.767463043448515,-4.487590701784939,-2.4288270283141173,-0.2701725480146706,-1.5808727653347887,Done
0,3.8,1.3,1.7,4.4,0.0,-9.01712479942944,-4.487590701784939,-2.454397433262784,-0.2571517154574394,-1.817984948924277,Done
0,3.8,1.3,-1.7,4.2,0.0,-8.503640269103926,-4.487590701784939,-2.283818879921455,-1.435918582836166,-0.2963121045613661,Done
0,3.8,1.3,-1.7,4.3,0.0,-8.87695349828573,-4.487590701784939,-2.4288264008355327,-1.6786494909902103,-0.2818869046750478,Done
0,3.8,1.3,-1.7,4.4,0.0,-8.994932280795183,-4.487590701784939,-2.454396805725992,-1.7845957693643868,-0.2683490039198659,Done
0,3.8,1.3,-1.6,4.2,0.0,-8.5844484968693,-4.487590701784939,-2.268197645957116,-1.509726936579682,-0.318933212547563,Done
0,3.8,1.3,-1.6,4.4,0.0,-9.035636344429804,-4.487590701784939,-2.491687842528336,-1.7689243345812429,-0.2874334655352868,Done
0,3.8,1.3,-1.5,4.2,0.0,-8.648684185522143,-4.487590701784939,-2.247902090079151,-1.5698154115816578,-0.3433759820763953,Done
0,3.8,1.3,-1.5,4.3,0.0,-8.9777523119119,-4.487590701784939,-2.457051173027139,-1.707375016179867,-0.3257354209199548,Done
0,3.8,1.3,-1.5,4.4,0.0,-9.066338526201434,-4.487590701784939,-2.523889773176052,-1.7461080710054375,-0.3087499802350066,Done
0,3.8,-1.3,1.5,4.2,0.0,-8.648685440421104,-4.487589446711354,-2.2479033450363204,-0.3433759820763953,-1.5698166665970348,Done
0,3.8,-1.3,1.5,4.3,0.0,-8.977752939448692,-4.487589446711354,-2.4570518005639315,-0.3257354209199548,-1.7073762712534517,Done
0,3.8,-1.3,1.5,4.4,0.0,-9.066338526143229,-4.487589446711354,-2.523890400712844,-0.3087499802350066,-1.7461086984840222,Done
0,3.8,-1.3,1.6,4.2,0.0,-8.584451634262223,-4.487589446711354,-2.268198900972493,-0.318933212547563,-1.5097300740308128,Done
0,3.8,-1.3,1.6,4.4,0.0,-9.035636344342493,-4.487589446711354,-2.491687842528336,-0.2874334655352868,-1.768925589567516,Done
