theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,4.2,0.0,1.1,4.1,0.0,-5.948087596232654,-2.941631965339184,-1.275203231634805,-0.28424508722673636,-1.4470073120319284,Done
5,4.2,0.0,-1.5,4.0,0.0,-6.275273192746681,-2.980092053214321,-1.3910472252464388,-1.6762781306606485,-0.227855783625273,Done
10,4.1,0.0,-1.3,3.9,0.0,-5.813722644976224,-3.1766062223905465,-0.5827428090851754,-1.7458671071362917,-0.3085065063642105,Done
15,4.1,0.0,-1.4,3.9,0.0,-6.3877336524165,-3.298689547911636,-0.928875442550634,-1.867192400590284,-0.2929762613639468,Done
20,4.0,0.0,-1.5,3.9,0.0,-6.836112765333382,-3.288903529464733,-1.2039413135207724,-2.043168167438125,-0.3000997549097519,Done
25,4.1,0.0,-1.7,3.8,0.0,-6.795584404448164,-3.083938683164888,-1.0933031428721731,-2.363581048542983,-0.2547615298681194,Done
30,4.4,0.0,-2.1,3.6,0.0,-6.763113899476593,-2.598039492353564,-1.128729219912202,-2.867017261276488,-0.1693279259343398,Done
35,4.6,0.0,2.2,3.4,0.0,-6.618341067369329,-2.161114319518674,-3.2473592299065785,-0.1250407801562687,-1.0848267377878074,Done
40,4.7,0.0,2.2,3.4,0.0,-6.818976722279331,-1.9053155156143475,-3.3418609809159534,-0.1180007454822771,-1.4537994802667529,Done
45,4.8,0.0,-2.4,3.4,0.0,-5.946774217794882,-1.7354661288845818,-0.9752302337728906,-3.121682782119024,-0.114395073018386,Done
50,4.8,0.0,2.3,3.5,0.0,-6.398363671833067,-1.6823210519651184,-3.023581006302265,-0.1019408820284297,-1.5905207315372536,Done
55,4.8,0.0,2.2,3.6,0.0,-6.553588310431223,-1.6969062668649713,-2.9368741844955366,-0.1066221066430443,-1.813185752427671,Done
60,4.7,0.0,1.9,3.7,0.0,-6.815836662208312,-1.7528117603214923,-2.994823478031321,-0.1352171098114922,-1.9329843140440064,Done
65,4.6,0.0,1.8,3.8,0.0,-6.712338927885867,-1.8274139142013155,-2.9361644707241794,-0.1507843778963433,-1.7979761650640285,Done
70,4.5,0.0,1.6,3.9,0.0,-6.708843069631257,-1.8956117009511213,-2.9306555604125606,-0.1783860327850561,-1.7041897754825186,Done
75,4.3,0.0,1.4,3.9,0.0,-6.496458545065252,-1.5582071040844312,-3.031596818997059,-0.2395124093891354,-1.6671422125946265,Done
80,4.2,0.0,-0.8,3.9,0.0,-6.203166646169848,-1.237112119590165,-3.198532049340429,-1.320043213738245,-0.447479263501009,Done
85,4.2,0.0,-1.2,3.8,0.0,-6.671885868199752,-1.326964649008005,-3.147504818654852,-1.85034752212232,-0.347068878414575,Done
90,4.2,0.0,-1.5,3.7,0.0,-6.952615016896743,-1.3440172332775546,-3.189996030778275,-2.1313596778491046,-0.2872420749918092,Done
