theta,a1,z1,E1,machine_type,status,file_name
0,4.2,0.0,-2.941631965339184,3,Done,C5_theta=0_a1=4.2_z1=0.0_1.log
5,4.2,0.0,-2.980092053214321,3,Done,C5_theta=5_a1=4.2_z1=0.0_1.log
10,4.1,0.0,-3.1766062223905465,3,Done,C5_theta=10_a1=4.1_z1=0.0_1.log
15,4.1,0.0,-3.298689547911636,3,Done,C5_theta=15_a1=4.1_z1=0.0_1.log
20,4.0,0.0,-3.288903529464733,3,Done,C5_theta=20_a1=4.0_z1=0.0_1.log
25,4.1,0.0,-3.083938683164888,3,Done,C5_theta=25_a1=4.1_z1=0.0_1.log
30,4.4,0.0,-2.598039492353564,3,Done,C5_theta=30_a1=4.4_z1=0.0_1.log
35,4.6,0.0,-2.161114319518674,3,Done,C5_theta=35_a1=4.6_z1=0.0_1.log
40,4.7,0.0,-1.9053155156143475,3,Done,C5_theta=40_a1=4.7_z1=0.0_1.log
45,4.8,0.0,-1.7354661288845818,3,Done,C5_theta=45_a1=4.8_z1=0.0_1.log
50,4.8,0.0,-1.6823210519651184,3,Done,C5_theta=50_a1=4.8_z1=0.0_1.log
55,4.8,0.0,-1.6969062668649713,3,Done,C5_theta=55_a1=4.8_z1=0.0_1.log
60,4.7,0.0,-1.7528117603214923,3,Done,C5_theta=60_a1=4.7_z1=0.0_1.log
65,4.6,0.0,-1.8274139142013155,3,Done,C5_theta=65_a1=4.6_z1=0.0_1.log
70,4.5,0.0,-1.8956117009511213,3,Done,C5_theta=70_a1=4.5_z1=0.0_1.log
75,4.3,0.0,-1.5582071040844312,3,Done,C5_theta=75_a1=4.3_z1=0.0_1.log
80,4.2,0.0,-1.237112119590165,3,Done,C5_theta=80_a1=4.2_z1=0.0_1.log
85,4.2,0.0,-1.326964649008005,3,Done,C5_theta=85_a1=4.2_z1=0.0_1.log
90,4.2,0.0,-1.3440172332775546,3,Done,C5_theta=90_a1=4.2_z1=0.0_1.log
