theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
5,4.2,0.0,-1.5,4.0,0.0,-1.6762781306606485,-0.227855783625273,3,Done,C5_theta=5_a1=4.2_z1=0.0_a2=-1.5_b2=4.0_z2=0.0_3.log
10,4.1,0.0,-1.3,3.9,0.0,-1.7458671071362917,-0.3085065063642105,3,Done,C5_theta=10_a1=4.1_z1=0.0_a2=-1.3_b2=3.9_z2=0.0_3.log
15,4.1,0.0,-1.4,3.9,0.0,-1.867192400590284,-0.2929762613639468,3,Done,C5_theta=15_a1=4.1_z1=0.0_a2=-1.4_b2=3.9_z2=0.0_3.log
20,4.0,0.0,-1.5,3.9,0.0,-2.043168167438125,-0.3000997549097519,3,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.5_b2=3.9_z2=0.0_3.log
25,4.1,0.0,-1.7,3.8,0.0,-2.363581048542983,-0.2547615298681194,3,Done,C5_theta=25_a1=4.1_z1=0.0_a2=-1.7_b2=3.8_z2=0.0_3.log
30,4.4,0.0,-2.1,3.6,0.0,-2.867017261276488,-0.1693279259343398,3,Done,C5_theta=30_a1=4.4_z1=0.0_a2=-2.1_b2=3.6_z2=0.0_3.log
35,4.6,0.0,2.2,3.4,0.0,-0.1250407801562687,-1.0848267377878074,3,Done,C5_theta=35_a1=4.6_z1=0.0_a2=2.2_b2=3.4_z2=0.0_3.log
40,4.7,0.0,2.2,3.4,0.0,-0.1180007454822771,-1.4537994802667529,3,Done,C5_theta=40_a1=4.7_z1=0.0_a2=2.2_b2=3.4_z2=0.0_3.log
45,4.8,0.0,-2.4,3.4,0.0,-3.121682782119024,-0.114395073018386,3,Done,C5_theta=45_a1=4.8_z1=0.0_a2=-2.4_b2=3.4_z2=0.0_3.log
50,4.8,0.0,2.3,3.5,0.0,-0.1019408820284297,-1.5905207315372536,3,Done,C5_theta=50_a1=4.8_z1=0.0_a2=2.3_b2=3.5_z2=0.0_3.log
55,4.8,0.0,2.2,3.6,0.0,-0.1066221066430443,-1.813185752427671,3,Done,C5_theta=55_a1=4.8_z1=0.0_a2=2.2_b2=3.6_z2=0.0_3.log
60,4.7,0.0,1.9,3.7,0.0,-0.1352171098114922,-1.9329843140440064,3,Done,C5_theta=60_a1=4.7_z1=0.0_a2=1.9_b2=3.7_z2=0.0_3.log
65,4.6,0.0,1.8,3.8,0.0,-0.1507843778963433,-1.7979761650640285,3,Done,C5_theta=65_a1=4.6_z1=0.0_a2=1.8_b2=3.8_z2=0.0_3.log
70,4.5,0.0,1.6,3.9,0.0,-0.1783860327850561,-1.7041897754825186,3,Done,C5_theta=70_a1=4.5_z1=0.0_a2=1.6_b2=3.9_z2=0.0_3.log
75,4.3,0.0,1.4,3.9,0.0,-0.2395124093891354,-1.6671422125946265,3,Done,C5_theta=75_a1=4.3_z1=0.0_a2=1.4_b2=3.9_z2=0.0_3.log
80,4.2,0.0,-0.8,3.9,0.0,-1.320043213738245,-0.447479263501009,3,Done,C5_theta=80_a1=4.2_z1=0.0_a2=-0.8_b2=3.9_z2=0.0_3.log
85,4.2,0.0,-1.2,3.8,0.0,-1.85034752212232,-0.347068878414575,3,Done,C5_theta=85_a1=4.2_z1=0.0_a2=-1.2_b2=3.8_z2=0.0_3.log
90,4.2,0.0,-1.5,3.7,0.0,-2.1313596778491046,-0.2872420749918092,3,Done,C5_theta=90_a1=4.2_z1=0.0_a2=-1.5_b2=3.7_z2=0.0_3.log
0,4.2,0.0,1.1,4.1,0.0,-0.28424508722673636,-1.4470073120319284,3,Done,C5_theta=0_a1=4.2_z1=0.0_a2=1.1_b2=4.1_z2=0.0_3.log
