theta,a2,b2,z2,E2,machine_type,status,file_name
0,0.6,4.1,0.0,-0.873903056504787,3,Done,C5_theta=0_a2=0.6_b2=4.1_z2=0.0_2.log
5,-0.6,4.2,0.0,-1.5734957577078603,3,Done,C5_theta=5_a2=-0.6_b2=4.2_z2=0.0_2.log
10,-0.7,4.1,0.0,-1.0668617540359264,3,Done,C5_theta=10_a2=-0.7_b2=4.1_z2=0.0_2.log
15,-1.0,4.1,0.0,-1.4610101976431906,3,Done,C5_theta=15_a2=-1.0_b2=4.1_z2=0.0_2.log
20,-1.3,4.0,0.0,-1.377787938909023,3,Done,C5_theta=20_a2=-1.3_b2=4.0_z2=0.0_2.log
25,-1.7,3.8,0.0,-1.0933031428721731,3,Done,C5_theta=25_a2=-1.7_b2=3.8_z2=0.0_2.log
30,-2.1,3.6,0.0,-1.128729219912202,3,Done,C5_theta=30_a2=-2.1_b2=3.6_z2=0.0_2.log
35,-2.4,3.4,0.0,-1.0848267377878074,3,Done,C5_theta=35_a2=-2.4_b2=3.4_z2=0.0_2.log
40,-2.6,3.3,0.0,-1.3495581465540454,3,Done,C5_theta=40_a2=-2.6_b2=3.3_z2=0.0_2.log
45,-2.6,3.3,0.0,-1.31496163776319,3,Done,C5_theta=45_a2=-2.6_b2=3.3_z2=0.0_2.log
50,-2.6,3.3,0.0,-1.1790768572536765,3,Done,C5_theta=50_a2=-2.6_b2=3.3_z2=0.0_2.log
55,-2.6,3.6,0.0,-1.813185752427671,3,Done,C5_theta=55_a2=-2.6_b2=3.6_z2=0.0_2.log
60,1.9,3.7,0.0,-2.994823478031321,3,Done,C5_theta=60_a2=1.9_b2=3.7_z2=0.0_2.log
65,1.7,3.8,0.0,-2.97953858942492,3,Done,C5_theta=65_a2=1.7_b2=3.8_z2=0.0_2.log
70,1.5,3.9,0.0,-2.9663075410644524,3,Done,C5_theta=70_a2=1.5_b2=3.9_z2=0.0_2.log
75,-0.5,3.9,0.0,-3.034234871069202,3,Done,C5_theta=75_a2=-0.5_b2=3.9_z2=0.0_2.log
80,-0.8,3.9,0.0,-3.198532049340429,3,Done,C5_theta=80_a2=-0.8_b2=3.9_z2=0.0_2.log
85,-1.2,3.8,0.0,-3.147504818654852,3,Done,C5_theta=85_a2=-1.2_b2=3.8_z2=0.0_2.log
90,-1.2,3.9,0.0,-3.3358004893379984,3,Done,C5_theta=90_a2=-1.2_b2=3.9_z2=0.0_2.log
