theta,a,b,z,E,status,machine_type,file_name
0,3.8,0.0,-2.5,-2.677738282480277,Done,2,C6_theta=0_a=3.8_b=0.0_z=-2.5.log
0,3.8,0.0,-2.4,-2.8023197252769023,Done,2,C6_theta=0_a=3.8_b=0.0_z=-2.4.log
0,3.8,0.0,-2.3,-2.96094546810491,Done,2,C6_theta=0_a=3.8_b=0.0_z=-2.3.log
0,3.8,0.0,-2.2,-3.147292720270343,Done,1,C6_theta=0_a=3.8_b=0.0_z=-2.2.log
0,3.8,0.0,-2.1,-3.3532509148935787,Done,1,C6_theta=0_a=3.8_b=0.0_z=-2.1.log
0,3.8,0.0,-2.0,-3.5681799925514497,Done,1,C6_theta=0_a=3.8_b=0.0_z=-2.0.log
0,3.8,0.0,-1.9,-3.7816821123706177,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.9.log
0,3.8,0.0,-1.8,-3.9838815221446566,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.8.log
0,3.8,0.0,-1.7,-4.163231410260778,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.7.log
0,3.8,0.0,-1.6,-4.309805823606439,Done,1,C6_theta=0_a=3.8_b=0.0_z=-1.6.log
0,3.8,0.0,-1.5,-4.416296780575067,Done,1,C6_theta=0_a=3.8_b=0.0_z=-1.5.log
0,3.8,0.0,-1.4,-4.476965074951295,Done,1,C6_theta=0_a=3.8_b=0.0_z=-1.4.log
0,3.8,0.0,-1.3,-4.487589446711354,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.3.log
0,3.8,0.0,-1.2,-4.4463927877368405,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.2.log
0,3.8,0.0,-1.1,-4.354211568715982,Done,2,C6_theta=0_a=3.8_b=0.0_z=-1.1.log
0,3.8,0.0,-1.0,-4.214619459176902,Done,1,C6_theta=0_a=3.8_b=0.0_z=-1.0.log
0,3.8,0.0,-0.9,-4.033572156506125,Done,1,C6_theta=0_a=3.8_b=0.0_z=-0.9.log
0,3.8,0.0,-0.8,-3.818700809788425,Done,1,C6_theta=0_a=3.8_b=0.0_z=-0.8.log
0,3.8,0.0,-0.7,-3.581975799868814,Done,2,C6_theta=0_a=3.8_b=0.0_z=-0.7.log
0,3.8,0.0,-0.6,-3.336988993221894,Done,2,C6_theta=0_a=3.8_b=0.0_z=-0.6.log
0,3.8,0.0,-0.5,-3.097413205367048,Done,2,C6_theta=0_a=3.8_b=0.0_z=-0.5.log
0,3.8,0.0,-0.4,-2.8767242134781554,Done,1,C6_theta=0_a=3.8_b=0.0_z=-0.4.log
0,3.8,0.0,-0.3,-2.688077137165237,Done,1,C6_theta=0_a=3.8_b=0.0_z=-0.3.log
0,3.8,0.0,-0.2,-2.5437642699689604,Done,1,C6_theta=0_a=3.8_b=0.0_z=-0.2.log
0,3.8,0.0,-0.1,-2.453721605066676,Done,2,C6_theta=0_a=3.8_b=0.0_z=-0.1.log
0,3.8,0.0,0.0,-2.422174167295452,Done,2,C6_theta=0_a=3.8_b=0.0_z=0.0.log
0,3.8,0.0,0.1,-2.4537222325452603,Done,2,C6_theta=0_a=3.8_b=0.0_z=0.1.log
