cx,cy,cz,a,b,theta,z,E,Ei0,Eip1,Eip2,Eip3,Eip4,Eit1,Eit2,Eit3,Eit4,Ei0_,Eip1_,Eip2_,Eip3_,Eip4_,Eit1_,Eit2_,Eit3_,Eit4_,status,file_name,machine_type
-3.5,1.5,7.8,7.0,4.8,45,-1.3,-2.9813018925560755,-0.5851900980778737,-0.0352905348845524,-0.0993680910323746,-0.0065417917503509,-0.5424278016143944,-0.0274347372032934,-0.0399792896205326,-1.0303381619451102,-0.6289118573331507,-0.5424378418101696,-0.0382661873154575,-0.0844383731455309,-0.0064464102324564,-0.585205785871949,-0.0203087336558382,-0.0308013283793116,-1.030323101702379,-0.6288936595374253,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.5_cy=1.5_cz=7.8.log,3
-3.4,1.5,7.8,7.0,4.8,45,-1.3,-2.991028611257206,-0.6230314611311769,-0.0365129243873525,-0.1037863889650907,-0.0068354663962963,-0.5068241392436903,-0.0290079047554172,-0.0422998215944971,-1.0257648690749193,-0.6219364561839029,-0.5784870362695074,-0.0396561219095019,-0.0878965807060012,-0.006735064816894,-0.5475363605364691,-0.0213259273587027,-0.0324554447288392,-1.0349811084743124,-0.6369841459818417,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.4_cy=1.5_cz=7.8.log,3
-3.3,1.5,7.8,7.0,4.8,45,-1.3,-3.002726338956564,-0.6604429798171623,-0.0377648068242706,-0.1083672119420953,-0.007144828850869,-0.4719113653554814,-0.0306952791725052,-0.0447759760572807,-1.0211978513252689,-0.6162116824561963,-0.6146152970177354,-0.0410811971814837,-0.091489702972467,-0.0070387796731665,-0.5104724823904689,-0.0224014794803224,-0.0342105901509057,-1.0396861784538487,-0.645944988791598,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.3_cy=1.5_cz=7.8.log,3
-3.2,1.5,7.8,7.0,4.8,45,-1.3,-3.01570763826021,-0.6967011350934627,-0.0390461822389625,-0.113108050005394,-0.0074698789976537,-0.4380264528881525,-0.0325087830424308,-0.0474309708370128,-1.0164626608748222,-0.6117613815149525,-0.650204526638845,-0.0425414129422279,-0.095234682681621,-0.0073588097293395,-0.474260762828635,-0.0235397826472762,-0.0360724123456748,-1.0442927293333923,-0.655394661880564,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.2_cy=1.5_cz=7.8.log,3
-3.1,1.5,7.8,7.0,4.8,45,-1.3,-3.029029989433184,-0.7308019110641908,-0.0403633257519686,-0.118044043687405,-0.0078124995343387,-0.4054486437235027,-0.0344534365576691,-0.0502735911577474,-1.0112988810724346,-0.6084826417791191,-0.6846221951564075,-0.0440323766670189,-0.0991271271923324,-0.007696410146309,-0.4393530090455897,-0.0247446018620394,-0.0380509513779543,-1.0485597973456606,-0.6648945357446792,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.1_cy=1.5_cz=7.8.log,3
-3.0,1.5,7.8,7.0,4.8,45,-1.3,-3.0414054278080584,-0.7615222906024428,-0.0417118447221582,-0.1232059409230714,-0.0081752002879511,-0.3743975663819583,-0.0365417898428859,-0.0533195246971445,-1.0053896193858236,-0.6061232041683979,-0.7172188296390232,-0.0455528334132395,-0.103156368873897,-0.0080503257922828,-0.4060805462795542,-0.0260222121869446,-0.0401531098614214,-1.0521799025300425,-0.6740097460278776,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.0_cy=1.5_cz=7.8.log,3
-2.9,1.4,7.8,7.0,4.8,45,-1.3,-3.102058975615364,-0.7903927706938703,-0.0415442995290504,-0.139868841462885,-0.0086094371799845,-0.3570280895801261,-0.0383916892897104,-0.0589275815582368,-1.020550260975142,-0.6133439617260592,-0.7601819292758591,-0.0453275573381688,-0.1156582506228005,-0.0084851901920046,-0.3851505777565762,-0.0271818506880663,-0.0437889028253266,-1.0633646408095956,-0.6863221197272651,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.9_cy=1.4_cz=7.8.log,3
-2.8,1.4,7.7,7.0,4.8,45,-1.3,-3.193337207805598,-0.8126794158597477,-0.0459638524771435,-0.1512135947414208,-0.0092551450070459,-0.3530597163626225,-0.043170177959837,-0.0648067227448336,-1.0495682058972309,-0.6081462964357343,-0.8099767302919645,-0.0503382247115951,-0.1241045352508081,-0.0091145827318541,-0.3803494987369049,-0.0299447772122221,-0.0478620702342595,-1.0988076606299728,-0.6983132083259989,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.8_cy=1.4_cz=7.7.log,3
-2.7,1.4,7.8,7.0,4.8,45,-1.3,-3.10084725386696,-0.8084136028919602,-0.0442325523908948,-0.1522332984750392,-0.0094421429530484,-0.3016252316883765,-0.0433044650853844,-0.0666666624165372,-1.0126505376101704,-0.6067023959330982,-0.8006437740550609,-0.048301954739145,-0.1254511716979323,-0.0093034632445778,-0.324984291466535,-0.0301142049138434,-0.048940132415737,-1.0733100467768963,-0.6953745789796812,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.7_cy=1.4_cz=7.8.log,3
-2.6,1.5,7.8,7.0,4.8,45,-1.3,-3.041776600010053,-0.8189356905495515,-0.0474090079951565,-0.1451907537848455,-0.0098286891297902,-0.2673556555673713,-0.046573164712754,-0.067893444414949,-0.967572101741098,-0.598089193663327,-0.8101210575841833,-0.0519132748158881,-0.1206457001098897,-0.0096730666409712,-0.2895506842905888,-0.0319628493598429,-0.0500050168775487,-1.05276348683401,-0.6980703619483393,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.6_cy=1.5_cz=7.8.log,3
