cx,cy,cz,theta,a,b,z,status
-3.5,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-3.4,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-3.3,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-3.2,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-3.1,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-3.0,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-2.9,1.4,7.8,45,7.0,4.8,-1.3,NotYet
-2.8,1.4,7.7,45,7.0,4.8,-1.3,NotYet
-2.7,1.4,7.8,45,7.0,4.8,-1.3,NotYet
-2.6,1.5,7.8,45,7.0,4.8,-1.3,NotYet
-2.5,1.6,7.8,45,7.0,4.8,-1.3,NotYet
-1.0,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
-0.9,-0.9,8.9,45,7.0,4.8,-1.3,NotYet
-0.8,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
-0.7,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
-0.6,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
-0.5,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
-0.4,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
-0.3,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
-0.2,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
-0.1,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.0,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.1,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.2,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.3,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.4,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.5,-0.9,9.1,45,7.0,4.8,-1.3,NotYet
0.6,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
0.7,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
0.8,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
0.9,-0.9,8.9,45,7.0,4.8,-1.3,NotYet
1.0,-0.9,9.0,45,7.0,4.8,-1.3,NotYet
2.5,1.6,7.8,45,7.0,4.8,-1.3,NotYet
2.6,1.5,7.8,45,7.0,4.8,-1.3,NotYet
2.7,1.4,7.8,45,7.0,4.8,-1.3,NotYet
2.8,1.4,7.7,45,7.0,4.8,-1.3,NotYet
2.9,1.4,7.8,45,7.0,4.8,-1.3,NotYet
3.0,1.5,7.8,45,7.0,4.8,-1.3,NotYet
3.1,1.5,7.8,45,7.0,4.8,-1.3,NotYet
3.2,1.5,7.8,45,7.0,4.8,-1.3,NotYet
3.3,1.5,7.8,45,7.0,4.8,-1.3,NotYet
3.4,1.5,7.8,45,7.0,4.8,-1.3,NotYet
3.5,1.5,7.8,45,7.0,4.8,-1.3,NotYet
