cx,cy,cz,theta,a,b,z,status
-3.5,1.1,8.7,45,7.0,4.8,-1.3,Done
-3.4,1.1,8.7,45,7.0,4.8,-1.3,Done
-3.3,1.1,8.7,45,7.0,4.8,-1.3,Done
-3.2,1.1,8.7,45,7.0,4.8,-1.3,Done
-3.1,1.1,8.6,45,7.0,4.8,-1.3,Done
-3.0,1.1,8.6,45,7.0,4.8,-1.3,Done
-0.5,-1.2,10.1,45,7.0,4.8,-1.3,Done
-0.4,-1.3,10.1,45,7.0,4.8,-1.3,Done
-0.3,-1.3,10.0,45,7.0,4.8,-1.3,Done
-0.2,-1.3,10.0,45,7.0,4.8,-1.3,Done
-0.1,-1.3,10.0,45,7.0,4.8,-1.3,Done
0.0,-1.3,10.0,45,7.0,4.8,-1.3,Done
0.1,-1.3,10.0,45,7.0,4.8,-1.3,Done
0.2,-1.3,10.0,45,7.0,4.8,-1.3,Done
0.3,-1.3,10.0,45,7.0,4.8,-1.3,Done
0.4,-1.3,10.1,45,7.0,4.8,-1.3,Done
0.5,-1.2,10.1,45,7.0,4.8,-1.3,Done
3.0,1.1,8.6,45,7.0,4.8,-1.3,Done
3.1,1.1,8.6,45,7.0,4.8,-1.3,Done
3.2,1.1,8.7,45,7.0,4.8,-1.3,Done
3.3,1.1,8.7,45,7.0,4.8,-1.3,Done
3.4,1.1,8.7,45,7.0,4.8,-1.3,Done
3.5,1.1,8.7,45,7.0,4.8,-1.3,Done
