cx,cy,cz,theta1,theta2,a,b,z,status
-0.2,-2.5,9.4,45,45,4.8,7.0,0.0,NotYet
-0.1,-2.5,9.4,45,45,4.8,7.0,0.0,NotYet
0.0,-2.5,9.4,45,45,4.8,7.0,0.0,NotYet
0.1,-2.5,9.4,45,45,4.8,7.0,0.0,NotYet
0.2,-2.5,9.4,45,45,4.8,7.0,0.0,NotYet
-0.4,-2.4,9.4,45,45,4.8,7.0,0.0,NotYet
-0.3,-2.4,9.4,45,45,4.8,7.0,0.0,NotYet
0.3,-2.4,9.4,45,45,4.8,7.0,0.0,NotYet
0.4,-2.4,9.4,45,45,4.8,7.0,0.0,NotYet
-0.5,-2.3,9.4,45,45,4.8,7.0,0.0,NotYet
0.5,-2.3,9.4,45,45,4.8,7.0,0.0,NotYet
-0.6,-2.2,9.4,45,45,4.8,7.0,0.0,NotYet
0.6,-2.2,9.4,45,45,4.8,7.0,0.0,NotYet
-0.7,-2.1,9.5,45,45,4.8,7.0,0.0,NotYet
0.7,-2.1,9.5,45,45,4.8,7.0,0.0,NotYet
-0.8,-2.0,9.5,45,45,4.8,7.0,0.0,NotYet
0.8,-2.0,9.5,45,45,4.8,7.0,0.0,NotYet
-0.9,-1.9,9.5,45,45,4.8,7.0,0.0,NotYet
0.9,-1.9,9.5,45,45,4.8,7.0,0.0,NotYet
-1.0,-1.8,9.5,45,45,4.8,7.0,0.0,NotYet
1.0,-1.8,9.5,45,45,4.8,7.0,0.0,NotYet
-1.1,-1.7,9.6,45,45,4.8,7.0,0.0,NotYet
1.1,-1.7,9.6,45,45,4.8,7.0,0.0,NotYet
-1.3,-1.6,9.6,45,45,4.8,7.0,0.0,NotYet
-1.2,-1.6,9.6,45,45,4.8,7.0,0.0,NotYet
1.2,-1.6,9.6,45,45,4.8,7.0,0.0,NotYet
1.3,-1.6,9.6,45,45,4.8,7.0,0.0,NotYet
-1.4,-1.5,9.6,45,45,4.8,7.0,0.0,NotYet
1.4,-1.5,9.6,45,45,4.8,7.0,0.0,NotYet
-1.6,-1.4,9.5,45,45,4.8,7.0,0.0,NotYet
-1.5,-1.4,9.6,45,45,4.8,7.0,0.0,NotYet
1.5,-1.4,9.6,45,45,4.8,7.0,0.0,NotYet
1.6,-1.4,9.5,45,45,4.8,7.0,0.0,NotYet
-1.8,-1.3,9.5,45,45,4.8,7.0,0.0,NotYet
-1.7,-1.3,9.5,45,45,4.8,7.0,0.0,NotYet
1.7,-1.3,9.5,45,45,4.8,7.0,0.0,NotYet
1.8,-1.3,9.5,45,45,4.8,7.0,0.0,NotYet
-2.0,-1.2,9.4,45,45,4.8,7.0,0.0,NotYet
-1.9,-1.2,9.5,45,45,4.8,7.0,0.0,NotYet
1.9,-1.2,9.5,45,45,4.8,7.0,0.0,NotYet
2.0,-1.2,9.4,45,45,4.8,7.0,0.0,NotYet
-2.2,-1.1,9.3,45,45,4.8,7.0,0.0,NotYet
-2.1,-1.1,9.4,45,45,4.8,7.0,0.0,NotYet
2.1,-1.1,9.4,45,45,4.8,7.0,0.0,NotYet
2.2,-1.1,9.3,45,45,4.8,7.0,0.0,NotYet
-2.4,-1.0,9.2,45,45,4.8,7.0,0.0,NotYet
-2.3,-1.0,9.3,45,45,4.8,7.0,0.0,NotYet
2.3,-1.0,9.3,45,45,4.8,7.0,0.0,NotYet
2.4,-1.0,9.2,45,45,4.8,7.0,0.0,NotYet
-2.3,0.1,9.5,45,45,4.8,7.0,0.0,NotYet
2.3,0.1,9.5,45,45,4.8,7.0,0.0,NotYet
-2.4,0.8,9.3,45,45,4.8,7.0,0.0,NotYet
2.4,0.8,9.3,45,45,4.8,7.0,0.0,NotYet
-2.3,0.9,9.3,45,45,4.8,7.0,0.0,NotYet
