cx,cy,cz,status,theta,a,b,z
-1.3,-2.3,10.9,NotYet,45,7.0,4.8,-1.3
-1.2,-2.3,10.9,NotYet,45,7.0,4.8,-1.3
1.2,-2.3,10.9,NotYet,45,7.0,4.8,-1.3
1.3,-2.3,10.9,NotYet,45,7.0,4.8,-1.3
-1.1,-2.2,10.9,NotYet,45,7.0,4.8,-1.3
-1.0,-2.2,10.8,NotYet,45,7.0,4.8,-1.3
1.0,-2.2,10.8,NotYet,45,7.0,4.8,-1.3
1.1,-2.2,10.9,NotYet,45,7.0,4.8,-1.3
-0.9,-2.1,10.8,NotYet,45,7.0,4.8,-1.3
-0.8,-2.1,10.7,NotYet,45,7.0,4.8,-1.3
-0.7,-2.1,10.7,NotYet,45,7.0,4.8,-1.3
0.7,-2.1,10.7,NotYet,45,7.0,4.8,-1.3
0.8,-2.1,10.7,NotYet,45,7.0,4.8,-1.3
0.9,-2.1,10.8,NotYet,45,7.0,4.8,-1.3
-0.6,-1.9,10.6,NotYet,45,7.0,4.8,-1.3
0.6,-1.9,10.6,NotYet,45,7.0,4.8,-1.3
-0.5,-1.6,10.3,NotYet,45,7.0,4.8,-1.3
0.5,-1.6,10.3,NotYet,45,7.0,4.8,-1.3
-0.4,-1.3,10.1,NotYet,45,7.0,4.8,-1.3
-0.3,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
-0.2,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
-0.1,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
0.0,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
0.1,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
0.2,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
0.3,-1.3,10.0,NotYet,45,7.0,4.8,-1.3
0.4,-1.3,10.1,NotYet,45,7.0,4.8,-1.3
-0.5,-1.2,10.1,NotYet,45,7.0,4.8,-1.3
0.5,-1.2,10.1,NotYet,45,7.0,4.8,-1.3
-0.7,-1.1,10.2,NotYet,45,7.0,4.8,-1.3
-0.6,-1.1,10.1,NotYet,45,7.0,4.8,-1.3
0.6,-1.1,10.1,NotYet,45,7.0,4.8,-1.3
0.7,-1.1,10.2,NotYet,45,7.0,4.8,-1.3
-0.8,-1.0,10.2,NotYet,45,7.0,4.8,-1.3
0.8,-1.0,10.2,NotYet,45,7.0,4.8,-1.3
-1.0,-0.9,10.2,NotYet,45,7.0,4.8,-1.3
-0.9,-0.9,10.2,NotYet,45,7.0,4.8,-1.3
0.9,-0.9,10.2,NotYet,45,7.0,4.8,-1.3
1.0,-0.9,10.2,NotYet,45,7.0,4.8,-1.3
-1.1,-0.8,10.2,NotYet,45,7.0,4.8,-1.3
1.1,-0.8,10.2,NotYet,45,7.0,4.8,-1.3
-1.3,-0.7,10.2,NotYet,45,7.0,4.8,-1.3
-1.2,-0.7,10.2,NotYet,45,7.0,4.8,-1.3
1.2,-0.7,10.2,NotYet,45,7.0,4.8,-1.3
1.3,-0.7,10.2,NotYet,45,7.0,4.8,-1.3
-1.4,-0.6,10.1,NotYet,45,7.0,4.8,-1.3
1.4,-0.6,10.1,NotYet,45,7.0,4.8,-1.3
-1.6,-0.5,10.1,NotYet,45,7.0,4.8,-1.3
-1.5,-0.5,10.1,NotYet,45,7.0,4.8,-1.3
1.5,-0.5,10.1,NotYet,45,7.0,4.8,-1.3
1.6,-0.5,10.1,NotYet,45,7.0,4.8,-1.3
-1.7,-0.4,10.0,NotYet,45,7.0,4.8,-1.3
1.7,-0.4,10.0,NotYet,45,7.0,4.8,-1.3
-1.8,-0.3,9.9,NotYet,45,7.0,4.8,-1.3
1.8,-0.3,9.9,NotYet,45,7.0,4.8,-1.3
-1.9,-0.2,9.9,NotYet,45,7.0,4.8,-1.3
1.9,-0.2,9.9,NotYet,45,7.0,4.8,-1.3
-2.0,-0.1,9.8,NotYet,45,7.0,4.8,-1.3
2.0,-0.1,9.8,NotYet,45,7.0,4.8,-1.3
-2.2,0.0,9.7,NotYet,45,7.0,4.8,-1.3
-2.1,0.0,9.7,NotYet,45,7.0,4.8,-1.3
2.1,0.0,9.7,NotYet,45,7.0,4.8,-1.3
2.2,0.0,9.7,NotYet,45,7.0,4.8,-1.3
-2.3,0.1,9.5,NotYet,45,7.0,4.8,-1.3
2.3,0.1,9.5,NotYet,45,7.0,4.8,-1.3
-2.5,0.2,9.4,NotYet,45,7.0,4.8,-1.3
-2.4,0.2,9.4,NotYet,45,7.0,4.8,-1.3
2.4,0.2,9.4,NotYet,45,7.0,4.8,-1.3
2.5,0.2,9.4,NotYet,45,7.0,4.8,-1.3
-2.7,0.3,9.2,NotYet,45,7.0,4.8,-1.3
-2.6,0.3,9.3,NotYet,45,7.0,4.8,-1.3
2.6,0.3,9.3,NotYet,45,7.0,4.8,-1.3
2.7,0.3,9.2,NotYet,45,7.0,4.8,-1.3
-2.8,0.7,9.0,NotYet,45,7.0,4.8,-1.3
2.8,0.7,9.0,NotYet,45,7.0,4.8,-1.3
-3.4,1.1,8.7,NotYet,45,7.0,4.8,-1.3
-3.3,1.1,8.7,NotYet,45,7.0,4.8,-1.3
-3.2,1.1,8.7,NotYet,45,7.0,4.8,-1.3
-3.1,1.1,8.6,NotYet,45,7.0,4.8,-1.3
-3.0,1.1,8.6,NotYet,45,7.0,4.8,-1.3
-2.9,1.1,8.7,NotYet,45,7.0,4.8,-1.3
2.9,1.1,8.7,NotYet,45,7.0,4.8,-1.3
3.0,1.1,8.6,NotYet,45,7.0,4.8,-1.3
3.1,1.1,8.6,NotYet,45,7.0,4.8,-1.3
3.2,1.1,8.7,NotYet,45,7.0,4.8,-1.3
3.3,1.1,8.7,NotYet,45,7.0,4.8,-1.3
3.4,1.1,8.7,NotYet,45,7.0,4.8,-1.3
-2.8,1.2,8.7,NotYet,45,7.0,4.8,-1.3
2.8,1.2,8.7,NotYet,45,7.0,4.8,-1.3
-2.7,1.3,8.7,NotYet,45,7.0,4.8,-1.3
2.7,1.3,8.7,NotYet,45,7.0,4.8,-1.3
-2.6,1.4,8.7,NotYet,45,7.0,4.8,-1.3
2.6,1.4,8.7,NotYet,45,7.0,4.8,-1.3
-2.5,1.5,8.7,NotYet,45,7.0,4.8,-1.3
2.5,1.5,8.7,NotYet,45,7.0,4.8,-1.3
-2.4,1.6,8.7,NotYet,45,7.0,4.8,-1.3
-2.3,1.6,8.8,NotYet,45,7.0,4.8,-1.3
2.3,1.6,8.8,NotYet,45,7.0,4.8,-1.3
2.4,1.6,8.7,NotYet,45,7.0,4.8,-1.3
-2.2,1.7,8.7,NotYet,45,7.0,4.8,-1.3
2.2,1.7,8.7,NotYet,45,7.0,4.8,-1.3
-2.1,1.8,8.7,NotYet,45,7.0,4.8,-1.3
2.1,1.8,8.7,NotYet,45,7.0,4.8,-1.3
-2.0,1.9,8.7,NotYet,45,7.0,4.8,-1.3
2.0,1.9,8.7,NotYet,45,7.0,4.8,-1.3
-1.9,2.0,8.6,NotYet,45,7.0,4.8,-1.3
1.9,2.0,8.6,NotYet,45,7.0,4.8,-1.3
-1.8,2.1,8.6,NotYet,45,7.0,4.8,-1.3
1.8,2.1,8.6,NotYet,45,7.0,4.8,-1.3
-1.7,2.2,8.5,NotYet,45,7.0,4.8,-1.3
1.7,2.2,8.5,NotYet,45,7.0,4.8,-1.3
-1.6,2.3,8.5,NotYet,45,7.0,4.8,-1.3
1.6,2.3,8.5,NotYet,45,7.0,4.8,-1.3
