theta,a,b,status
20,8.2,6.0,NotYet
20,4.1,11.9,NotYet
21,8.2,6.0,NotYet
21,4.1,11.9,NotYet
22,8.2,6.0,NotYet
22,4.1,11.9,NotYet
23,8.2,6.0,NotYet
23,4.1,11.9,NotYet
24,8.2,6.0,NotYet
24,4.1,11.9,NotYet
25,8.2,6.0,NotYet
25,4.1,11.9,NotYet
26,8.2,6.0,NotYet
26,4.1,11.9,NotYet
27,8.2,6.0,NotYet
27,4.1,11.9,NotYet
28,8.2,6.0,NotYet
28,4.1,11.9,NotYet
29,8.2,6.0,NotYet
29,4.1,11.9,NotYet
30,8.2,6.0,NotYet
30,4.1,11.9,NotYet
31,8.2,6.0,NotYet
31,4.1,11.9,NotYet
32,8.2,6.0,NotYet
32,4.1,11.9,NotYet
33,8.2,6.0,NotYet
33,4.1,11.9,NotYet
34,8.2,6.0,NotYet
34,4.1,11.9,NotYet
35,8.2,6.0,NotYet
35,4.1,11.9,NotYet
55,5.9,8.3,NotYet
55,12.7,4.1,NotYet
56,5.9,8.3,NotYet
56,12.7,4.1,NotYet
57,5.9,8.3,NotYet
57,12.7,4.1,NotYet
58,5.9,8.3,NotYet
58,12.7,4.1,NotYet
59,5.9,8.3,NotYet
59,12.7,4.1,NotYet
60,5.9,8.3,NotYet
60,12.7,4.1,NotYet
61,5.9,8.3,NotYet
61,12.7,4.1,NotYet
62,5.9,8.3,NotYet
62,12.7,4.1,NotYet
63,5.9,8.3,NotYet
63,12.7,4.1,NotYet
64,5.9,8.3,NotYet
64,12.7,4.1,NotYet
65,5.9,8.3,NotYet
65,12.7,4.1,NotYet
66,5.9,8.3,NotYet
66,12.7,4.1,NotYet
67,5.9,8.3,NotYet
67,12.7,4.1,NotYet
68,5.9,8.3,NotYet
68,12.7,4.1,NotYet
69,5.9,8.3,NotYet
69,12.7,4.1,NotYet
70,5.9,8.3,NotYet
70,12.7,4.1,NotYet
