theta,a,b,status
10,7.1,7.3,NotYet
10,3.6,13.5,NotYet
20,7.6,6.9,NotYet
20,3.7,13.0,NotYet
21,7.7,6.9,NotYet
21,3.7,13.0,NotYet
22,7.8,6.7,NotYet
22,3.7,13.0,NotYet
23,7.8,6.8,NotYet
23,3.7,12.9,NotYet
24,7.9,6.6,NotYet
24,3.9,12.7,NotYet
25,7.9,6.6,NotYet
25,3.9,12.7,NotYet
26,8.0,6.5,NotYet
26,3.9,12.6,NotYet
27,8.0,6.5,NotYet
27,3.8,12.6,NotYet
28,8.1,6.3,NotYet
28,4.0,12.4,NotYet
29,8.1,6.3,NotYet
29,4.0,12.3,NotYet
30,8.2,6.2,NotYet
30,4.0,12.3,NotYet
31,8.2,6.2,NotYet
31,4.2,12.1,NotYet
32,8.3,6.1,NotYet
32,4.1,12.0,NotYet
33,8.5,5.9,NotYet
33,4.3,11.8,NotYet
34,8.7,5.9,NotYet
34,4.3,11.8,NotYet
35,8.9,5.8,NotYet
35,4.3,11.7,NotYet
40,10.0,5.3,NotYet
40,4.6,10.9,NotYet
45,11.0,4.9,NotYet
45,4.8,10.3,NotYet
50,11.6,4.7,NotYet
50,5.3,9.6,NotYet
55,12.4,4.3,NotYet
55,5.8,9.0,NotYet
56,12.4,4.3,NotYet
56,5.8,8.9,NotYet
57,12.5,4.3,NotYet
57,5.9,8.8,NotYet
58,12.7,4.1,NotYet
58,6.1,8.7,NotYet
59,12.8,4.1,NotYet
59,6.2,8.5,NotYet
60,13.0,4.0,NotYet
60,6.2,8.5,NotYet
61,13.0,4.0,NotYet
61,6.3,8.3,NotYet
62,13.1,4.0,NotYet
62,6.4,8.2,NotYet
63,13.3,3.8,NotYet
63,6.4,8.2,NotYet
64,13.3,3.8,NotYet
64,6.5,8.0,NotYet
65,13.4,3.8,NotYet
65,6.6,7.9,NotYet
66,13.4,3.8,NotYet
66,6.6,7.8,NotYet
67,13.5,3.9,NotYet
67,6.7,7.7,NotYet
68,13.6,3.7,NotYet
68,6.8,7.5,NotYet
69,13.7,3.7,NotYet
69,6.9,7.4,NotYet
70,13.7,3.7,NotYet
70,6.9,7.3,NotYet
80,14.0,3.8,NotYet
80,7.4,7.2,NotYet
