theta,A2,a,b,z,E4,status
55.0,-10.0,5.4,9.1,-1.0,-6.363641661009751,NotYet
55.0,-8.0,5.3,9.0,-1.0,-6.6504702070960775,NotYet
55.0,-6.0,5.3,8.9,-1.0,-6.878927772515453,NotYet
55.0,-4.0,5.4,8.8,-1.0,-7.04356757143978,NotYet
55.0,-2.0,5.4,8.8,-1.0,-6.9754890112672,NotYet
55.0,0.0,5.5,8.9,-1.0,-6.793122055358253,NotYet
55.0,2.0,5.5,8.8,-1.0,-6.529015646432526,NotYet
55.0,4.0,5.6,8.9,-1.0,-6.230785243562423,NotYet
55.0,6.0,5.6,9.0,-1.0,-5.80323130520992,NotYet
55.0,8.0,5.6,9.2,-1.0,-5.402835999731906,NotYet
55.0,10.0,5.7,9.3,-1.0,-5.167024016845971,NotYet
56.0,-10.0,5.4,9.0,-1.0,-6.4416537042707205,NotYet
56.0,-8.0,5.4,8.9,-1.0,-6.768442086991854,NotYet
56.0,-6.0,5.4,8.8,-1.0,-7.001762855099514,NotYet
56.0,-4.0,5.4,8.7,-1.0,-7.114143620827235,NotYet
56.0,-2.0,5.5,8.6,-1.0,-7.15062077739276,NotYet
56.0,0.0,5.6,8.8,-1.0,-6.929699606611393,NotYet
56.0,2.0,5.6,8.7,-1.0,-6.716509359423071,NotYet
56.0,4.0,5.6,8.8,-1.0,-6.317952657700516,NotYet
56.0,6.0,5.7,8.9,-1.0,-6.008960458915681,NotYet
56.0,8.0,5.8,9.0,-1.0,-5.718730808584951,NotYet
56.0,10.0,5.8,9.2,-1.0,-5.347928874427453,NotYet
57.0,-10.0,5.5,8.8,-1.0,-6.602892398717813,NotYet
57.0,-8.0,5.5,8.7,-1.0,-6.93328268872574,NotYet
57.0,-6.0,5.5,8.6,-1.0,-7.165750043350272,NotYet
57.0,-4.0,5.5,8.6,-1.0,-7.248217407497577,NotYet
57.0,-2.0,5.6,8.5,-1.0,-7.29887628974393,NotYet
57.0,0.0,5.7,8.6,-1.0,-7.143900144961663,NotYet
57.0,2.0,5.7,8.5,-1.0,-6.905527921509929,NotYet
57.0,4.0,5.8,8.6,-1.0,-6.626794254756533,NotYet
57.0,6.0,5.8,8.7,-1.0,-6.214093477930874,NotYet
57.0,8.0,5.9,8.9,-1.0,-5.901348768733442,NotYet
57.0,10.0,5.9,9.0,-1.0,-5.54643538815435,NotYet
58.0,-10.0,5.6,8.7,-1.0,-6.7325610652333125,NotYet
58.0,-8.0,5.6,8.6,-1.0,-7.05725356459152,NotYet
58.0,-6.0,5.6,8.5,-1.0,-7.292714141774923,NotYet
58.0,-4.0,5.6,8.4,-1.0,-7.410541694611311,NotYet
58.0,-2.0,5.6,8.4,-1.0,-7.370079849730246,NotYet
58.0,0.0,5.8,8.5,-1.0,-7.273029152769595,NotYet
58.0,2.0,5.8,8.4,-1.0,-7.079831373994239,NotYet
58.0,4.0,5.8,8.5,-1.0,-6.709550273488276,NotYet
58.0,6.0,5.9,8.6,-1.0,-6.407366557745263,NotYet
58.0,8.0,6.0,8.7,-1.0,-6.106701416545548,NotYet
58.0,10.0,6.0,8.9,-1.0,-5.718937886878848,NotYet
59.0,-10.0,5.6,8.6,-1.0,-6.81739414203912,NotYet
59.0,-8.0,5.6,8.5,-1.0,-7.139469924615696,NotYet
59.0,-6.0,5.6,8.4,-1.0,-7.36892523127608,NotYet
59.0,-4.0,5.6,8.4,-1.0,-7.454906651633792,NotYet
59.0,-2.0,5.7,8.3,-1.0,-7.51113154750783,NotYet
59.0,0.0,5.9,8.4,-1.0,-7.391252036788501,NotYet
59.0,2.0,5.9,8.3,-1.0,-7.237857217667624,NotYet
59.0,4.0,5.9,8.4,-1.0,-6.887656436767429,NotYet
59.0,6.0,6.0,8.5,-1.0,-6.585140140959993,NotYet
59.0,8.0,6.1,8.6,-1.0,-6.279260391485877,NotYet
59.0,10.0,6.1,8.7,-1.0,-5.911489330348559,NotYet
60.0,-10.0,5.7,8.5,-1.0,-6.946504324674606,NotYet
60.0,-8.0,5.7,8.4,-1.0,-7.262863490963355,NotYet
60.0,-6.0,5.7,8.3,-1.0,-7.493849921855144,NotYet
60.0,-4.0,5.7,8.2,-1.0,-7.61098721367307,NotYet
60.0,-2.0,5.8,8.2,-1.0,-7.639576569199562,NotYet
60.0,0.0,5.9,8.3,-1.0,-7.487687773769721,NotYet
60.0,2.0,5.9,8.2,-1.0,-7.314262835076079,NotYet
60.0,4.0,6.0,8.3,-1.0,-7.049591667368077,NotYet
60.0,6.0,6.1,8.3,-1.0,-6.773750821594149,NotYet
60.0,8.0,6.2,8.4,-1.0,-6.471146674128249,NotYet
60.0,10.0,6.2,8.6,-1.0,-6.076806840253994,NotYet
61.0,-10.0,5.8,8.3,-1.0,-7.105615759966895,NotYet
61.0,-8.0,5.8,8.2,-1.0,-7.417582356720231,NotYet
61.0,-6.0,5.8,8.2,-1.0,-7.6094749147305265,NotYet
61.0,-4.0,5.8,8.1,-1.0,-7.733897597296163,NotYet
61.0,-2.0,5.8,8.1,-1.0,-7.712041424005292,NotYet
61.0,0.0,6.0,8.2,-1.0,-7.596108951489441,NotYet
61.0,2.0,6.0,8.1,-1.0,-7.456789181451313,NotYet
61.0,4.0,6.1,8.1,-1.0,-7.218724437523633,NotYet
61.0,6.0,6.2,8.2,-1.0,-6.9348514637677,NotYet
61.0,8.0,6.3,8.3,-1.0,-6.631488029262982,NotYet
61.0,10.0,6.4,8.4,-1.0,-6.326285990769975,NotYet
62.0,-10.0,5.9,8.2,-1.0,-7.229768613819033,NotYet
62.0,-8.0,5.8,8.2,-1.0,-7.467977684689686,NotYet
62.0,-6.0,5.8,8.1,-1.0,-7.690135050099343,NotYet
62.0,-4.0,5.9,8.0,-1.0,-7.84334161656443,NotYet
62.0,-2.0,5.9,8.0,-1.0,-7.826944780303165,NotYet
62.0,0.0,6.1,8.1,-1.0,-7.6912394677056,NotYet
62.0,2.0,6.1,8.0,-1.0,-7.581130288075656,NotYet
62.0,4.0,6.2,8.0,-1.0,-7.35693979007192,NotYet
62.0,6.0,6.3,8.1,-1.0,-7.079084637342021,NotYet
62.0,8.0,6.4,8.2,-1.0,-6.777421754901297,NotYet
62.0,10.0,6.4,8.3,-1.0,-6.41457037255168,NotYet
63.0,-10.0,6.0,8.1,-1.0,-7.342136829392984,NotYet
63.0,-8.0,5.9,8.0,-1.0,-7.610278127365746,NotYet
63.0,-6.0,5.9,8.0,-1.0,-7.796027362346649,NotYet
63.0,-4.0,5.9,7.9,-1.0,-7.907774343388155,NotYet
63.0,-2.0,6.0,7.9,-1.0,-7.925375998835079,NotYet
63.0,0.0,6.2,7.9,-1.0,-7.8529174191644415,NotYet
63.0,2.0,6.2,7.8,-1.0,-7.694508795044385,NotYet
63.0,4.0,6.3,7.9,-1.0,-7.475300726480782,NotYet
63.0,6.0,6.4,7.9,-1.0,-7.218680511810817,NotYet
63.0,8.0,6.5,8.0,-1.0,-6.935698602464981,NotYet
63.0,10.0,6.5,8.2,-1.0,-6.559092200594023,NotYet
64.0,-10.0,6.0,8.0,-1.0,-7.427911171223968,NotYet
64.0,-8.0,6.0,7.9,-1.0,-7.712436755304225,NotYet
64.0,-6.0,6.0,7.8,-1.0,-7.906155367498286,NotYet
64.0,-4.0,6.0,7.8,-1.0,-7.998311485978775,NotYet
64.0,-2.0,6.1,7.7,-1.0,-8.011213091667742,NotYet
