a,b,theta,A2,z,status
8.2,6.0,30.0,-9,-0.9,NotYet
8.2,6.0,30.0,-9,-0.7,NotYet
8.2,6.0,30.0,-9,-0.5,NotYet
8.2,6.0,30.0,-9,-0.3,NotYet
8.2,6.0,30.0,-9,-0.1,NotYet
8.2,6.0,30.0,-9,0.1,NotYet
8.2,6.0,30.0,-9,0.3,NotYet
8.2,6.0,30.0,-9,0.5,NotYet
8.2,6.0,30.0,-9,0.7,NotYet
8.2,6.0,30.0,-9,0.9,NotYet
8.2,6.0,30.0,-7,-0.9,NotYet
8.2,6.0,30.0,-7,-0.7,NotYet
8.2,6.0,30.0,-7,-0.5,NotYet
8.2,6.0,30.0,-7,-0.3,NotYet
8.2,6.0,30.0,-7,-0.1,NotYet
8.2,6.0,30.0,-7,0.1,NotYet
8.2,6.0,30.0,-7,0.3,NotYet
8.2,6.0,30.0,-7,0.5,NotYet
8.2,6.0,30.0,-7,0.7,NotYet
8.2,6.0,30.0,-7,0.9,NotYet
8.2,6.0,30.0,-5,-0.9,NotYet
8.2,6.0,30.0,-5,-0.7,NotYet
8.2,6.0,30.0,-5,-0.5,NotYet
8.2,6.0,30.0,-5,-0.3,NotYet
8.2,6.0,30.0,-5,-0.1,NotYet
8.2,6.0,30.0,-5,0.1,NotYet
8.2,6.0,30.0,-5,0.3,NotYet
8.2,6.0,30.0,-5,0.5,NotYet
8.2,6.0,30.0,-5,0.7,NotYet
8.2,6.0,30.0,-5,0.9,NotYet
8.2,6.0,30.0,-3,-0.9,NotYet
8.2,6.0,30.0,-3,-0.7,NotYet
8.2,6.0,30.0,-3,-0.5,NotYet
8.2,6.0,30.0,-3,-0.3,NotYet
8.2,6.0,30.0,-3,-0.1,NotYet
8.2,6.0,30.0,-3,0.1,NotYet
8.2,6.0,30.0,-3,0.3,NotYet
8.2,6.0,30.0,-3,0.5,NotYet
8.2,6.0,30.0,-3,0.7,NotYet
8.2,6.0,30.0,-3,0.9,NotYet
8.2,6.0,30.0,-1,-0.9,NotYet
8.2,6.0,30.0,-1,-0.7,NotYet
8.2,6.0,30.0,-1,-0.5,NotYet
8.2,6.0,30.0,-1,-0.3,NotYet
8.2,6.0,30.0,-1,-0.1,NotYet
8.2,6.0,30.0,-1,0.1,NotYet
8.2,6.0,30.0,-1,0.3,NotYet
8.2,6.0,30.0,-1,0.5,NotYet
8.2,6.0,30.0,-1,0.7,NotYet
8.2,6.0,30.0,-1,0.9,NotYet
