a,b,theta,A2,z,status
8.2,6.0,30.0,-10,-0.9,NotYet
8.2,6.0,30.0,-10,-0.7,NotYet
8.2,6.0,30.0,-10,-0.5,NotYet
8.2,6.0,30.0,-10,-0.3,NotYet
8.2,6.0,30.0,-10,-0.1,NotYet
8.2,6.0,30.0,-10,0.1,NotYet
8.2,6.0,30.0,-10,0.3,NotYet
8.2,6.0,30.0,-10,0.5,NotYet
8.2,6.0,30.0,-10,0.7,NotYet
8.2,6.0,30.0,-10,0.9,NotYet
8.2,6.0,30.0,-9,-1.0,NotYet
8.2,6.0,30.0,-9,-0.9,NotYet
8.2,6.0,30.0,-9,-0.8,NotYet
8.2,6.0,30.0,-9,-0.7,NotYet
8.2,6.0,30.0,-9,-0.6,NotYet
8.2,6.0,30.0,-9,-0.5,NotYet
8.2,6.0,30.0,-9,-0.4,NotYet
8.2,6.0,30.0,-9,-0.3,NotYet
8.2,6.0,30.0,-9,-0.2,NotYet
8.2,6.0,30.0,-9,-0.1,NotYet
8.2,6.0,30.0,-9,0.0,NotYet
8.2,6.0,30.0,-9,0.1,NotYet
8.2,6.0,30.0,-9,0.2,NotYet
8.2,6.0,30.0,-9,0.3,NotYet
8.2,6.0,30.0,-9,0.4,NotYet
8.2,6.0,30.0,-9,0.5,NotYet
8.2,6.0,30.0,-9,0.6,NotYet
8.2,6.0,30.0,-9,0.7,NotYet
8.2,6.0,30.0,-9,0.8,NotYet
8.2,6.0,30.0,-9,0.9,NotYet
8.2,6.0,30.0,-9,1.0,NotYet
8.2,6.0,30.0,-8,-0.9,NotYet
8.2,6.0,30.0,-8,-0.7,NotYet
8.2,6.0,30.0,-8,-0.5,NotYet
8.2,6.0,30.0,-8,-0.3,NotYet
8.2,6.0,30.0,-8,-0.1,NotYet
8.2,6.0,30.0,-8,0.1,NotYet
8.2,6.0,30.0,-8,0.3,NotYet
8.2,6.0,30.0,-8,0.5,NotYet
8.2,6.0,30.0,-8,0.7,NotYet
8.2,6.0,30.0,-8,0.9,NotYet
8.2,6.0,30.0,-7,-1.0,NotYet
8.2,6.0,30.0,-7,-0.9,NotYet
8.2,6.0,30.0,-7,-0.8,NotYet
8.2,6.0,30.0,-7,-0.7,NotYet
8.2,6.0,30.0,-7,-0.6,NotYet
8.2,6.0,30.0,-7,-0.5,NotYet
8.2,6.0,30.0,-7,-0.4,NotYet
8.2,6.0,30.0,-7,-0.3,NotYet
8.2,6.0,30.0,-7,-0.2,NotYet
8.2,6.0,30.0,-7,-0.1,NotYet
8.2,6.0,30.0,-7,0.0,NotYet
8.2,6.0,30.0,-7,0.1,NotYet
8.2,6.0,30.0,-7,0.2,NotYet
8.2,6.0,30.0,-7,0.3,NotYet
8.2,6.0,30.0,-7,0.4,NotYet
8.2,6.0,30.0,-7,0.5,NotYet
8.2,6.0,30.0,-7,0.6,NotYet
8.2,6.0,30.0,-7,0.7,NotYet
8.2,6.0,30.0,-7,0.8,NotYet
8.2,6.0,30.0,-7,0.9,NotYet
8.2,6.0,30.0,-7,1.0,NotYet
8.2,6.0,30.0,-6,-0.9,NotYet
8.2,6.0,30.0,-6,-0.7,NotYet
8.2,6.0,30.0,-6,-0.5,NotYet
8.2,6.0,30.0,-6,-0.3,NotYet
8.2,6.0,30.0,-6,-0.1,NotYet
8.2,6.0,30.0,-6,0.1,NotYet
8.2,6.0,30.0,-6,0.3,NotYet
8.2,6.0,30.0,-6,0.5,NotYet
8.2,6.0,30.0,-6,0.7,NotYet
8.2,6.0,30.0,-6,0.9,NotYet
8.2,6.0,30.0,-5,-1.0,NotYet
8.2,6.0,30.0,-5,-0.9,NotYet
8.2,6.0,30.0,-5,-0.8,NotYet
8.2,6.0,30.0,-5,-0.7,NotYet
8.2,6.0,30.0,-5,-0.6,NotYet
8.2,6.0,30.0,-5,-0.5,NotYet
8.2,6.0,30.0,-5,-0.4,NotYet
8.2,6.0,30.0,-5,-0.3,NotYet
8.2,6.0,30.0,-5,-0.2,NotYet
8.2,6.0,30.0,-5,-0.1,NotYet
8.2,6.0,30.0,-5,0.0,NotYet
8.2,6.0,30.0,-5,0.1,NotYet
8.2,6.0,30.0,-5,0.2,NotYet
8.2,6.0,30.0,-5,0.3,NotYet
8.2,6.0,30.0,-5,0.4,NotYet
8.2,6.0,30.0,-5,0.5,NotYet
8.2,6.0,30.0,-5,0.6,NotYet
8.2,6.0,30.0,-5,0.7,NotYet
8.2,6.0,30.0,-5,0.8,NotYet
8.2,6.0,30.0,-5,0.9,NotYet
8.2,6.0,30.0,-5,1.0,NotYet
8.2,6.0,30.0,-4,-0.9,NotYet
8.2,6.0,30.0,-4,-0.7,NotYet
8.2,6.0,30.0,-4,-0.5,NotYet
8.2,6.0,30.0,-4,-0.3,NotYet
8.2,6.0,30.0,-4,-0.1,NotYet
8.2,6.0,30.0,-4,0.1,NotYet
8.2,6.0,30.0,-4,0.3,NotYet
8.2,6.0,30.0,-4,0.5,NotYet
8.2,6.0,30.0,-4,0.7,NotYet
8.2,6.0,30.0,-4,0.9,NotYet
8.2,6.0,30.0,-3,-1.0,NotYet
8.2,6.0,30.0,-3,-0.9,NotYet
8.2,6.0,30.0,-3,-0.8,NotYet
8.2,6.0,30.0,-3,-0.7,NotYet
8.2,6.0,30.0,-3,-0.6,NotYet
8.2,6.0,30.0,-3,-0.5,NotYet
8.2,6.0,30.0,-3,-0.4,NotYet
8.2,6.0,30.0,-3,-0.3,NotYet
8.2,6.0,30.0,-3,-0.2,NotYet
8.2,6.0,30.0,-3,-0.1,NotYet
8.2,6.0,30.0,-3,0.0,NotYet
8.2,6.0,30.0,-3,0.1,NotYet
8.2,6.0,30.0,-3,0.2,NotYet
8.2,6.0,30.0,-3,0.3,NotYet
8.2,6.0,30.0,-3,0.4,NotYet
8.2,6.0,30.0,-3,0.5,NotYet
8.2,6.0,30.0,-3,0.6,NotYet
8.2,6.0,30.0,-3,0.7,NotYet
8.2,6.0,30.0,-3,0.8,NotYet
8.2,6.0,30.0,-3,0.9,NotYet
8.2,6.0,30.0,-3,1.0,NotYet
8.2,6.0,30.0,-2,-0.9,NotYet
8.2,6.0,30.0,-2,-0.7,NotYet
8.2,6.0,30.0,-2,-0.5,NotYet
8.2,6.0,30.0,-2,-0.3,NotYet
8.2,6.0,30.0,-2,-0.1,NotYet
8.2,6.0,30.0,-2,0.1,NotYet
8.2,6.0,30.0,-2,0.3,NotYet
8.2,6.0,30.0,-2,0.5,NotYet
8.2,6.0,30.0,-2,0.7,NotYet
