cx,cy,cz,theta,a,b,A2,z,status
0.0,-2.5,11.6,55.0,5.4,8.8,-4.0,-0.2,NotYet
0.0,-2.5,11.6,56.0,5.4,8.7,-4.0,-0.2,NotYet
0.0,-2.4,11.7,57.0,5.5,8.6,-6.0,-0.2,NotYet
0.0,-2.4,11.6,58.0,5.6,8.5,-6.0,-0.2,NotYet
0.0,-2.4,11.7,59.0,5.6,8.4,-6.0,-0.2,NotYet
0.0,-2.4,11.6,60.0,5.7,8.3,-6.0,-0.2,NotYet
0.0,-2.5,11.6,61.0,5.8,8.1,-4.0,-0.2,NotYet
0.0,-2.5,11.6,62.0,5.9,8.0,-4.0,-0.2,NotYet
0.0,-2.4,11.6,63.0,5.9,8.0,-6.0,-0.2,NotYet
0.0,-2.5,11.4,64.0,6.0,7.8,-6.0,0.0,NotYet
0.0,-2.4,11.6,65.0,6.0,7.8,-6.0,-0.2,NotYet
0.0,-2.4,11.6,66.0,6.1,7.7,-6.0,-0.2,NotYet
0.0,-2.4,11.6,67.0,6.2,7.6,-6.0,-0.2,NotYet
0.0,-2.4,11.6,68.0,6.2,7.5,-6.0,-0.2,NotYet
0.0,-2.4,11.6,69.0,6.3,7.4,-6.0,-0.2,NotYet
0.0,-2.4,11.6,70.0,6.4,7.3,-6.0,-0.2,NotYet
