atom,X,Y,Z
C,0.0,0.0,-2.8699
C,0.0,0.0,-1.4344
C,0.0,1.2325,-3.5786
C,0.0,1.251,-0.7338
C,0.0,2.4332,-2.879
C,0.0,2.4391,-1.4806
C,0.0,-1.2325,-3.5786
C,0.0,-2.4332,-2.879
C,0.0,-1.251,-0.7338
C,0.0,-2.4391,-1.4806
C,0.0,-1.251,0.7338
C,0.0,1.251,0.7338
C,0.0,0.0,1.4344
C,0.0,2.4391,1.4806
C,0.0,2.4332,2.879
C,0.0,0.0,2.8699
C,0.0,1.2325,3.5786
C,0.0,-2.4391,1.4806
C,0.0,-2.4332,2.879
C,0.0,-1.2325,3.5786
C,0.0,-1.2592,-5.0633
C,0.0,1.2592,-5.0633
C,0.0,1.2592,5.0633
C,0.0,-1.2592,5.0633
N,0.0,-0.0,-5.6737
O,0.0,-2.286,-5.7332
O,0.0,2.286,-5.7332
N,0.0,-0.0,5.6737
O,0.0,-2.286,5.7332
O,0.0,2.286,5.7332
H,0.0,-3.3647,-3.4488
H,0.0,-3.404,-0.9735
H,0.0,-3.404,0.9735
H,0.0,-3.3647,3.4488
H,0.0,3.3647,3.4488
H,0.0,3.404,0.9735
H,0.0,3.404,-0.9735
H,0.0,3.3647,-3.4488
C,0.0,-0.0,7.1636
C,-1.4088,0.0,7.7667
C,-1.4217,0.0,9.2985
C,-2.8305,0.0,9.9003
C,-2.8432,0.0,11.4322
C,-4.2518,-0.0,12.0341
C,-4.2657,-0.0,13.5666
C,-5.6785,-0.0,14.1563
H,0.5522,0.8819,7.5349
H,0.5522,-0.882,7.5348
H,-1.9632,0.8826,7.3964
H,-1.9632,-0.8826,7.3964
H,-0.8672,0.8826,9.668
H,-0.8672,-0.8826,9.668
H,-3.3851,0.8826,9.5308
H,-3.3851,-0.8826,9.5308
H,-2.2886,0.8826,11.8016
H,-2.2886,-0.8826,11.8016
H,-4.8071,0.8826,11.6652
H,-4.807,-0.8826,11.6652
H,-3.7104,0.882,13.9332
H,-3.7104,-0.882,13.9332
H,-6.2442,0.8883,13.8312
H,-5.6602,-0.0,15.2569
H,-6.2442,-0.8883,13.8312
C,-0.0,0.0,-7.1636
C,1.4088,-0.0,-7.7667
C,1.4217,-0.0,-9.2985
C,2.8305,-0.0,-9.9003
C,2.8432,-0.0,-11.4322
C,4.2518,0.0,-12.0341
C,4.2657,0.0,-13.5666
C,5.6785,0.0,-14.1563
H,-0.5522,-0.8819,-7.5349
H,-0.5522,0.882,-7.5348
H,1.9632,-0.8826,-7.3964
H,1.9632,0.8826,-7.3964
H,0.8672,-0.8826,-9.668
H,0.8672,0.8826,-9.668
H,3.3851,-0.8826,-9.5308
H,3.3851,0.8826,-9.5308
H,2.2886,-0.8826,-11.8016
H,2.2886,0.8826,-11.8016
H,4.8071,-0.8826,-11.6652
H,4.807,0.8826,-11.6652
H,3.7104,-0.882,-13.9332
H,3.7104,0.882,-13.9332
H,6.2442,-0.8883,-13.8312
H,5.6602,0.0,-15.2569
H,6.2442,0.8883,-13.8312
