atom,X,Y,Z
C,0.0,0.0,-2.8699
C,0.0,0.0,-1.4344
C,0.0,1.2325,-3.5786
C,0.0,1.251,-0.7338
C,0.0,2.4332,-2.879
C,0.0,2.4391,-1.4806
C,0.0,-1.2325,-3.5786
C,0.0,-2.4332,-2.879
C,0.0,-1.251,-0.7338
C,0.0,-2.4391,-1.4806
C,0.0,-1.251,0.7338
C,0.0,1.251,0.7338
C,0.0,0.0,1.4344
C,0.0,2.4391,1.4806
C,0.0,2.4332,2.879
C,0.0,0.0,2.8699
C,0.0,1.2325,3.5786
C,0.0,-2.4391,1.4806
C,0.0,-2.4332,2.879
C,0.0,-1.2325,3.5786
C,0.0,-1.2592,-5.0633
C,0.0,1.2592,-5.0633
C,0.0,1.2592,5.0633
C,0.0,-1.2592,5.0633
N,0.0,-0.0,-5.6737
O,0.0,-2.286,-5.7332
O,0.0,2.286,-5.7332
N,0.0,-0.0,5.6737
O,0.0,-2.286,5.7332
O,0.0,2.286,5.7332
H,0.0,-3.3647,-3.4488
H,0.0,-3.404,-0.9735
H,0.0,-3.404,0.9735
H,0.0,-3.3647,3.4488
H,0.0,3.3647,3.4488
H,0.0,3.404,0.9735
H,0.0,3.404,-0.9735
H,0.0,3.3647,-3.4488
H,0.0,-0.0,6.6951
H,0.0,-0.0,-6.6951
