z,A2,phi,a,b,theta,status
-4.0,-10,0,8.0,6.0,30,NotYet
-4.0,-10,10,8.0,6.0,30,NotYet
-4.0,-10,20,8.0,6.0,30,NotYet
-4.0,-10,30,8.0,6.0,30,NotYet
-4.0,-10,40,8.0,6.0,30,NotYet
-4.0,-10,50,8.0,6.0,30,NotYet
-4.0,-10,60,8.0,6.0,30,NotYet
-4.0,-8,0,8.0,6.0,30,NotYet
-4.0,-8,10,8.0,6.0,30,NotYet
-4.0,-8,20,8.0,6.0,30,NotYet
-4.0,-8,30,8.0,6.0,30,NotYet
-4.0,-8,40,8.0,6.0,30,NotYet
-4.0,-8,50,8.0,6.0,30,NotYet
-4.0,-8,60,8.0,6.0,30,NotYet
-4.0,-6,0,8.0,6.0,30,NotYet
-4.0,-6,10,8.0,6.0,30,NotYet
-4.0,-6,20,8.0,6.0,30,NotYet
-4.0,-6,30,8.0,6.0,30,NotYet
-4.0,-6,40,8.0,6.0,30,NotYet
-4.0,-6,50,8.0,6.0,30,NotYet
-4.0,-6,60,8.0,6.0,30,NotYet
-4.0,-4,0,8.0,6.0,30,NotYet
-4.0,-4,10,8.0,6.0,30,NotYet
-4.0,-4,20,8.0,6.0,30,NotYet
-4.0,-4,30,8.0,6.0,30,NotYet
-4.0,-4,40,8.0,6.0,30,NotYet
-4.0,-4,50,8.0,6.0,30,NotYet
-4.0,-4,60,8.0,6.0,30,NotYet
-4.0,-2,0,8.0,6.0,30,NotYet
-4.0,-2,10,8.0,6.0,30,NotYet
-4.0,-2,20,8.0,6.0,30,NotYet
-4.0,-2,30,8.0,6.0,30,NotYet
-4.0,-2,40,8.0,6.0,30,NotYet
-4.0,-2,50,8.0,6.0,30,NotYet
-4.0,-2,60,8.0,6.0,30,NotYet
-4.0,0,0,8.0,6.0,30,NotYet
-4.0,0,10,8.0,6.0,30,NotYet
-4.0,0,20,8.0,6.0,30,NotYet
-4.0,0,30,8.0,6.0,30,NotYet
-4.0,0,40,8.0,6.0,30,NotYet
-4.0,0,50,8.0,6.0,30,NotYet
-4.0,0,60,8.0,6.0,30,NotYet
-4.0,2,0,8.0,6.0,30,NotYet
-4.0,2,10,8.0,6.0,30,NotYet
-4.0,2,20,8.0,6.0,30,NotYet
-4.0,2,30,8.0,6.0,30,NotYet
-4.0,2,40,8.0,6.0,30,NotYet
-4.0,2,50,8.0,6.0,30,NotYet
-4.0,2,60,8.0,6.0,30,NotYet
-4.0,4,0,8.0,6.0,30,NotYet
-4.0,4,10,8.0,6.0,30,NotYet
-4.0,4,20,8.0,6.0,30,NotYet
-4.0,4,30,8.0,6.0,30,NotYet
-4.0,4,40,8.0,6.0,30,NotYet
-4.0,4,50,8.0,6.0,30,NotYet
-4.0,4,60,8.0,6.0,30,NotYet
-4.0,6,0,8.0,6.0,30,NotYet
-4.0,6,10,8.0,6.0,30,NotYet
-4.0,6,20,8.0,6.0,30,NotYet
-4.0,6,30,8.0,6.0,30,NotYet
-4.0,6,40,8.0,6.0,30,NotYet
-4.0,6,50,8.0,6.0,30,NotYet
-4.0,6,60,8.0,6.0,30,NotYet
-4.0,8,0,8.0,6.0,30,NotYet
-4.0,8,10,8.0,6.0,30,NotYet
-4.0,8,20,8.0,6.0,30,NotYet
-4.0,8,30,8.0,6.0,30,NotYet
-4.0,8,40,8.0,6.0,30,NotYet
-4.0,8,50,8.0,6.0,30,NotYet
-4.0,8,60,8.0,6.0,30,NotYet
-4.0,10,0,8.0,6.0,30,NotYet
-4.0,10,10,8.0,6.0,30,NotYet
-4.0,10,20,8.0,6.0,30,NotYet
-4.0,10,30,8.0,6.0,30,NotYet
-4.0,10,40,8.0,6.0,30,NotYet
-4.0,10,50,8.0,6.0,30,NotYet
-4.0,10,60,8.0,6.0,30,NotYet
-3.8,-10,0,8.0,6.0,30,NotYet
-3.8,-10,10,8.0,6.0,30,NotYet
-3.8,-10,20,8.0,6.0,30,NotYet
-3.8,-10,30,8.0,6.0,30,NotYet
-3.8,-10,40,8.0,6.0,30,NotYet
-3.8,-10,50,8.0,6.0,30,NotYet
-3.8,-10,60,8.0,6.0,30,NotYet
-3.8,-8,0,8.0,6.0,30,NotYet
-3.8,-8,10,8.0,6.0,30,NotYet
-3.8,-8,20,8.0,6.0,30,NotYet
-3.8,-8,30,8.0,6.0,30,NotYet
-3.8,-8,40,8.0,6.0,30,NotYet
-3.8,-8,50,8.0,6.0,30,NotYet
-3.8,-8,60,8.0,6.0,30,NotYet
-3.8,-6,0,8.0,6.0,30,NotYet
-3.8,-6,10,8.0,6.0,30,NotYet
-3.8,-6,20,8.0,6.0,30,NotYet
-3.8,-6,30,8.0,6.0,30,NotYet
-3.8,-6,40,8.0,6.0,30,NotYet
-3.8,-6,50,8.0,6.0,30,NotYet
-3.8,-6,60,8.0,6.0,30,NotYet
-3.8,-4,0,8.0,6.0,30,NotYet
-3.8,-4,10,8.0,6.0,30,NotYet
-3.8,-4,20,8.0,6.0,30,NotYet
-3.8,-4,30,8.0,6.0,30,NotYet
-3.8,-4,40,8.0,6.0,30,NotYet
-3.8,-4,50,8.0,6.0,30,NotYet
-3.8,-4,60,8.0,6.0,30,NotYet
-3.8,-2,0,8.0,6.0,30,NotYet
-3.8,-2,10,8.0,6.0,30,NotYet
-3.8,-2,20,8.0,6.0,30,NotYet
-3.8,-2,30,8.0,6.0,30,NotYet
-3.8,-2,40,8.0,6.0,30,NotYet
-3.8,-2,50,8.0,6.0,30,NotYet
-3.8,-2,60,8.0,6.0,30,NotYet
-3.8,0,0,8.0,6.0,30,NotYet
