z,A2,phi,a,b,theta,status
0.2,-20,0,8.0,6.0,30,NotYet
0.2,-20,10,8.0,6.0,30,NotYet
0.2,-20,20,8.0,6.0,30,NotYet
0.2,-20,30,8.0,6.0,30,NotYet
0.2,-20,40,8.0,6.0,30,NotYet
0.2,-20,50,8.0,6.0,30,NotYet
0.2,-20,60,8.0,6.0,30,NotYet
0.2,-18,0,8.0,6.0,30,NotYet
0.2,-18,10,8.0,6.0,30,NotYet
0.2,-18,20,8.0,6.0,30,NotYet
0.2,-18,30,8.0,6.0,30,NotYet
0.2,-18,40,8.0,6.0,30,NotYet
0.2,-18,50,8.0,6.0,30,NotYet
0.2,-18,60,8.0,6.0,30,NotYet
0.2,-16,0,8.0,6.0,30,NotYet
0.2,-16,10,8.0,6.0,30,NotYet
0.2,-16,20,8.0,6.0,30,NotYet
0.2,-16,30,8.0,6.0,30,NotYet
0.2,-16,40,8.0,6.0,30,NotYet
0.2,-16,50,8.0,6.0,30,NotYet
0.2,-16,60,8.0,6.0,30,NotYet
0.2,-14,0,8.0,6.0,30,NotYet
0.2,-14,10,8.0,6.0,30,NotYet
0.2,-14,20,8.0,6.0,30,NotYet
0.2,-14,30,8.0,6.0,30,NotYet
0.2,-14,40,8.0,6.0,30,NotYet
0.2,-14,50,8.0,6.0,30,NotYet
0.2,-14,60,8.0,6.0,30,NotYet
0.2,-12,0,8.0,6.0,30,NotYet
0.2,-12,10,8.0,6.0,30,NotYet
0.2,-12,20,8.0,6.0,30,NotYet
0.2,-12,30,8.0,6.0,30,NotYet
0.2,-12,40,8.0,6.0,30,NotYet
0.2,-12,50,8.0,6.0,30,NotYet
0.2,-12,60,8.0,6.0,30,NotYet
0.4,-20,0,8.0,6.0,30,NotYet
0.4,-20,10,8.0,6.0,30,NotYet
0.4,-20,20,8.0,6.0,30,NotYet
0.4,-20,30,8.0,6.0,30,NotYet
0.4,-20,40,8.0,6.0,30,NotYet
0.4,-20,50,8.0,6.0,30,NotYet
0.4,-20,60,8.0,6.0,30,NotYet
0.4,-18,0,8.0,6.0,30,NotYet
0.4,-18,10,8.0,6.0,30,NotYet
0.4,-18,20,8.0,6.0,30,NotYet
0.4,-18,30,8.0,6.0,30,NotYet
0.4,-18,40,8.0,6.0,30,NotYet
0.4,-18,50,8.0,6.0,30,NotYet
0.4,-18,60,8.0,6.0,30,NotYet
0.4,-16,0,8.0,6.0,30,NotYet
0.4,-16,10,8.0,6.0,30,NotYet
0.4,-16,20,8.0,6.0,30,NotYet
0.4,-16,30,8.0,6.0,30,NotYet
0.4,-16,40,8.0,6.0,30,NotYet
0.4,-16,50,8.0,6.0,30,NotYet
0.4,-16,60,8.0,6.0,30,NotYet
0.4,-14,0,8.0,6.0,30,NotYet
0.4,-14,10,8.0,6.0,30,NotYet
0.4,-14,20,8.0,6.0,30,NotYet
0.4,-14,30,8.0,6.0,30,NotYet
0.4,-14,40,8.0,6.0,30,NotYet
0.4,-14,50,8.0,6.0,30,NotYet
0.4,-14,60,8.0,6.0,30,NotYet
0.4,-12,0,8.0,6.0,30,NotYet
0.4,-12,10,8.0,6.0,30,NotYet
0.4,-12,20,8.0,6.0,30,NotYet
0.4,-12,30,8.0,6.0,30,NotYet
0.4,-12,40,8.0,6.0,30,NotYet
0.4,-12,50,8.0,6.0,30,NotYet
0.4,-12,60,8.0,6.0,30,NotYet
0.6,-20,0,8.0,6.0,30,NotYet
0.6,-20,10,8.0,6.0,30,NotYet
0.6,-20,20,8.0,6.0,30,NotYet
0.6,-20,30,8.0,6.0,30,NotYet
0.6,-20,40,8.0,6.0,30,NotYet
