theta,A2,phi,a,b,z,status
30.0,-12.0,10.0,8.0,6.0,-4.0,NotYet
30.0,-12.0,10.0,8.0,6.0,-4.0,NotYet
30.0,-12.0,20.0,8.0,6.0,-4.0,NotYet
30.0,-12.0,20.0,8.0,6.0,-4.0,NotYet
30.0,-14.0,0.0,8.0,6.0,-3.8,NotYet
30.0,-14.0,0.0,8.0,6.0,-3.8,NotYet
30.0,-14.0,10.0,8.0,6.0,-3.8,NotYet
30.0,-14.0,10.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,0.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,0.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,10.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,10.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,20.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,20.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,30.0,8.0,6.0,-3.8,NotYet
30.0,-12.0,30.0,8.0,6.0,-3.8,NotYet
30.0,-18.0,50.0,8.0,6.0,-3.6,NotYet
30.0,-18.0,50.0,8.0,6.0,-3.6,NotYet
30.0,-18.0,60.0,8.0,6.0,-3.6,NotYet
30.0,-18.0,60.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,0.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,0.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,40.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,40.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,50.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,50.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,60.0,8.0,6.0,-3.6,NotYet
30.0,-16.0,60.0,8.0,6.0,-3.6,NotYet
30.0,-14.0,0.0,8.0,6.0,-3.6,NotYet
30.0,-14.0,0.0,8.0,6.0,-3.6,NotYet
30.0,-14.0,10.0,8.0,6.0,-3.6,NotYet
