z,A2,a,b,theta,status
-4.0,-20.0,8.0,6.0,30,NotYet
-4.0,-18.0,8.0,6.0,30,NotYet
-4.0,-16.0,8.0,6.0,30,NotYet
-4.0,-14.0,8.0,6.0,30,NotYet
-4.0,-12.0,8.0,6.0,30,NotYet
-4.0,-10.0,8.0,6.0,30,NotYet
-4.0,-8.0,8.0,6.0,30,NotYet
-4.0,-6.0,8.0,6.0,30,NotYet
-4.0,-4.0,8.0,6.0,30,NotYet
-4.0,-2.0,8.0,6.0,30,NotYet
-4.0,0.0,8.0,6.0,30,NotYet
-4.0,2.0,8.0,6.0,30,NotYet
-4.0,4.0,8.0,6.0,30,NotYet
-4.0,6.0,8.0,6.0,30,NotYet
-4.0,8.0,8.0,6.0,30,NotYet
-4.0,10.0,8.0,6.0,30,NotYet
-4.0,12.0,8.0,6.0,30,NotYet
-4.0,14.0,8.0,6.0,30,NotYet
-4.0,16.0,8.0,6.0,30,NotYet
-4.0,18.0,8.0,6.0,30,NotYet
-4.0,20.0,8.0,6.0,30,NotYet
-3.8,-20.0,8.0,6.0,30,NotYet
-3.8,-18.0,8.0,6.0,30,NotYet
-3.8,-16.0,8.0,6.0,30,NotYet
-3.8,-14.0,8.0,6.0,30,NotYet
-3.8,-12.0,8.0,6.0,30,NotYet
-3.8,-10.0,8.0,6.0,30,NotYet
-3.8,-8.0,8.0,6.0,30,NotYet
-3.8,-6.0,8.0,6.0,30,NotYet
-3.8,-4.0,8.0,6.0,30,NotYet
-3.8,-2.0,8.0,6.0,30,NotYet
-3.8,0.0,8.0,6.0,30,NotYet
-3.8,2.0,8.0,6.0,30,NotYet
-3.8,4.0,8.0,6.0,30,NotYet
-3.8,6.0,8.0,6.0,30,NotYet
-3.8,8.0,8.0,6.0,30,NotYet
-3.8,10.0,8.0,6.0,30,NotYet
-3.8,12.0,8.0,6.0,30,NotYet
-3.8,14.0,8.0,6.0,30,NotYet
-3.8,16.0,8.0,6.0,30,NotYet
-3.8,18.0,8.0,6.0,30,NotYet
-3.8,20.0,8.0,6.0,30,NotYet
-3.6,-20.0,8.0,6.0,30,NotYet
-3.6,-18.0,8.0,6.0,30,NotYet
-3.6,-16.0,8.0,6.0,30,NotYet
-3.6,-14.0,8.0,6.0,30,NotYet
-3.6,-12.0,8.0,6.0,30,NotYet
-3.6,-10.0,8.0,6.0,30,NotYet
-3.6,-8.0,8.0,6.0,30,NotYet
-3.6,-6.0,8.0,6.0,30,NotYet
-3.6,-4.0,8.0,6.0,30,NotYet
-3.6,-2.0,8.0,6.0,30,NotYet
-3.6,0.0,8.0,6.0,30,NotYet
-3.6,2.0,8.0,6.0,30,NotYet
-3.6,4.0,8.0,6.0,30,NotYet
-3.6,6.0,8.0,6.0,30,NotYet
-3.6,8.0,8.0,6.0,30,NotYet
-3.6,10.0,8.0,6.0,30,NotYet
-3.6,12.0,8.0,6.0,30,NotYet
-3.6,14.0,8.0,6.0,30,NotYet
-3.6,16.0,8.0,6.0,30,NotYet
-3.6,18.0,8.0,6.0,30,NotYet
-3.6,20.0,8.0,6.0,30,NotYet
-3.4,-20.0,8.0,6.0,30,NotYet
-3.4,-18.0,8.0,6.0,30,NotYet
-3.4,-16.0,8.0,6.0,30,NotYet
-3.4,-14.0,8.0,6.0,30,NotYet
-3.4,-12.0,8.0,6.0,30,NotYet
-3.4,-10.0,8.0,6.0,30,NotYet
-3.4,-8.0,8.0,6.0,30,NotYet
-3.4,-6.0,8.0,6.0,30,NotYet
-3.4,-4.0,8.0,6.0,30,NotYet
-3.4,-2.0,8.0,6.0,30,NotYet
-3.4,0.0,8.0,6.0,30,NotYet
-3.4,2.0,8.0,6.0,30,NotYet
-3.4,4.0,8.0,6.0,30,NotYet
-3.4,6.0,8.0,6.0,30,NotYet
-3.4,8.0,8.0,6.0,30,NotYet
-3.4,10.0,8.0,6.0,30,NotYet
-3.4,12.0,8.0,6.0,30,NotYet
-3.4,14.0,8.0,6.0,30,NotYet
-3.4,16.0,8.0,6.0,30,NotYet
-3.4,18.0,8.0,6.0,30,NotYet
-3.4,20.0,8.0,6.0,30,NotYet
-3.2,-20.0,8.0,6.0,30,NotYet
-3.2,-18.0,8.0,6.0,30,NotYet
-3.2,-16.0,8.0,6.0,30,NotYet
-3.2,-14.0,8.0,6.0,30,NotYet
-3.2,-12.0,8.0,6.0,30,NotYet
-3.2,-10.0,8.0,6.0,30,NotYet
-3.2,-8.0,8.0,6.0,30,NotYet
-3.2,-6.0,8.0,6.0,30,NotYet
-3.2,-4.0,8.0,6.0,30,NotYet
-3.2,-2.0,8.0,6.0,30,NotYet
-3.2,0.0,8.0,6.0,30,NotYet
-3.2,2.0,8.0,6.0,30,NotYet
-3.2,4.0,8.0,6.0,30,NotYet
-3.2,6.0,8.0,6.0,30,NotYet
-3.2,8.0,8.0,6.0,30,NotYet
-3.2,10.0,8.0,6.0,30,NotYet
-3.2,12.0,8.0,6.0,30,NotYet
-3.2,14.0,8.0,6.0,30,NotYet
-3.2,16.0,8.0,6.0,30,NotYet
-3.2,18.0,8.0,6.0,30,NotYet
-3.2,20.0,8.0,6.0,30,NotYet
-3.0,-20.0,8.0,6.0,30,NotYet
-3.0,-18.0,8.0,6.0,30,NotYet
-3.0,-16.0,8.0,6.0,30,NotYet
-3.0,-14.0,8.0,6.0,30,NotYet
-3.0,-12.0,8.0,6.0,30,NotYet
-3.0,-10.0,8.0,6.0,30,NotYet
-3.0,-8.0,8.0,6.0,30,NotYet
-3.0,-6.0,8.0,6.0,30,NotYet
-3.0,-4.0,8.0,6.0,30,NotYet
-3.0,-2.0,8.0,6.0,30,NotYet
-3.0,0.0,8.0,6.0,30,NotYet
-3.0,2.0,8.0,6.0,30,NotYet
-3.0,4.0,8.0,6.0,30,NotYet
-3.0,6.0,8.0,6.0,30,NotYet
-3.0,8.0,8.0,6.0,30,NotYet
-3.0,10.0,8.0,6.0,30,NotYet
-3.0,12.0,8.0,6.0,30,NotYet
-3.0,14.0,8.0,6.0,30,NotYet
-3.0,16.0,8.0,6.0,30,NotYet
-3.0,18.0,8.0,6.0,30,NotYet
-3.0,20.0,8.0,6.0,30,NotYet
-2.8,-20.0,8.0,6.0,30,NotYet
-2.8,-18.0,8.0,6.0,30,NotYet
-2.8,-16.0,8.0,6.0,30,NotYet
-2.8,-14.0,8.0,6.0,30,NotYet
-2.8,-12.0,8.0,6.0,30,NotYet
-2.8,-10.0,8.0,6.0,30,NotYet
-2.8,-8.0,8.0,6.0,30,NotYet
-2.8,-6.0,8.0,6.0,30,NotYet
-2.8,-4.0,8.0,6.0,30,NotYet
-2.8,-2.0,8.0,6.0,30,NotYet
-2.8,0.0,8.0,6.0,30,NotYet
-2.8,2.0,8.0,6.0,30,NotYet
-2.8,4.0,8.0,6.0,30,NotYet
-2.8,6.0,8.0,6.0,30,NotYet
-2.8,8.0,8.0,6.0,30,NotYet
-2.8,10.0,8.0,6.0,30,NotYet
-2.8,12.0,8.0,6.0,30,NotYet
-2.8,14.0,8.0,6.0,30,NotYet
-2.8,16.0,8.0,6.0,30,NotYet
-2.8,18.0,8.0,6.0,30,NotYet
-2.8,20.0,8.0,6.0,30,NotYet
-2.6,-20.0,8.0,6.0,30,NotYet
-2.6,-18.0,8.0,6.0,30,NotYet
-2.6,-16.0,8.0,6.0,30,NotYet
-2.6,-14.0,8.0,6.0,30,NotYet
-2.6,-12.0,8.0,6.0,30,NotYet
-2.6,-10.0,8.0,6.0,30,NotYet
-2.6,-8.0,8.0,6.0,30,NotYet
-2.6,-6.0,8.0,6.0,30,NotYet
-2.6,-4.0,8.0,6.0,30,NotYet
-2.6,-2.0,8.0,6.0,30,NotYet
-2.6,0.0,8.0,6.0,30,NotYet
-2.6,2.0,8.0,6.0,30,NotYet
-2.6,4.0,8.0,6.0,30,NotYet
-2.6,6.0,8.0,6.0,30,NotYet
-2.6,8.0,8.0,6.0,30,NotYet
-2.6,10.0,8.0,6.0,30,NotYet
-2.6,12.0,8.0,6.0,30,NotYet
-2.6,14.0,8.0,6.0,30,NotYet
-2.6,16.0,8.0,6.0,30,NotYet
-2.6,18.0,8.0,6.0,30,NotYet
-2.6,20.0,8.0,6.0,30,NotYet
-2.4,-20.0,8.0,6.0,30,NotYet
-2.4,-18.0,8.0,6.0,30,NotYet
-2.4,-16.0,8.0,6.0,30,NotYet
-2.4,-14.0,8.0,6.0,30,NotYet
-2.4,-12.0,8.0,6.0,30,NotYet
-2.4,-10.0,8.0,6.0,30,NotYet
-2.4,-8.0,8.0,6.0,30,NotYet
-2.4,-6.0,8.0,6.0,30,NotYet
-2.4,-4.0,8.0,6.0,30,NotYet
-2.4,-2.0,8.0,6.0,30,NotYet
-2.4,0.0,8.0,6.0,30,NotYet
-2.4,2.0,8.0,6.0,30,NotYet
-2.4,4.0,8.0,6.0,30,NotYet
-2.4,6.0,8.0,6.0,30,NotYet
-2.4,8.0,8.0,6.0,30,NotYet
-2.4,10.0,8.0,6.0,30,NotYet
-2.4,12.0,8.0,6.0,30,NotYet
-2.4,14.0,8.0,6.0,30,NotYet
-2.4,16.0,8.0,6.0,30,NotYet
-2.4,18.0,8.0,6.0,30,NotYet
-2.4,20.0,8.0,6.0,30,NotYet
-2.2,-20.0,8.0,6.0,30,NotYet
-2.2,-18.0,8.0,6.0,30,NotYet
-2.2,-16.0,8.0,6.0,30,NotYet
-2.2,-14.0,8.0,6.0,30,NotYet
-2.2,-12.0,8.0,6.0,30,NotYet
-2.2,-10.0,8.0,6.0,30,NotYet
-2.2,-8.0,8.0,6.0,30,NotYet
-2.2,-6.0,8.0,6.0,30,NotYet
-2.2,-4.0,8.0,6.0,30,NotYet
-2.2,-2.0,8.0,6.0,30,NotYet
-2.2,0.0,8.0,6.0,30,NotYet
-2.2,2.0,8.0,6.0,30,NotYet
-2.2,4.0,8.0,6.0,30,NotYet
-2.2,6.0,8.0,6.0,30,NotYet
-2.2,8.0,8.0,6.0,30,NotYet
-2.2,10.0,8.0,6.0,30,NotYet
-2.2,12.0,8.0,6.0,30,NotYet
-2.2,14.0,8.0,6.0,30,NotYet
