theta,A2,z,a,b,phi,status
30.0,-10,-1.0,8.0,6.6,45,NotYet
30.0,-10,-0.8,8.0,6.6,45,NotYet
30.0,-10,-0.6,8.0,6.6,45,NotYet
30.0,-10,-0.4,8.0,6.6,45,NotYet
30.0,-10,-0.2,8.0,6.6,45,NotYet
30.0,-10,0.0,8.0,6.6,45,NotYet
30.0,-10,0.2,8.0,6.6,45,NotYet
30.0,-10,0.4,8.0,6.6,45,NotYet
30.0,-10,0.6,8.0,6.6,45,NotYet
30.0,-10,0.8,8.0,6.6,45,NotYet
30.0,-10,1.0,8.0,6.6,45,NotYet
30.0,-8,-1.0,8.0,6.6,45,NotYet
30.0,-8,-0.8,8.0,6.6,45,NotYet
30.0,-8,-0.6,8.0,6.6,45,NotYet
30.0,-8,-0.4,8.0,6.6,45,NotYet
30.0,-8,-0.2,8.0,6.6,45,NotYet
30.0,-8,0.0,8.0,6.6,45,NotYet
30.0,-8,0.2,8.0,6.6,45,NotYet
30.0,-8,0.4,8.0,6.6,45,NotYet
30.0,-8,0.6,8.0,6.6,45,NotYet
30.0,-8,0.8,8.0,6.6,45,NotYet
30.0,-8,1.0,8.0,6.6,45,NotYet
30.0,-6,-1.0,8.0,6.6,45,NotYet
30.0,-6,-0.8,8.0,6.6,45,NotYet
30.0,-6,-0.6,8.0,6.6,45,NotYet
30.0,-6,-0.4,8.0,6.6,45,NotYet
30.0,-6,-0.2,8.0,6.6,45,NotYet
30.0,-6,0.0,8.0,6.6,45,NotYet
30.0,-6,0.2,8.0,6.6,45,NotYet
30.0,-6,0.4,8.0,6.6,45,NotYet
30.0,-6,0.6,8.0,6.6,45,NotYet
30.0,-6,0.8,8.0,6.6,45,NotYet
30.0,-6,1.0,8.0,6.6,45,NotYet
30.0,-4,-1.0,8.0,6.6,45,NotYet
30.0,-4,-0.8,8.0,6.6,45,NotYet
30.0,-4,-0.6,8.0,6.6,45,NotYet
30.0,-4,-0.4,8.0,6.6,45,NotYet
30.0,-4,-0.2,8.0,6.6,45,NotYet
30.0,-4,0.0,8.0,6.6,45,NotYet
30.0,-4,0.2,8.0,6.6,45,NotYet
30.0,-4,0.4,8.0,6.6,45,NotYet
30.0,-4,0.6,8.0,6.6,45,NotYet
30.0,-4,0.8,8.0,6.6,45,NotYet
30.0,-4,1.0,8.0,6.6,45,NotYet
30.0,-2,-1.0,8.0,6.6,45,NotYet
30.0,-2,-0.8,8.0,6.6,45,NotYet
30.0,-2,-0.6,8.0,6.6,45,NotYet
30.0,-2,-0.4,8.0,6.6,45,NotYet
30.0,-2,-0.2,8.0,6.6,45,NotYet
30.0,-2,0.0,8.0,6.6,45,NotYet
30.0,-2,0.2,8.0,6.6,45,NotYet
30.0,-2,0.4,8.0,6.6,45,NotYet
30.0,-2,0.6,8.0,6.6,45,NotYet
30.0,-2,0.8,8.0,6.6,45,NotYet
30.0,-2,1.0,8.0,6.6,45,NotYet
30.0,0,-1.0,8.0,6.6,45,NotYet
30.0,0,-0.8,8.0,6.6,45,NotYet
30.0,0,-0.6,8.0,6.6,45,NotYet
30.0,0,-0.4,8.0,6.6,45,NotYet
30.0,0,-0.2,8.0,6.6,45,NotYet
30.0,0,0.0,8.0,6.6,45,NotYet
30.0,0,0.2,8.0,6.6,45,NotYet
30.0,0,0.4,8.0,6.6,45,NotYet
30.0,0,0.6,8.0,6.6,45,NotYet
30.0,0,0.8,8.0,6.6,45,NotYet
30.0,0,1.0,8.0,6.6,45,NotYet
