theta,A2,phi,a,b,z,status
30.0,2.0,51,8.2,5.9,-1.0,NotYet
30.0,2.0,51,8.3,5.8,-0.8,NotYet
30.0,2.0,50,8.3,5.8,-0.6,NotYet
30.0,2.0,47,8.3,5.7,-0.4,NotYet
30.0,2.0,45,8.3,5.8,-0.2,NotYet
30.0,2.0,45,8.1,6.0,0.0,NotYet
30.0,2.0,45,8.0,6.2,0.2,NotYet
30.0,2.0,46,7.9,6.3,0.4,NotYet
30.0,2.0,44,8.0,6.3,0.6,NotYet
30.0,2.0,45,8.0,6.3,0.8,NotYet
30.0,2.0,47,8.0,6.2,1.0,NotYet
30.0,4.0,53,8.3,5.9,-1.0,NotYet
30.0,4.0,53,8.4,5.8,-0.8,NotYet
30.0,4.0,53,8.4,5.7,-0.6,NotYet
30.0,4.0,48,8.4,5.7,-0.4,NotYet
30.0,4.0,46,8.3,5.9,-0.2,NotYet
30.0,4.0,45,8.2,6.0,0.0,NotYet
30.0,4.0,47,8.1,6.2,0.2,NotYet
30.0,4.0,46,8.0,6.3,0.4,NotYet
30.0,4.0,45,8.0,6.3,0.6,NotYet
30.0,4.0,46,8.1,6.3,0.8,NotYet
30.0,4.0,39,8.1,6.2,1.0,NotYet
30.0,6.0,58,8.5,5.8,-1.0,NotYet
30.0,6.0,58,8.6,5.7,-0.8,NotYet
30.0,6.0,59,8.6,5.7,-0.6,NotYet
30.0,6.0,48,8.5,5.7,-0.4,NotYet
30.0,6.0,47,8.4,5.9,-0.2,NotYet
30.0,6.0,49,8.2,6.2,0.0,NotYet
30.0,6.0,50,8.1,6.3,0.2,NotYet
30.0,6.0,46,8.1,6.3,0.4,NotYet
30.0,6.0,45,8.1,6.4,0.6,NotYet
30.0,6.0,48,8.2,6.3,0.8,NotYet
30.0,6.0,39,8.3,6.2,1.0,NotYet
30.0,8.0,62,8.7,5.7,-1.0,NotYet
30.0,8.0,63,8.7,5.7,-0.8,NotYet
30.0,8.0,64,8.7,5.7,-0.6,NotYet
30.0,8.0,49,8.6,5.8,-0.4,NotYet
30.0,8.0,48,8.5,6.0,-0.2,NotYet
30.0,8.0,50,8.3,6.2,0.0,NotYet
30.0,8.0,66,8.2,6.3,0.2,NotYet
30.0,8.0,46,8.2,6.4,0.4,NotYet
30.0,8.0,47,8.3,6.3,0.6,NotYet
30.0,8.0,50,8.3,6.3,0.8,NotYet
30.0,8.0,40,8.4,6.2,1.0,NotYet
30.0,10.0,67,8.9,5.7,-1.0,NotYet
30.0,10.0,67,8.9,5.6,-0.8,NotYet
30.0,10.0,68,8.9,5.7,-0.6,NotYet
30.0,10.0,51,8.7,5.9,-0.4,NotYet
30.0,10.0,51,8.5,6.1,-0.2,NotYet
30.0,10.0,68,8.4,6.3,0.0,NotYet
30.0,10.0,50,8.3,6.4,0.2,NotYet
30.0,10.0,46,8.3,6.4,0.4,NotYet
30.0,10.0,49,8.4,6.3,0.6,NotYet
30.0,10.0,39,8.5,6.2,0.8,NotYet
30.0,10.0,41,8.6,6.2,1.0,NotYet
