theta,A2,phi,a,b,z,status
30.0,-10.0,205,8.2,6.1,-1.0,NotYet
30.0,-10.0,190,8.3,6.1,-0.8,NotYet
30.0,-10.0,189,8.3,6.1,-0.6,NotYet
30.0,-10.0,189,8.3,6.0,-0.4,NotYet
30.0,-10.0,188,8.4,5.9,-0.2,NotYet
30.0,-10.0,188,8.4,5.8,0.0,NotYet
30.0,-10.0,188,8.4,5.7,0.2,NotYet
30.0,-10.0,188,8.3,5.8,0.4,NotYet
30.0,-10.0,188,8.2,6.0,0.6,NotYet
30.0,-10.0,189,8.1,6.1,0.8,NotYet
30.0,-10.0,205,8.1,6.1,1.0,NotYet
30.0,-8.0,204,8.1,6.1,-1.0,NotYet
30.0,-8.0,204,8.2,6.1,-0.8,NotYet
30.0,-8.0,204,8.2,6.0,-0.6,NotYet
30.0,-8.0,204,8.3,5.9,-0.4,NotYet
30.0,-8.0,204,8.3,5.8,-0.2,NotYet
30.0,-8.0,204,8.3,5.7,0.0,NotYet
30.0,-8.0,204,8.3,5.8,0.2,NotYet
30.0,-8.0,202,8.2,5.9,0.4,NotYet
30.0,-8.0,202,8.0,6.1,0.6,NotYet
30.0,-8.0,202,8.0,6.1,0.8,NotYet
30.0,-8.0,200,8.0,6.2,1.0,NotYet
30.0,-6.0,200,8.1,6.1,-1.0,NotYet
30.0,-6.0,200,8.1,6.1,-0.8,NotYet
30.0,-6.0,200,8.1,6.0,-0.6,NotYet
30.0,-6.0,200,8.2,5.9,-0.4,NotYet
30.0,-6.0,200,8.2,5.8,-0.2,NotYet
30.0,-6.0,200,8.3,5.7,0.0,NotYet
30.0,-6.0,200,8.2,5.8,0.2,NotYet
30.0,-6.0,200,8.0,6.0,0.4,NotYet
30.0,-6.0,200,8.0,6.1,0.6,NotYet
30.0,-6.0,199,7.9,6.2,0.8,NotYet
30.0,-6.0,197,7.9,6.2,1.0,NotYet
30.0,-4.0,197,8.1,6.0,-1.0,NotYet
30.0,-4.0,197,8.1,6.0,-0.8,NotYet
30.0,-4.0,197,8.1,5.9,-0.6,NotYet
30.0,-4.0,197,8.2,5.8,-0.4,NotYet
30.0,-4.0,197,8.2,5.7,-0.2,NotYet
30.0,-4.0,197,8.2,5.8,0.0,NotYet
30.0,-4.0,197,8.1,5.9,0.2,NotYet
30.0,-4.0,197,8.0,6.1,0.4,NotYet
30.0,-4.0,197,7.9,6.2,0.6,NotYet
30.0,-4.0,197,7.9,6.2,0.8,NotYet
30.0,-4.0,194,7.9,6.2,1.0,NotYet
30.0,-2.0,193,8.1,6.0,-1.0,NotYet
30.0,-2.0,193,8.1,6.0,-0.8,NotYet
30.0,-2.0,193,8.1,5.9,-0.6,NotYet
30.0,-2.0,193,8.2,5.8,-0.4,NotYet
30.0,-2.0,193,8.2,5.7,-0.2,NotYet
30.0,-2.0,193,8.2,5.8,0.0,NotYet
30.0,-2.0,193,8.0,6.0,0.2,NotYet
30.0,-2.0,193,7.9,6.2,0.4,NotYet
30.0,-2.0,193,7.9,6.2,0.6,NotYet
30.0,-2.0,193,7.9,6.3,0.8,NotYet
30.0,-2.0,193,7.9,6.2,1.0,NotYet
30.0,0.0,190,8.1,6.0,-1.0,NotYet
30.0,0.0,190,8.2,5.9,-0.8,NotYet
30.0,0.0,190,8.2,5.8,-0.6,NotYet
30.0,0.0,190,8.3,5.7,-0.4,NotYet
30.0,0.0,190,8.2,5.8,-0.2,NotYet
30.0,0.0,190,8.1,5.9,0.0,NotYet
30.0,0.0,190,8.0,6.1,0.2,NotYet
30.0,0.0,190,7.9,6.2,0.4,NotYet
30.0,0.0,190,7.9,6.3,0.6,NotYet
30.0,0.0,190,7.9,6.3,0.8,NotYet
30.0,0.0,190,8.0,6.2,1.0,NotYet
30.0,2.0,186,8.2,5.9,-1.0,NotYet
30.0,2.0,186,8.3,5.8,-0.8,NotYet
30.0,2.0,186,8.3,5.8,-0.6,NotYet
30.0,2.0,186,8.3,5.7,-0.4,NotYet
30.0,2.0,186,8.3,5.8,-0.2,NotYet
30.0,2.0,186,8.1,6.0,0.0,NotYet
30.0,2.0,186,8.0,6.2,0.2,NotYet
30.0,2.0,186,7.9,6.3,0.4,NotYet
30.0,2.0,190,8.0,6.3,0.6,NotYet
30.0,2.0,190,8.0,6.3,0.8,NotYet
30.0,2.0,190,8.0,6.2,1.0,NotYet
