theta,A2,phi,a,b,z,status
30.0,-20.0,191,9.2,6.1,-2.0,Done
30.0,-20.0,192,9.1,6.1,-1.8,Done
30.0,-20.0,193,9.1,6.1,-1.6,Done
30.0,-20.0,194,9.0,6.2,-1.4,Done
30.0,-20.0,194,9.0,6.2,-1.2,Done
30.0,-20.0,195,9.0,6.2,-1.0,Done
30.0,-20.0,218,9.0,6.2,-0.8,Done
30.0,-20.0,218,9.0,6.2,-0.6,Done
30.0,-20.0,189,9.1,6.2,-0.4,Done
30.0,-20.0,188,9.2,6.1,-0.2,Done
30.0,-20.0,188,9.2,6.0,0.0,Done
30.0,-20.0,188,9.3,5.9,0.2,Done
30.0,-20.0,188,9.4,5.7,0.4,Done
30.0,-20.0,188,9.4,5.6,0.6,Done
30.0,-20.0,188,9.3,5.7,0.8,Done
30.0,-20.0,188,9.2,5.8,1.0,Done
30.0,-18.0,190,9.0,6.1,-2.0,Done
30.0,-18.0,191,8.9,6.1,-1.8,Done
30.0,-18.0,191,8.9,6.1,-1.6,Done
30.0,-18.0,192,8.8,6.2,-1.4,Done
30.0,-18.0,192,8.8,6.2,-1.2,Done
30.0,-18.0,193,8.8,6.2,-1.0,Done
30.0,-18.0,218,8.8,6.2,-0.8,Done
30.0,-18.0,188,8.8,6.2,-0.6,Done
30.0,-18.0,187,8.9,6.2,-0.4,Done
30.0,-18.0,198,9.0,6.1,-0.2,Done
30.0,-18.0,194,9.0,6.0,0.0,Done
30.0,-18.0,193,9.1,5.8,0.2,Done
30.0,-18.0,193,9.2,5.7,0.4,Done
30.0,-18.0,193,9.1,5.7,0.6,Done
30.0,-18.0,194,9.0,5.8,0.8,Done
30.0,-18.0,186,8.9,5.9,1.0,Done
30.0,-16.0,188,8.8,6.0,-2.0,Done
30.0,-16.0,189,8.8,6.0,-1.8,Done
30.0,-16.0,190,8.7,6.1,-1.6,Done
30.0,-16.0,190,8.7,6.1,-1.4,Done
30.0,-16.0,190,8.6,6.2,-1.2,Done
30.0,-16.0,215,8.6,6.2,-1.0,Done
30.0,-16.0,215,8.6,6.2,-0.8,Done
30.0,-16.0,215,8.7,6.2,-0.6,Done
30.0,-16.0,196,8.8,6.1,-0.4,Done
30.0,-16.0,192,8.8,6.0,-0.2,Done
30.0,-16.0,192,8.9,5.9,0.0,Done
30.0,-16.0,191,9.0,5.7,0.2,Done
30.0,-16.0,191,8.9,5.7,0.4,Done
30.0,-16.0,191,8.9,5.7,0.6,Done
30.0,-16.0,192,8.8,5.8,0.8,Done
30.0,-16.0,194,8.6,6.0,1.0,Done
30.0,-14.0,187,8.6,6.0,-2.0,Done
30.0,-14.0,188,8.6,6.0,-1.8,Done
30.0,-14.0,188,8.5,6.1,-1.6,Done
30.0,-14.0,216,8.5,6.1,-1.4,Done
30.0,-14.0,213,8.5,6.1,-1.2,Done
30.0,-14.0,212,8.5,6.1,-1.0,Done
30.0,-14.0,212,8.5,6.2,-0.8,Done
30.0,-14.0,195,8.5,6.2,-0.6,Done
30.0,-14.0,194,8.6,6.1,-0.4,NotYet
30.0,-14.0,190,8.6,6.0,-0.2,Done
30.0,-14.0,189,8.7,5.8,0.0,Done
30.0,-14.0,189,8.8,5.7,0.2,Done
30.0,-14.0,189,8.7,5.7,0.4,Done
30.0,-14.0,190,8.6,5.8,0.6,Done
30.0,-14.0,193,8.5,5.9,0.8,Done
30.0,-14.0,193,8.4,6.0,1.0,Done
30.0,-12.0,200,8.5,5.9,-2.0,Done
30.0,-12.0,201,8.5,6.0,-1.8,Done
30.0,-12.0,203,8.4,6.0,-1.6,Done
30.0,-12.0,209,8.4,6.1,-1.4,Done
30.0,-12.0,209,8.4,6.1,-1.2,Done
30.0,-12.0,209,8.4,6.1,-1.0,Done
30.0,-12.0,209,8.4,6.1,-0.8,Done
30.0,-12.0,192,8.4,6.1,-0.6,Done
30.0,-12.0,191,8.4,6.1,-0.4,Done
30.0,-12.0,191,8.5,5.9,-0.2,Done
30.0,-12.0,191,8.6,5.8,0.0,Done
30.0,-12.0,191,8.6,5.7,0.2,Done
30.0,-12.0,191,8.5,5.8,0.4,Done
30.0,-12.0,191,8.4,5.9,0.6,Done
30.0,-12.0,191,8.3,6.0,0.8,Done
30.0,-12.0,192,8.2,6.1,1.0,Done
