theta,A2,z,a,b,phi,status
30.0,-10.0,-2.0,8.4,5.9,190,NotYet
30.0,-10.0,-1.8,8.3,6.0,190,NotYet
30.0,-10.0,-1.6,8.3,6.0,190,NotYet
30.0,-10.0,-1.4,8.3,6.0,190,NotYet
30.0,-10.0,-1.2,8.2,6.1,190,NotYet
30.0,-8.0,-2.0,8.3,5.9,190,NotYet
30.0,-8.0,-1.8,8.3,5.9,190,NotYet
30.0,-8.0,-1.6,8.2,6.0,190,NotYet
30.0,-8.0,-1.4,8.2,6.0,190,NotYet
30.0,-8.0,-1.2,8.2,6.0,190,NotYet
30.0,-6.0,-2.0,8.2,5.9,190,NotYet
30.0,-6.0,-1.8,8.2,5.9,190,NotYet
30.0,-6.0,-1.6,8.1,6.0,190,NotYet
30.0,-6.0,-1.4,8.1,6.0,190,NotYet
30.0,-6.0,-1.2,8.1,6.0,190,NotYet
30.0,-4.0,-2.0,8.2,5.8,190,NotYet
30.0,-4.0,-1.8,8.1,5.9,190,NotYet
30.0,-4.0,-1.6,8.1,5.9,190,NotYet
30.0,-4.0,-1.4,8.1,6.0,190,NotYet
30.0,-4.0,-1.2,8.1,6.0,190,NotYet
30.0,-2.0,-2.0,8.2,5.8,190,NotYet
30.0,-2.0,-1.8,8.2,5.8,190,NotYet
30.0,-2.0,-1.6,8.1,5.9,190,NotYet
30.0,-2.0,-1.4,8.1,6.0,190,NotYet
30.0,-2.0,-1.2,8.1,6.0,190,NotYet
30.0,0.0,-2.0,8.3,5.7,190,NotYet
30.0,0.0,-1.8,8.2,5.8,190,NotYet
30.0,0.0,-1.6,8.2,5.9,190,NotYet
30.0,0.0,-1.4,8.2,5.9,190,NotYet
30.0,0.0,-1.2,8.1,6.0,190,NotYet
30.0,2.0,-2.0,8.3,5.7,190,NotYet
30.0,2.0,-1.8,8.3,5.8,190,NotYet
30.0,2.0,-1.6,8.3,5.8,190,NotYet
30.0,2.0,-1.4,8.2,5.9,190,NotYet
30.0,2.0,-1.2,8.2,6.0,190,NotYet
30.0,4.0,-2.0,8.4,5.7,190,NotYet
30.0,4.0,-1.8,8.4,5.7,190,NotYet
30.0,4.0,-1.6,8.4,5.8,190,NotYet
30.0,4.0,-1.4,8.3,5.9,190,NotYet
30.0,4.0,-1.2,8.3,5.9,190,NotYet
30.0,6.0,-2.0,8.5,5.6,190,NotYet
30.0,6.0,-1.8,8.5,5.7,190,NotYet
30.0,6.0,-1.6,8.5,5.8,190,NotYet
30.0,6.0,-1.4,8.5,5.8,190,NotYet
30.0,6.0,-1.2,8.5,5.8,190,NotYet
30.0,8.0,-2.0,8.6,5.6,190,NotYet
30.0,8.0,-1.8,8.6,5.7,190,NotYet
30.0,8.0,-1.6,8.6,5.8,190,NotYet
30.0,8.0,-1.4,8.7,5.8,190,NotYet
30.0,8.0,-1.2,8.7,5.8,190,NotYet
30.0,10.0,-2.0,8.9,5.5,190,NotYet
30.0,10.0,-1.8,8.8,5.7,190,NotYet
30.0,10.0,-1.6,8.9,5.7,190,NotYet
30.0,10.0,-1.4,8.8,5.8,190,NotYet
30.0,10.0,-1.2,8.9,5.7,190,NotYet
