theta,A2,z,a,b,phi,status
30.0,-20.0,-2.0,9.2,6.1,190,NotYet
30.0,-20.0,-1.8,9.1,6.1,190,NotYet
30.0,-20.0,-1.6,9.1,6.1,190,NotYet
30.0,-20.0,-1.4,9.0,6.2,190,NotYet
30.0,-20.0,-1.2,9.0,6.2,190,NotYet
30.0,-20.0,-1.0,9.0,6.2,190,NotYet
30.0,-20.0,-0.8,9.0,6.2,190,NotYet
30.0,-20.0,-0.6,9.0,6.2,190,NotYet
30.0,-20.0,-0.4,9.1,6.2,190,NotYet
30.0,-20.0,-0.2,9.2,6.1,190,NotYet
30.0,-20.0,0.0,9.2,6.0,190,NotYet
30.0,-20.0,0.2,9.3,5.9,190,NotYet
30.0,-20.0,0.4,9.4,5.7,190,NotYet
30.0,-20.0,0.6,9.4,5.6,190,NotYet
30.0,-20.0,0.8,9.3,5.7,190,NotYet
30.0,-20.0,1.0,9.2,5.8,190,NotYet
30.0,-18.0,-2.0,9.0,6.1,190,NotYet
30.0,-18.0,-1.8,8.9,6.1,190,NotYet
30.0,-18.0,-1.6,8.9,6.1,190,NotYet
30.0,-18.0,-1.4,8.8,6.2,190,NotYet
30.0,-18.0,-1.2,8.8,6.2,190,NotYet
30.0,-18.0,-1.0,8.8,6.2,190,NotYet
30.0,-18.0,-0.8,8.8,6.2,190,NotYet
30.0,-18.0,-0.6,8.8,6.2,190,NotYet
30.0,-18.0,-0.4,8.9,6.2,190,NotYet
30.0,-18.0,-0.2,9.0,6.1,190,NotYet
30.0,-18.0,0.0,9.0,6.0,190,NotYet
30.0,-18.0,0.2,9.1,5.8,190,NotYet
30.0,-18.0,0.4,9.2,5.7,190,NotYet
30.0,-18.0,0.6,9.1,5.7,190,NotYet
30.0,-18.0,0.8,9.0,5.8,190,NotYet
30.0,-18.0,1.0,8.9,5.9,190,NotYet
30.0,-16.0,-2.0,8.8,6.0,190,NotYet
30.0,-16.0,-1.8,8.8,6.0,190,NotYet
30.0,-16.0,-1.6,8.7,6.1,190,NotYet
30.0,-16.0,-1.4,8.7,6.1,190,NotYet
30.0,-16.0,-1.2,8.6,6.2,190,NotYet
30.0,-16.0,-1.0,8.6,6.2,190,NotYet
30.0,-16.0,-0.8,8.6,6.2,190,NotYet
30.0,-16.0,-0.6,8.7,6.2,190,NotYet
30.0,-16.0,-0.4,8.8,6.1,190,NotYet
30.0,-16.0,-0.2,8.8,6.0,190,NotYet
30.0,-16.0,0.0,8.9,5.9,190,NotYet
30.0,-16.0,0.2,9.0,5.7,190,NotYet
30.0,-16.0,0.4,8.9,5.7,190,NotYet
30.0,-16.0,0.6,8.9,5.7,190,NotYet
30.0,-16.0,0.8,8.8,5.8,190,NotYet
30.0,-16.0,1.0,8.6,6.0,190,NotYet
30.0,-14.0,-2.0,8.6,6.0,190,NotYet
30.0,-14.0,-1.8,8.6,6.0,190,NotYet
30.0,-14.0,-1.6,8.5,6.1,190,NotYet
30.0,-14.0,-1.4,8.5,6.1,190,NotYet
30.0,-14.0,-1.2,8.5,6.1,190,NotYet
30.0,-14.0,-1.0,8.5,6.1,190,NotYet
30.0,-14.0,-0.8,8.5,6.2,190,NotYet
30.0,-14.0,-0.6,8.5,6.2,190,NotYet
30.0,-14.0,-0.4,8.6,6.1,190,NotYet
30.0,-14.0,-0.2,8.6,6.0,190,NotYet
30.0,-14.0,0.0,8.7,5.8,190,NotYet
30.0,-14.0,0.2,8.8,5.7,190,NotYet
30.0,-14.0,0.4,8.7,5.7,190,NotYet
30.0,-14.0,0.6,8.6,5.8,190,NotYet
30.0,-14.0,0.8,8.5,5.9,190,NotYet
30.0,-14.0,1.0,8.4,6.0,190,NotYet
30.0,-12.0,-2.0,8.5,5.9,190,NotYet
30.0,-12.0,-1.8,8.5,6.0,190,NotYet
30.0,-12.0,-1.6,8.4,6.0,190,NotYet
30.0,-12.0,-1.4,8.4,6.1,190,NotYet
30.0,-12.0,-1.2,8.4,6.1,190,NotYet
30.0,-12.0,-1.0,8.4,6.1,190,NotYet
30.0,-12.0,-0.8,8.4,6.1,190,NotYet
30.0,-12.0,-0.6,8.4,6.1,190,NotYet
30.0,-12.0,-0.4,8.4,6.1,190,NotYet
30.0,-12.0,-0.2,8.5,5.9,190,NotYet
30.0,-12.0,0.0,8.6,5.8,190,NotYet
30.0,-12.0,0.2,8.6,5.7,190,NotYet
30.0,-12.0,0.4,8.5,5.8,190,NotYet
30.0,-12.0,0.6,8.4,5.9,190,NotYet
30.0,-12.0,0.8,8.3,6.0,190,NotYet
30.0,-12.0,1.0,8.2,6.1,190,NotYet
