a,b,theta,E,E_t1,machine_type,status,file_name
7.1,7.1,45,-2.630093330692034,-2.630093330692034,3,Done,benzene_theta=45_a=7.1_b=7.1.log
7.3,6.7,35,-2.568209549470339,-2.568209549470339,3,Done,benzene_theta=35_a=7.3_b=6.7.log
7.2,6.5,30,-2.494578153622569,-2.494578153622569,3,Done,benzene_theta=30_a=7.2_b=6.5.log
7.1,6.2,25,-2.376015786692733,-2.376015786692733,3,Done,benzene_theta=25_a=7.1_b=6.2.log
7.0,5.8,20,-2.2200130356359296,-2.2200130356359296,3,Done,benzene_theta=20_a=7.0_b=5.8.log
7.0,5.3,15,-2.1388452446553856,-2.1388452446553856,3,Done,benzene_theta=15_a=7.0_b=5.3.log
7.0,7.0,45,-2.6091068862297107,-2.6091068862297107,3,Done,benzene_theta=45_a=7.0_b=7.0.log
7.0,7.1,45,-2.627691222383873,-2.627691222383873,3,Done,benzene_theta=45_a=7.0_b=7.1.log
7.0,7.2,45,-2.6293742042034864,-2.6293742042034864,3,Done,benzene_theta=45_a=7.0_b=7.2.log
7.1,7.0,45,-2.627691222383873,-2.627691222383873,3,Done,benzene_theta=45_a=7.1_b=7.0.log
7.1,7.2,45,-2.6182710422726814,-2.6182710422726814,3,Done,benzene_theta=45_a=7.1_b=7.2.log
7.2,7.0,45,-2.6293742042034864,-2.6293742042034864,3,Done,benzene_theta=45_a=7.2_b=7.0.log
7.2,7.1,45,-2.6182710422726814,-2.6182710422726814,3,Done,benzene_theta=45_a=7.2_b=7.1.log
7.2,7.2,45,-2.595326766633661,-2.595326766633661,3,Done,benzene_theta=45_a=7.2_b=7.2.log
7.2,6.6,35,-2.54947147340863,-2.54947147340863,3,Done,benzene_theta=35_a=7.2_b=6.6.log
7.2,6.7,35,-2.5661067634646315,-2.5661067634646315,3,Done,benzene_theta=35_a=7.2_b=6.7.log
7.2,6.8,35,-2.5716024960565846,-2.5716024960565846,3,Done,benzene_theta=35_a=7.2_b=6.8.log
7.3,6.6,35,-2.5662485807260964,-2.5662485807260964,3,Done,benzene_theta=35_a=7.3_b=6.6.log
7.3,6.8,35,-2.561032717610942,-2.561032717610942,3,Done,benzene_theta=35_a=7.3_b=6.8.log
7.4,6.6,35,-2.561369062983431,-2.561369062983431,3,Done,benzene_theta=35_a=7.4_b=6.6.log
7.4,6.7,35,-2.5516018697817344,-2.5516018697817344,3,Done,benzene_theta=35_a=7.4_b=6.7.log
7.4,6.8,35,-2.5343999382166658,-2.5343999382166658,3,Done,benzene_theta=35_a=7.4_b=6.8.log
7.1,6.4,30,-2.4421095324505586,-2.4421095324505586,3,Done,benzene_theta=30_a=7.1_b=6.4.log
7.1,6.5,30,-2.4703587776457425,-2.4703587776457425,3,Done,benzene_theta=30_a=7.1_b=6.5.log
