X,Y,Z,R
0.0,-0.712651264,1.2343407272,1.7
0.0,0.7126517649,1.2343417331,1.7
0.0,-1.4252981643,-1.14521e-05,1.7
0.0,1.4252964164,1.5828e-05,1.7
0.0,-0.712651264,-1.2343423553,1.7
0.0,0.7126467772,-1.2343423553,1.7
0.0,-1.4221298086,2.4632075419,1.7
0.0,-0.6846913378,3.6794498007,1.7
0.0,1.4221469866,2.4632236342,1.7
0.0,0.6847212118,3.6794578743,1.7
0.0,-2.8441401074,2.4326806579,1.7
0.0,-2.8442866287,-1.95624e-05,1.7
0.0,-3.5288474113,1.2467230149,1.7
0.0,-3.528860984,-1.2467893861,1.7
0.0,-1.422141876,-2.4632271619,1.7
0.0,-2.8441549785,-2.4327272365,1.7
0.0,-0.6847243654,-3.6794502235,1.7
0.0,1.4221335107,-2.4632117855,1.7
0.0,0.6846949161,-3.6794423947,1.7
0.0,2.8442863658,2.39109e-05,1.7
0.0,3.5288522943,-1.2467256577,1.7
0.0,2.8441411647,-2.4326750719,1.7
0.0,2.8441480741,2.4327249951,1.7
0.0,3.528855974,1.2467794896,1.7
0.0,-4.6138170332,-1.2439989874,1.2
0.0,-3.3842159155,-3.3737249212,1.2
0.0,-1.2296176571,-4.6176597621,1.2
0.0,1.2295852137,-4.6176417466,1.2
0.0,3.3841974558,-3.373666687,1.2
0.0,4.6138085264,-1.2439322178,1.2
0.0,4.6138246378,1.2440039257,1.2
0.0,3.3842109451,3.373723174,1.2
0.0,1.2296278573,4.6176597065,1.2
0.0,-1.229588686,4.6176475379,1.2
0.0,-3.3842091683,3.3736652553,1.2
0.0,-4.6138034427,1.2439201575,1.2
