theta,A2,phi,a,b,z,status
60.0,-20.0,20.0,6.2,9.9,-4.0,NotYet
60.0,-20.0,20.0,6.2,9.8,-3.8,NotYet
60.0,-20.0,30.0,6.1,9.9,-3.6,NotYet
60.0,-20.0,30.0,6.1,9.8,-3.4,NotYet
60.0,-20.0,30.0,6.1,9.8,-3.2,NotYet
60.0,-20.0,30.0,6.1,9.9,-3.0,NotYet
60.0,-20.0,40.0,6.1,10.0,-2.8,NotYet
60.0,-20.0,60.0,6.6,9.6,-2.6,NotYet
60.0,-18.0,30.0,6.1,9.7,-4.0,NotYet
60.0,-18.0,30.0,6.1,9.6,-3.8,NotYet
60.0,-18.0,30.0,6.1,9.6,-3.6,NotYet
60.0,-18.0,30.0,6.1,9.5,-3.4,NotYet
60.0,-18.0,30.0,6.1,9.5,-3.2,NotYet
60.0,-18.0,40.0,6.1,9.6,-3.0,NotYet
60.0,-18.0,40.0,6.1,9.8,-2.8,NotYet
60.0,-18.0,60.0,6.6,9.3,-2.6,NotYet
60.0,-18.0,60.0,6.6,9.4,-2.4,NotYet
60.0,-18.0,60.0,6.5,9.6,-2.2,NotYet
60.0,-18.0,60.0,6.5,9.8,-2.0,NotYet
60.0,-16.0,30.0,6.1,9.5,-4.0,NotYet
60.0,-16.0,30.0,6.1,9.4,-3.8,NotYet
60.0,-16.0,30.0,6.1,9.3,-3.6,NotYet
60.0,-16.0,30.0,6.1,9.2,-3.4,NotYet
60.0,-16.0,30.0,6.1,9.2,-3.2,NotYet
60.0,-16.0,40.0,6.1,9.3,-3.0,NotYet
60.0,-16.0,40.0,6.1,9.5,-2.8,NotYet
60.0,-16.0,50.0,6.4,9.4,-2.6,NotYet
60.0,-16.0,50.0,6.4,9.6,-2.4,NotYet
60.0,-16.0,60.0,6.5,9.6,-2.2,NotYet
60.0,-14.0,30.0,6.1,9.3,-4.0,NotYet
60.0,-14.0,30.0,6.1,9.2,-3.8,NotYet
60.0,-14.0,30.0,6.1,9.0,-3.6,NotYet
60.0,-14.0,30.0,6.1,8.9,-3.4,NotYet
60.0,-14.0,30.0,6.1,8.9,-3.2,NotYet
60.0,-14.0,30.0,6.1,9.0,-3.0,NotYet
60.0,-14.0,40.0,6.1,9.2,-2.8,NotYet
60.0,-14.0,40.0,6.1,9.5,-2.6,NotYet
60.0,-14.0,40.0,6.1,9.7,-2.4,NotYet
60.0,-12.0,30.0,6.1,9.2,-4.0,NotYet
60.0,-12.0,30.0,6.1,9.0,-3.8,NotYet
60.0,-12.0,30.0,6.1,8.8,-3.6,NotYet
60.0,-12.0,30.0,6.1,8.7,-3.4,NotYet
60.0,-12.0,30.0,6.1,8.6,-3.2,NotYet
60.0,-12.0,30.0,6.1,8.7,-3.0,NotYet
60.0,-12.0,30.0,6.1,8.9,-2.8,NotYet
60.0,-12.0,30.0,6.1,9.1,-2.6,NotYet
60.0,-12.0,40.0,6.1,9.4,-2.4,NotYet
60.0,-12.0,10.0,10.1,5.9,-2.2,NotYet
60.0,-12.0,10.0,10.5,5.6,-2.0,NotYet
60.0,-10.0,30.0,6.1,9.2,-4.0,NotYet
60.0,-10.0,30.0,6.1,8.9,-3.8,NotYet
60.0,-10.0,30.0,6.1,8.7,-3.6,NotYet
60.0,-10.0,30.0,6.1,8.5,-3.4,NotYet
60.0,-10.0,30.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,6.1,8.4,-3.0,NotYet
60.0,-10.0,30.0,6.1,8.6,-2.8,NotYet
60.0,-10.0,30.0,6.1,8.7,-2.6,NotYet
60.0,-10.0,30.0,6.1,9.0,-2.4,NotYet
60.0,-10.0,30.0,6.1,9.3,-2.2,NotYet
60.0,-10.0,30.0,6.1,9.6,-2.0,NotYet
60.0,-10.0,30.0,6.1,10.0,-1.8,NotYet
60.0,-8.0,40.0,6.0,9.2,-4.0,NotYet
60.0,-8.0,40.0,6.0,9.0,-3.8,NotYet
60.0,-8.0,30.0,6.1,8.6,-3.6,NotYet
60.0,-8.0,30.0,6.1,8.5,-3.4,NotYet
60.0,-8.0,40.0,6.0,8.5,-3.2,NotYet
60.0,-8.0,40.0,6.0,8.6,-3.0,NotYet
60.0,-8.0,40.0,6.1,8.6,-2.8,NotYet
60.0,-8.0,40.0,6.1,8.7,-2.6,NotYet
60.0,-8.0,40.0,6.1,8.9,-2.4,NotYet
60.0,-8.0,40.0,6.1,9.1,-2.2,NotYet
60.0,-8.0,30.0,6.1,9.3,-2.0,NotYet
60.0,-8.0,30.0,6.1,9.6,-1.8,NotYet
60.0,-8.0,30.0,6.1,9.9,-1.6,NotYet
60.0,-8.0,30.0,6.1,10.2,-1.4,NotYet
60.0,-6.0,40.0,6.0,9.0,-4.0,NotYet
60.0,-6.0,40.0,6.0,8.8,-3.8,NotYet
60.0,-6.0,40.0,6.0,8.6,-3.6,NotYet
60.0,-6.0,40.0,6.0,8.6,-3.4,NotYet
60.0,-6.0,40.0,6.1,8.5,-3.2,NotYet
60.0,-6.0,40.0,6.1,8.5,-3.0,NotYet
60.0,-6.0,40.0,6.1,8.6,-2.8,NotYet
60.0,-6.0,40.0,6.1,8.7,-2.6,NotYet
60.0,-6.0,40.0,6.1,8.8,-2.4,NotYet
60.0,-6.0,40.0,6.1,8.9,-2.2,NotYet
60.0,-6.0,40.0,6.1,9.1,-2.0,NotYet
60.0,-6.0,40.0,6.1,9.4,-1.8,NotYet
60.0,-6.0,40.0,6.1,9.6,-1.6,NotYet
60.0,-6.0,40.0,6.1,10.0,-1.4,NotYet
60.0,-4.0,40.0,6.1,8.9,-4.0,NotYet
