theta,A2,phi,a,b,z,status
50.0,-14.0,30.0,6.2,9.4,-3.4,NotYet
50.0,-12.0,30.0,6.2,9.2,-3.4,NotYet
50.0,-10.0,30.0,6.3,8.9,-3.4,NotYet
50.0,-8.0,30.0,6.2,9.2,-3.4,NotYet
50.0,-6.0,30.0,6.1,9.6,-3.4,NotYet
50.0,-14.0,30.0,6.2,9.4,-3.2,NotYet
50.0,-12.0,30.0,6.2,9.1,-3.2,NotYet
50.0,-10.0,30.0,6.2,8.9,-3.2,NotYet
50.0,-8.0,30.0,6.2,9.2,-3.2,NotYet
50.0,-6.0,30.0,6.1,9.8,-3.2,NotYet
50.0,-14.0,30.0,6.2,9.4,-3.0,NotYet
50.0,-12.0,30.0,6.2,9.1,-3.0,NotYet
50.0,-10.0,30.0,6.3,8.8,-3.0,NotYet
50.0,-8.0,30.0,7.4,7.8,-3.0,NotYet
50.0,-6.0,30.0,6.1,9.9,-3.0,NotYet
50.0,-14.0,30.0,6.2,9.6,-2.8,NotYet
50.0,-12.0,30.0,6.2,9.1,-2.8,NotYet
50.0,-10.0,30.0,6.4,8.8,-2.8,NotYet
50.0,-8.0,30.0,7.5,7.7,-2.8,NotYet
50.0,-6.0,30.0,6.1,10.1,-2.8,NotYet
52.0,-14.0,30.0,6.2,9.3,-3.4,NotYet
52.0,-12.0,30.0,6.2,9.1,-3.4,NotYet
52.0,-10.0,30.0,6.2,8.9,-3.4,NotYet
52.0,-8.0,30.0,6.2,9.0,-3.4,NotYet
52.0,-6.0,30.0,6.1,9.5,-3.4,NotYet
52.0,-14.0,30.0,6.1,9.3,-3.2,NotYet
52.0,-12.0,30.0,6.2,9.0,-3.2,NotYet
52.0,-10.0,30.0,6.2,8.8,-3.2,NotYet
52.0,-8.0,30.0,6.2,9.0,-3.2,NotYet
52.0,-6.0,30.0,6.1,9.6,-3.2,NotYet
52.0,-14.0,30.0,6.1,9.4,-3.0,NotYet
52.0,-12.0,30.0,6.1,9.0,-3.0,NotYet
52.0,-10.0,30.0,6.2,8.8,-3.0,NotYet
52.0,-8.0,30.0,7.1,8.0,-3.0,NotYet
52.0,-6.0,30.0,6.1,9.8,-3.0,NotYet
52.0,-14.0,30.0,6.1,9.6,-2.8,NotYet
52.0,-12.0,30.0,6.2,9.1,-2.8,NotYet
52.0,-10.0,30.0,6.2,8.9,-2.8,NotYet
52.0,-8.0,30.0,6.2,9.3,-2.8,NotYet
52.0,-6.0,30.0,6.1,9.9,-2.8,NotYet
54.0,-14.0,30.0,6.1,9.2,-3.4,NotYet
54.0,-12.0,30.0,6.1,9.0,-3.4,NotYet
54.0,-10.0,30.0,6.1,8.9,-3.4,NotYet
54.0,-8.0,30.0,6.1,8.9,-3.4,NotYet
54.0,-6.0,30.0,6.1,9.3,-3.4,NotYet
54.0,-14.0,30.0,6.1,9.2,-3.2,NotYet
54.0,-12.0,30.0,6.1,8.9,-3.2,NotYet
54.0,-10.0,30.0,6.1,8.7,-3.2,NotYet
54.0,-8.0,30.0,6.2,8.8,-3.2,NotYet
54.0,-6.0,30.0,6.1,9.5,-3.2,NotYet
54.0,-14.0,30.0,6.1,9.3,-3.0,NotYet
54.0,-12.0,30.0,6.1,8.9,-3.0,NotYet
54.0,-10.0,30.0,6.1,8.8,-3.0,NotYet
54.0,-8.0,30.0,6.2,9.0,-3.0,NotYet
54.0,-6.0,30.0,6.1,9.6,-3.0,NotYet
54.0,-14.0,30.0,6.1,9.5,-2.8,NotYet
54.0,-12.0,30.0,6.1,9.1,-2.8,NotYet
54.0,-10.0,30.0,6.2,8.8,-2.8,NotYet
54.0,-8.0,30.0,6.2,9.1,-2.8,NotYet
54.0,-6.0,30.0,6.1,9.8,-2.8,NotYet
56.0,-14.0,30.0,6.1,9.1,-3.4,NotYet
56.0,-12.0,30.0,6.1,8.9,-3.4,NotYet
56.0,-10.0,30.0,6.1,8.7,-3.4,NotYet
56.0,-8.0,30.0,6.1,8.8,-3.4,NotYet
56.0,-6.0,30.0,6.1,9.1,-3.4,NotYet
56.0,-14.0,30.0,6.1,9.1,-3.2,NotYet
56.0,-12.0,30.0,6.1,8.8,-3.2,NotYet
56.0,-10.0,30.0,6.1,8.6,-3.2,NotYet
56.0,-8.0,30.0,6.2,8.6,-3.2,NotYet
56.0,-6.0,30.0,6.1,9.3,-3.2,NotYet
56.0,-14.0,30.0,6.1,9.2,-3.0,NotYet
56.0,-12.0,30.0,6.1,8.8,-3.0,NotYet
56.0,-10.0,30.0,6.1,8.6,-3.0,NotYet
56.0,-8.0,30.0,6.2,8.8,-3.0,NotYet
56.0,-6.0,30.0,6.1,9.5,-3.0,NotYet
56.0,-14.0,30.0,6.1,9.5,-2.8,NotYet
56.0,-12.0,30.0,6.1,9.0,-2.8,NotYet
56.0,-10.0,30.0,6.1,8.7,-2.8,NotYet
56.0,-8.0,30.0,6.2,8.9,-2.8,NotYet
56.0,-6.0,30.0,6.1,9.6,-2.8,NotYet
58.0,-14.0,30.0,6.1,9.0,-3.4,NotYet
58.0,-12.0,30.0,6.1,8.8,-3.4,NotYet
58.0,-10.0,30.0,6.1,8.6,-3.4,NotYet
58.0,-8.0,30.0,6.1,8.6,-3.4,NotYet
58.0,-6.0,30.0,6.1,9.0,-3.4,NotYet
58.0,-14.0,30.0,6.1,9.0,-3.2,NotYet
58.0,-12.0,30.0,6.1,8.7,-3.2,NotYet
58.0,-10.0,30.0,6.1,8.5,-3.2,NotYet
58.0,-8.0,30.0,6.1,8.6,-3.2,NotYet
58.0,-6.0,30.0,6.1,9.1,-3.2,NotYet
58.0,-14.0,30.0,6.1,9.1,-3.0,NotYet
58.0,-12.0,30.0,6.1,8.7,-3.0,NotYet
58.0,-10.0,30.0,6.1,8.5,-3.0,NotYet
58.0,-8.0,30.0,6.2,8.6,-3.0,NotYet
58.0,-6.0,30.0,6.1,9.3,-3.0,NotYet
58.0,-14.0,30.0,6.1,9.4,-2.8,NotYet
58.0,-12.0,30.0,6.1,8.9,-2.8,NotYet
58.0,-10.0,30.0,6.1,8.6,-2.8,NotYet
58.0,-8.0,30.0,6.2,8.7,-2.8,NotYet
58.0,-6.0,30.0,6.1,9.4,-2.8,NotYet
62.0,-14.0,30.0,6.1,8.9,-3.4,NotYet
62.0,-12.0,30.0,6.1,8.6,-3.4,NotYet
62.0,-10.0,30.0,6.1,8.4,-3.4,NotYet
62.0,-8.0,30.0,6.1,8.3,-3.4,NotYet
62.0,-6.0,30.0,6.2,8.5,-3.4,NotYet
