x,y,z,status
0.0,7.5,1.6,NotYet
0.0,7.5,1.7,NotYet
0.0,7.5,1.8,NotYet
0.0,7.5,1.9,NotYet
0.0,7.5,2.0,NotYet
0.0,7.5,2.1,NotYet
0.0,7.5,2.2,NotYet
0.0,7.5,2.3,NotYet
0.0,7.5,2.4,NotYet
0.0,7.5,2.5,NotYet
0.1,7.5,1.6,NotYet
0.1,7.5,1.7,NotYet
0.1,7.5,1.8,NotYet
0.1,7.5,1.9,NotYet
0.1,7.5,2.0,NotYet
0.1,7.5,2.1,NotYet
0.1,7.5,2.2,NotYet
0.1,7.5,2.3,NotYet
0.1,7.5,2.4,NotYet
0.1,7.5,2.5,NotYet
0.2,7.5,1.6,NotYet
0.2,7.5,1.7,NotYet
0.2,7.5,1.8,NotYet
0.2,7.5,1.9,NotYet
0.2,7.5,2.0,NotYet
0.2,7.5,2.1,NotYet
0.2,7.5,2.2,NotYet
0.2,7.5,2.3,NotYet
0.2,7.5,2.4,NotYet
0.2,7.5,2.5,NotYet
0.3,7.5,1.6,NotYet
0.3,7.5,1.7,NotYet
0.3,7.5,1.8,NotYet
0.3,7.5,1.9,NotYet
0.3,7.5,2.0,NotYet
0.3,7.5,2.1,NotYet
0.3,7.5,2.2,NotYet
0.3,7.5,2.3,NotYet
0.3,7.5,2.4,NotYet
0.3,7.5,2.5,NotYet
0.4,7.5,1.6,NotYet
0.4,7.5,1.7,NotYet
0.4,7.5,1.8,NotYet
0.4,7.5,1.9,NotYet
0.4,7.5,2.0,NotYet
0.4,7.5,2.1,NotYet
0.4,7.5,2.2,NotYet
0.4,7.5,2.3,NotYet
0.4,7.5,2.4,NotYet
0.4,7.5,2.5,NotYet
0.5,7.5,1.6,NotYet
0.5,7.5,1.7,NotYet
0.5,7.5,1.8,NotYet
0.5,7.5,1.9,NotYet
0.5,7.5,2.0,NotYet
0.5,7.5,2.1,NotYet
0.5,7.5,2.2,NotYet
0.5,7.5,2.3,NotYet
0.5,7.5,2.4,NotYet
0.5,7.5,2.5,NotYet
0.6,7.5,1.6,NotYet
0.6,7.5,1.7,NotYet
0.6,7.5,1.8,NotYet
0.6,7.5,1.9,NotYet
0.6,7.5,2.0,NotYet
0.6,7.5,2.1,NotYet
0.6,7.5,2.2,NotYet
0.6,7.5,2.3,NotYet
0.6,7.5,2.4,NotYet
0.6,7.5,2.5,NotYet
0.7,7.5,1.6,NotYet
0.7,7.5,1.7,NotYet
0.7,7.5,1.8,NotYet
0.7,7.5,1.9,NotYet
0.7,7.5,2.0,NotYet
0.7,7.5,2.1,NotYet
0.7,7.5,2.2,NotYet
0.7,7.5,2.3,NotYet
0.7,7.5,2.4,NotYet
0.7,7.5,2.5,NotYet
0.8,7.5,1.6,NotYet
0.8,7.5,1.7,NotYet
0.8,7.5,1.8,NotYet
0.8,7.5,1.9,NotYet
0.8,7.5,2.0,NotYet
0.8,7.5,2.1,NotYet
0.8,7.5,2.2,NotYet
0.8,7.5,2.3,NotYet
0.8,7.5,2.4,NotYet
0.8,7.5,2.5,NotYet
0.9,7.5,1.6,NotYet
0.9,7.5,1.7,NotYet
0.9,7.5,1.8,NotYet
0.9,7.5,1.9,NotYet
0.9,7.5,2.0,NotYet
0.9,7.5,2.1,NotYet
0.9,7.5,2.2,NotYet
0.9,7.5,2.3,NotYet
0.9,7.5,2.4,NotYet
0.9,7.5,2.5,NotYet
