a,b,theta,Rt,A2,cx,cy,cz,status
5.8,7.5,65,1.6,13,2.9,0.7,8.4,NotYet
5.8,7.5,65,1.6,13,2.8,0.7,8.5,NotYet
5.8,7.5,65,1.6,13,2.7,0.7,8.6,NotYet
5.8,7.5,65,1.6,13,2.6,0.7,8.6,NotYet
5.8,7.5,65,1.6,13,2.5,0.7,8.7,NotYet
5.8,7.5,65,1.6,13,2.4,0.8,8.7,NotYet
5.8,7.5,65,1.6,13,2.3,0.8,8.8,NotYet
5.8,7.5,65,1.6,13,2.2,0.8,8.8,NotYet
5.8,7.5,65,1.6,13,2.1,0.9,8.9,NotYet
5.8,7.5,65,1.6,13,2.0,0.9,8.9,NotYet
5.8,7.5,65,1.6,13,1.9,0.9,8.9,NotYet
5.8,7.5,65,1.6,13,1.8,1.0,8.9,NotYet
5.8,7.5,65,1.6,13,1.7,1.0,8.9,NotYet
5.8,7.5,65,1.6,13,1.6,1.1,9.0,NotYet
5.8,7.5,65,1.6,13,1.5,1.1,8.9,NotYet
5.8,7.5,65,1.6,13,1.4,1.1,8.9,NotYet
5.8,7.5,65,1.6,13,1.3,1.2,8.9,NotYet
5.8,7.5,65,1.6,13,1.2,1.3,8.9,NotYet
5.8,7.5,65,1.6,13,1.1,1.3,8.9,NotYet
5.8,7.5,65,1.6,13,1.0,1.3,8.9,NotYet
5.8,7.5,65,1.6,13,0.9,1.3,8.9,NotYet
5.8,7.5,65,1.6,13,0.8,1.3,8.8,NotYet
5.8,7.5,65,1.6,13,0.7,1.4,8.9,NotYet
5.8,7.5,65,1.6,13,0.6,1.4,8.8,NotYet
5.8,7.5,65,1.6,13,0.5,1.4,8.8,NotYet
5.8,7.5,65,1.6,13,0.4,1.4,8.7,NotYet
5.8,7.5,65,1.6,13,0.3,1.4,8.7,NotYet
5.8,7.5,65,1.6,13,0.2,1.4,8.6,NotYet
5.8,7.5,65,1.6,13,0.1,1.4,8.6,NotYet
5.8,7.5,65,1.6,13,0.0,1.5,8.5,NotYet
