a,b,theta,Rt,Rp,status
7.2,6,25,2.1,2,NotYet
7.2,6,25,2,1.9,NotYet
7.2,6,25,1.9,1.8,NotYet
7.2,6,25,1.8,1.7,NotYet
7.2,6,25,1.7,1.6,NotYet
7.2,6,25,1.6,1.5,NotYet
7.2,6,25,1.5,1.4,NotYet
7.2,6,25,1.4,1.3,NotYet
7.2,6,25,1.3,1.2,NotYet
7.2,6,25,1.2,1.1,NotYet
7.2,6,25,1.1,1,NotYet
7.2,6,25,2.1,1.9,NotYet
7.2,6,25,2,1.8,NotYet
7.2,6,25,1.9,1.7,NotYet
7.2,6,25,1.8,1.6,NotYet
7.2,6,25,1.7,1.5,NotYet
7.2,6,25,1.6,1.4,NotYet
7.2,6,25,1.5,1.3,NotYet
7.2,6,25,1.4,1.2,NotYet
7.2,6,25,1.3,1.1,NotYet
7.2,6,25,1.2,1,NotYet
7.2,6,25,1.1,0.9,NotYet
7.2,6,25,1,0.8,NotYet
7.2,6,25,2.1,1.8,NotYet
7.2,6,25,2,1.7,NotYet
7.2,6,25,1.9,1.6,NotYet
7.2,6,25,1.8,1.5,NotYet
7.2,6,25,1.7,1.4,NotYet
7.2,6,25,1.6,1.3,NotYet
7.2,6,25,1.5,1.2,NotYet
7.2,6,25,1.4,1.1,NotYet
7.2,6,25,1.3,1,NotYet
7.2,6,25,1.2,0.9,NotYet
7.2,6,25,1.1,0.8,NotYet
7.2,6,25,1,0.7,NotYet
